Aspect
	zai_guo
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 92.00000, Average Perplexity (Good Sentences): -26.45741, Average Perplexity (Bad Sentences): -57.87039
0: good sentence 0, PPL: -63.82053
1: bad sentence 0, PPL: -50.10051
2: good sentence 1, PPL: -26.86600
3: bad sentence 1, PPL: -77.24664
4: good sentence 2, PPL: -278.55762
5: bad sentence 2, PPL: -231.54876
6: good sentence 3, PPL: -16.59065
7: bad sentence 3, PPL: -20.49994
8: good sentence 4, PPL: -5.71245
9: bad sentence 4, PPL: -35.43528
10: good sentence 5, PPL: -10.48092
11: bad sentence 5, PPL: -16.51146
12: good sentence 6, PPL: -6.87266
13: bad sentence 6, PPL: -17.40844
14: good sentence 7, PPL: -4.06629
15: bad sentence 7, PPL: -7.20367
16: good sentence 8, PPL: -17.35119
17: bad sentence 8, PPL: -30.08575
18: good sentence 9, PPL: -18.12532
19: bad sentence 9, PPL: -17.03784
20: good sentence 10, PPL: -64.33953
21: bad sentence 10, PPL: -100.86117
22: good sentence 11, PPL: -10.56016
23: bad sentence 11, PPL: -24.16380
24: good sentence 12, PPL: -5.08179
25: bad sentence 12, PPL: -12.88497
26: good sentence 13, PPL: -7.71720
27: bad sentence 13, PPL: -18.72682
28: good sentence 14, PPL: -18.79699
29: bad sentence 14, PPL: -96.19979
30: good sentence 15, PPL: -4.37094
31: bad sentence 15, PPL: -5.83601
32: good sentence 16, PPL: -16.95164
33: bad sentence 16, PPL: -26.21525
34: good sentence 17, PPL: -8.72625
35: bad sentence 17, PPL: -26.26429
36: good sentence 18, PPL: -130.03692
37: bad sentence 18, PPL: -243.42691
38: good sentence 19, PPL: -91.22684
39: bad sentence 19, PPL: -128.00692
40: good sentence 20, PPL: -18.87103
41: bad sentence 20, PPL: -33.04446
42: good sentence 21, PPL: -70.94792
43: bad sentence 21, PPL: -131.48095
44: good sentence 22, PPL: -3.56468
45: bad sentence 22, PPL: -9.50889
46: good sentence 23, PPL: -3.88732
47: bad sentence 23, PPL: -8.84476
48: good sentence 24, PPL: -2.43436
49: bad sentence 24, PPL: -6.25586
50: good sentence 25, PPL: -12.53639
51: bad sentence 25, PPL: -20.74007
52: good sentence 26, PPL: -8.63775
53: bad sentence 26, PPL: -24.35867
54: good sentence 27, PPL: -36.34656
55: bad sentence 27, PPL: -59.87993
56: good sentence 28, PPL: -90.87610
57: bad sentence 28, PPL: -88.54713
58: good sentence 29, PPL: -19.52546
59: bad sentence 29, PPL: -18.60081
60: good sentence 30, PPL: -11.95776
61: bad sentence 30, PPL: -44.47780
62: good sentence 31, PPL: -10.97726
