Aspect
	temporal_guo
Model: google-bert/bert-base-chinese, Accuracy: 95.50000, Average Perplexity (Good Sentences): -10.89279, Average Perplexity (Bad Sentences): -29.73992
0: good sentence 0, PPL: -4.47043
1: bad sentence 0, PPL: -19.07538
2: good sentence 1, PPL: -2.77140
3: bad sentence 1, PPL: -10.77823
4: good sentence 2, PPL: -9.75321
5: bad sentence 2, PPL: -42.34777
6: good sentence 3, PPL: -40.10517
7: bad sentence 3, PPL: -177.71930
8: good sentence 4, PPL: -8.03481
9: bad sentence 4, PPL: -11.32467
10: good sentence 5, PPL: -34.26307
11: bad sentence 5, PPL: -75.82715
12: good sentence 6, PPL: -5.28723
13: bad sentence 6, PPL: -25.21370
14: good sentence 7, PPL: -65.75308
15: bad sentence 7, PPL: -155.86447
16: good sentence 8, PPL: -4.97283
17: bad sentence 8, PPL: -13.35133
18: good sentence 9, PPL: -17.77807
19: bad sentence 9, PPL: -55.85106
20: good sentence 10, PPL: -14.11672
21: bad sentence 10, PPL: -51.11325
22: good sentence 11, PPL: -3.45068
23: bad sentence 11, PPL: -5.11163
24: good sentence 12, PPL: -2.80839
25: bad sentence 12, PPL: -11.35521
26: good sentence 13, PPL: -24.41656
27: bad sentence 13, PPL: -80.16567
28: good sentence 14, PPL: -10.04834
29: bad sentence 14, PPL: -41.74082
30: good sentence 15, PPL: -9.48174
31: bad sentence 15, PPL: -12.86021
32: good sentence 16, PPL: -5.12975
33: bad sentence 16, PPL: -19.97781
34: good sentence 17, PPL: -81.13369
35: bad sentence 17, PPL: -164.16909
36: good sentence 18, PPL: -11.43118
37: bad sentence 18, PPL: -29.69981
38: good sentence 19, PPL: -16.11608
39: bad sentence 19, PPL: -19.39626
40: good sentence 20, PPL: -4.53898
41: bad sentence 20, PPL: -21.85851
42: good sentence 21, PPL: -7.71479
43: bad sentence 21, PPL: -17.39780
44: good sentence 22, PPL: -40.20155
45: bad sentence 22, PPL: -328.26800
46: good sentence 23, PPL: -12.14737
47: bad sentence 23, PPL: -27.31084
48: good sentence 24, PPL: -9.03031
49: bad sentence 24, PPL: -15.88881
50: good sentence 25, PPL: -18.82647
51: bad sentence 25, PPL: -14.71388
52: good sentence 26, PPL: -58.95769
53: bad sentence 26, PPL: -160.37275
54: good sentence 27, PPL: -8.04949
55: bad sentence 27, PPL: -6.70280
56: good sentence 28, PPL: -8.14941
57: bad sentence 28, PPL: -25.68823
58: good sentence 29, PPL: -71.54601
59: bad sentence 29, PPL: -88.70363
60: good sentence 30, PPL: -10.61993
61: bad sentence 30, PPL: -33.98555
62: good sentence 31, PPL: -12.49762
63: bad sentence 31, PPL: -19.82762
64: good sentence 32, PPL: -37.62298
65: bad sentence 32, PPL: -60.84411
66: good sentence 33, PPL: -3.38131
67: bad sentence 33, PPL: -7.61506
68: good sentence 34, PPL: -7.17292
69: bad sentence 34, PPL: -21.92061
70: good sentence 35, PPL: -11.03078
71: bad sentence 35, PPL: -30.56931
72: good sentence 36, PPL: -127.38573
73: bad sentence 36, PPL: -144.56896
74: good sentence 37, PPL: -6.91254
75: bad sentence 37, PPL: -15.34890
76: good sentence 38, PPL: -5.56872
77: bad sentence 38, PPL: -8.07122
78: good sentence 39, PPL: -4.24624
79: bad sentence 39, PPL: -27.17922
80: good sentence 40, PPL: -4.18901
81: bad sentence 40, PPL: -12.52840
82: good sentence 41, PPL: -10.16109
83: bad sentence 41, PPL: -20.54778
84: good sentence 42, PPL: -16.20880
85: bad sentence 42, PPL: -100.85120
86: good sentence 43, PPL: -24.92979
87: bad sentence 43, PPL: -113.81694
88: good sentence 44, PPL: -14.78196
89: bad sentence 44, PPL: -71.23562
90: good sentence 45, PPL: -20.45935
91: bad sentence 45, PPL: -31.47259
92: good sentence 46, PPL: -3.19278
93: bad sentence 46, PPL: -7.29521
94: good sentence 47, PPL: -9.69508
95: bad sentence 47, PPL: -113.96091
96: good sentence 48, PPL: -19.93895
97: bad sentence 48, PPL: -104.83510
98: good sentence 49, PPL: -1.97223
99: bad sentence 49, PPL: -7.13779
100: good sentence 50, PPL: -3.86874
101: bad sentence 50, PPL: -14.50917
102: good sentence 51, PPL: -19.36601
103: bad sentence 51, PPL: -42.09247
104: good sentence 52, PPL: -14.30953
105: bad sentence 52, PPL: -61.30510
106: good sentence 53, PPL: -11.59180
107: bad sentence 53, PPL: -25.06895
108: good sentence 54, PPL: -5.95657
109: bad sentence 54, PPL: -15.66429
110: good sentence 55, PPL: -40.59077
111: bad sentence 55, PPL: -415.31860
112: good sentence 56, PPL: -6.33206
113: bad sentence 56, PPL: -37.38839
114: good sentence 57, PPL: -32.34045
115: bad sentence 57, PPL: -130.25347
116: good sentence 58, PPL: -46.16873
117: bad sentence 58, PPL: -194.70403
118: good sentence 59, PPL: -43.20778
119: bad sentence 59, PPL: -91.19364
120: good sentence 60, PPL: -8.39318
121: bad sentence 60, PPL: -12.93620
122: good sentence 61, PPL: -18.67791
123: bad sentence 61, PPL: -35.72726
124: good sentence 62, PPL: -46.29167
125: bad sentence 62, PPL: -101.54360
126: good sentence 63, PPL: -4.78228
127: bad sentence 63, PPL: -32.25789
128: good sentence 64, PPL: -10.65221
129: bad sentence 64, PPL: -37.55154
130: good sentence 65, PPL: -14.20719
131: bad sentence 65, PPL: -62.85899
132: good sentence 66, PPL: -7.21283
133: bad sentence 66, PPL: -27.41911
134: good sentence 67, PPL: -2.38371
135: bad sentence 67, PPL: -10.66806
136: good sentence 68, PPL: -134.71644
137: bad sentence 68, PPL: -811.46037
138: good sentence 69, PPL: -4.13371
139: bad sentence 69, PPL: -11.35444
140: good sentence 70, PPL: -9.43319
141: bad sentence 70, PPL: -30.60399
142: good sentence 71, PPL: -2.79509
143: bad sentence 71, PPL: -8.68811
144: good sentence 72, PPL: -12.24778
145: bad sentence 72, PPL: -35.50054
146: good sentence 73, PPL: -5.71043
147: bad sentence 73, PPL: -77.90499
148: good sentence 74, PPL: -21.84485
149: bad sentence 74, PPL: -64.97251
150: good sentence 75, PPL: -3.53015
151: bad sentence 75, PPL: -11.03162
152: good sentence 76, PPL: -91.21663
153: bad sentence 76, PPL: -41.58844
154: good sentence 77, PPL: -16.86921
155: bad sentence 77, PPL: -58.67086
156: good sentence 78, PPL: -5.81568
157: bad sentence 78, PPL: -30.44670
158: good sentence 79, PPL: -13.19969
159: bad sentence 79, PPL: -67.98914
160: good sentence 80, PPL: -3.04859
161: bad sentence 80, PPL: -18.92515
162: good sentence 81, PPL: -5.81197
163: bad sentence 81, PPL: -6.44535
164: good sentence 82, PPL: -39.18000
165: bad sentence 82, PPL: -135.15881
166: good sentence 83, PPL: -36.37108
167: bad sentence 83, PPL: -60.08464
168: good sentence 84, PPL: -19.60011
169: bad sentence 84, PPL: -165.72202
170: good sentence 85, PPL: -5.70002
171: bad sentence 85, PPL: -7.91011
172: good sentence 86, PPL: -3.16222
173: bad sentence 86, PPL: -12.57523
174: good sentence 87, PPL: -78.93176
175: bad sentence 87, PPL: -553.54933
176: good sentence 88, PPL: -69.39574
177: bad sentence 88, PPL: -79.40776
178: good sentence 89, PPL: -5.84784
179: bad sentence 89, PPL: -31.04616
180: good sentence 90, PPL: -44.33312
181: bad sentence 90, PPL: -211.34235
182: good sentence 91, PPL: -7.89034
183: bad sentence 91, PPL: -27.38105
184: good sentence 92, PPL: -4.91610
185: bad sentence 92, PPL: -12.02087
186: good sentence 93, PPL: -6.06587
187: bad sentence 93, PPL: -12.74328
188: good sentence 94, PPL: -7.23516
189: bad sentence 94, PPL: -9.48223
190: good sentence 95, PPL: -79.32991
191: bad sentence 95, PPL: -358.14995
192: good sentence 96, PPL: -7.38938
193: bad sentence 96, PPL: -50.12553
194: good sentence 97, PPL: -8.46645
195: bad sentence 97, PPL: -12.56502
196: good sentence 98, PPL: -46.15748
197: bad sentence 98, PPL: -61.65696
198: good sentence 99, PPL: -6.55818
199: bad sentence 99, PPL: -16.94091
200: good sentence 100, PPL: -16.49126
201: bad sentence 100, PPL: -23.48736
202: good sentence 101, PPL: -13.90145
203: bad sentence 101, PPL: -27.94299
204: good sentence 102, PPL: -4.38924
205: bad sentence 102, PPL: -23.41759
206: good sentence 103, PPL: -4.77396
207: bad sentence 103, PPL: -22.48187
208: good sentence 104, PPL: -2.20450
209: bad sentence 104, PPL: -3.94173
210: good sentence 105, PPL: -2.97001
211: bad sentence 105, PPL: -16.29240
212: good sentence 106, PPL: -23.07301
213: bad sentence 106, PPL: -42.53798
214: good sentence 107, PPL: -6.26743
215: bad sentence 107, PPL: -17.16390
216: good sentence 108, PPL: -3.14625
217: bad sentence 108, PPL: -7.54233
218: good sentence 109, PPL: -14.68020
219: bad sentence 109, PPL: -123.04340
220: good sentence 110, PPL: -10.94658
221: bad sentence 110, PPL: -37.07368
222: good sentence 111, PPL: -11.13799
223: bad sentence 111, PPL: -75.66163
224: good sentence 112, PPL: -15.32471
225: bad sentence 112, PPL: -35.12915
226: good sentence 113, PPL: -4.28210
227: bad sentence 113, PPL: -17.82617
228: good sentence 114, PPL: -15.90651
229: bad sentence 114, PPL: -32.76226
230: good sentence 115, PPL: -4.28450
231: bad sentence 115, PPL: -6.03570
232: good sentence 116, PPL: -20.53253
233: bad sentence 116, PPL: -54.73169
234: good sentence 117, PPL: -9.53363
235: bad sentence 117, PPL: -12.69948
236: good sentence 118, PPL: -51.47794
237: bad sentence 118, PPL: -124.04269
238: good sentence 119, PPL: -55.95416
239: bad sentence 119, PPL: -196.49617
240: good sentence 120, PPL: -5.90386
241: bad sentence 120, PPL: -17.75512
242: good sentence 121, PPL: -9.29769
243: bad sentence 121, PPL: -16.25362
244: good sentence 122, PPL: -8.58633
245: bad sentence 122, PPL: -23.21964
246: good sentence 123, PPL: -9.19202
247: bad sentence 123, PPL: -8.50192
248: good sentence 124, PPL: -5.01343
249: bad sentence 124, PPL: -14.09544
250: good sentence 125, PPL: -10.50661
251: bad sentence 125, PPL: -12.83155
252: good sentence 126, PPL: -20.62364
253: bad sentence 126, PPL: -45.67229
254: good sentence 127, PPL: -3.31454
255: bad sentence 127, PPL: -13.75025
256: good sentence 128, PPL: -30.76327
257: bad sentence 128, PPL: -20.54197
258: good sentence 129, PPL: -6.96282
259: bad sentence 129, PPL: -13.40987
260: good sentence 130, PPL: -16.11871
261: bad sentence 130, PPL: -34.05022
262: good sentence 131, PPL: -10.06422
263: bad sentence 131, PPL: -97.84591
264: good sentence 132, PPL: -236.14737
265: bad sentence 132, PPL: -389.33356
266: good sentence 133, PPL: -4.26604
267: bad sentence 133, PPL: -8.85681
268: good sentence 134, PPL: -17.22066
269: bad sentence 134, PPL: -55.97409
270: good sentence 135, PPL: -1.89637
271: bad sentence 135, PPL: -8.95975
272: good sentence 136, PPL: -23.01483
273: bad sentence 136, PPL: -64.28828
274: good sentence 137, PPL: -4.05742
275: bad sentence 137, PPL: -20.71485
276: good sentence 138, PPL: -5.13133
277: bad sentence 138, PPL: -11.55849
278: good sentence 139, PPL: -6.11527
279: bad sentence 139, PPL: -16.94613
280: good sentence 140, PPL: -20.42767
281: bad sentence 140, PPL: -45.76178
282: good sentence 141, PPL: -5.47269
283: bad sentence 141, PPL: -34.14079
