PolarityItem
	more_or_less
Model: google-bert/bert-base-chinese, Accuracy: 97.90000, Average Perplexity (Good Sentences): -2.75822, Average Perplexity (Bad Sentences): -5.44548
0: good sentence 0, PPL: -1.17210
1: bad sentence 0, PPL: -2.33797
2: good sentence 1, PPL: -1.11964
3: bad sentence 1, PPL: -2.10101
4: good sentence 2, PPL: -2.97293
5: bad sentence 2, PPL: -10.59563
6: good sentence 3, PPL: -1.32093
7: bad sentence 3, PPL: -2.89446
8: good sentence 4, PPL: -2.47989
9: bad sentence 4, PPL: -5.72061
10: good sentence 5, PPL: -2.93061
11: bad sentence 5, PPL: -4.39328
12: good sentence 6, PPL: -2.13370
13: bad sentence 6, PPL: -5.16064
14: good sentence 7, PPL: -1.15050
15: bad sentence 7, PPL: -3.16638
16: good sentence 8, PPL: -1.76516
17: bad sentence 8, PPL: -3.01646
18: good sentence 9, PPL: -4.95163
19: bad sentence 9, PPL: -9.25147
20: good sentence 10, PPL: -2.66570
21: bad sentence 10, PPL: -4.58965
22: good sentence 11, PPL: -2.05139
23: bad sentence 11, PPL: -6.85205
24: good sentence 12, PPL: -1.25078
25: bad sentence 12, PPL: -2.30129
26: good sentence 13, PPL: -3.35058
27: bad sentence 13, PPL: -9.28125
28: good sentence 14, PPL: -1.11260
29: bad sentence 14, PPL: -2.19647
30: good sentence 15, PPL: -15.73082
31: bad sentence 15, PPL: -6.30796
32: good sentence 16, PPL: -2.45004
33: bad sentence 16, PPL: -8.35751
34: good sentence 17, PPL: -2.74529
35: bad sentence 17, PPL: -6.74472
36: good sentence 18, PPL: -1.43167
37: bad sentence 18, PPL: -1.88290
38: good sentence 19, PPL: -1.20453
39: bad sentence 19, PPL: -2.79038
40: good sentence 20, PPL: -7.25607
41: bad sentence 20, PPL: -14.73440
42: good sentence 21, PPL: -3.39415
43: bad sentence 21, PPL: -6.10690
44: good sentence 22, PPL: -3.50392
45: bad sentence 22, PPL: -10.10635
46: good sentence 23, PPL: -3.67314
47: bad sentence 23, PPL: -5.53151
48: good sentence 24, PPL: -4.09452
49: bad sentence 24, PPL: -11.51996
50: good sentence 25, PPL: -3.26993
51: bad sentence 25, PPL: -7.04016
52: good sentence 26, PPL: -5.40646
53: bad sentence 26, PPL: -9.61746
54: good sentence 27, PPL: -5.15425
55: bad sentence 27, PPL: -10.66501
56: good sentence 28, PPL: -4.88624
57: bad sentence 28, PPL: -7.83011
58: good sentence 29, PPL: -1.44631
59: bad sentence 29, PPL: -2.34296
60: good sentence 30, PPL: -6.34108
61: bad sentence 30, PPL: -11.09510
62: good sentence 31, PPL: -1.28543
63: bad sentence 31, PPL: -3.06630
64: good sentence 32, PPL: -2.12379
65: bad sentence 32, PPL: -4.02610
66: good sentence 33, PPL: -1.60855
67: bad sentence 33, PPL: -2.36027
68: good sentence 34, PPL: -2.72260
69: bad sentence 34, PPL: -8.95493
70: good sentence 35, PPL: -2.34187
71: bad sentence 35, PPL: -3.94822
72: good sentence 36, PPL: -4.18423
73: bad sentence 36, PPL: -7.46551
74: good sentence 37, PPL: -9.82161
75: bad sentence 37, PPL: -16.71792
76: good sentence 38, PPL: -2.21301
77: bad sentence 38, PPL: -11.13917
78: good sentence 39, PPL: -9.23355
79: bad sentence 39, PPL: -23.82035
80: good sentence 40, PPL: -3.76197
81: bad sentence 40, PPL: -7.01967
82: good sentence 41, PPL: -1.42221
83: bad sentence 41, PPL: -2.10611
84: good sentence 42, PPL: -1.06309
85: bad sentence 42, PPL: -1.79317
86: good sentence 43, PPL: -1.95437
87: bad sentence 43, PPL: -6.84621
88: good sentence 44, PPL: -24.78429
89: bad sentence 44, PPL: -21.40610
90: good sentence 45, PPL: -3.31542
91: bad sentence 45, PPL: -5.95549
92: good sentence 46, PPL: -3.94713
93: bad sentence 46, PPL: -12.12529
94: good sentence 47, PPL: -1.93479
95: bad sentence 47, PPL: -2.04640
96: good sentence 48, PPL: -12.69708
97: bad sentence 48, PPL: -14.50785
98: good sentence 49, PPL: -1.21725
99: bad sentence 49, PPL: -1.80106
100: good sentence 50, PPL: -50.31106
101: bad sentence 50, PPL: -110.48257
102: good sentence 51, PPL: -1.17303
103: bad sentence 51, PPL: -2.21446
104: good sentence 52, PPL: -27.08298
105: bad sentence 52, PPL: -77.95479
106: good sentence 53, PPL: -2.08137
107: bad sentence 53, PPL: -4.77748
108: good sentence 54, PPL: -2.53938
109: bad sentence 54, PPL: -7.04320
110: good sentence 55, PPL: -2.01412
111: bad sentence 55, PPL: -7.55795
112: good sentence 56, PPL: -11.86519
113: bad sentence 56, PPL: -22.53731
114: good sentence 57, PPL: -1.98719
115: bad sentence 57, PPL: -7.04521
116: good sentence 58, PPL: -4.63728
117: bad sentence 58, PPL: -10.18709
118: good sentence 59, PPL: -44.39938
119: bad sentence 59, PPL: -81.01914
120: good sentence 60, PPL: -1.19638
121: bad sentence 60, PPL: -2.28615
122: good sentence 61, PPL: -18.12058
123: bad sentence 61, PPL: -27.80443
124: good sentence 62, PPL: -2.80046
125: bad sentence 62, PPL: -5.54580
126: good sentence 63, PPL: -4.54212
127: bad sentence 63, PPL: -7.34982
128: good sentence 64, PPL: -1.79304
129: bad sentence 64, PPL: -3.14530
130: good sentence 65, PPL: -12.09019
131: bad sentence 65, PPL: -29.74475
132: good sentence 66, PPL: -3.52242
133: bad sentence 66, PPL: -9.18091
134: good sentence 67, PPL: -5.01100
135: bad sentence 67, PPL: -15.38568
136: good sentence 68, PPL: -4.76541
137: bad sentence 68, PPL: -9.14208
138: good sentence 69, PPL: -13.32435
139: bad sentence 69, PPL: -9.90037
140: good sentence 70, PPL: -1.54104
141: bad sentence 70, PPL: -3.18541
142: good sentence 71, PPL: -1.89557
143: bad sentence 71, PPL: -3.06444
144: good sentence 72, PPL: -1.76340
145: bad sentence 72, PPL: -3.61393
146: good sentence 73, PPL: -2.03590
147: bad sentence 73, PPL: -3.86627
148: good sentence 74, PPL: -1.86974
149: bad sentence 74, PPL: -8.45298
150: good sentence 75, PPL: -1.31306
151: bad sentence 75, PPL: -2.94740
152: good sentence 76, PPL: -3.07761
153: bad sentence 76, PPL: -4.94923
154: good sentence 77, PPL: -1.47552
155: bad sentence 77, PPL: -2.05242
156: good sentence 78, PPL: -12.79753
157: bad sentence 78, PPL: -26.57613
158: good sentence 79, PPL: -8.11736
159: bad sentence 79, PPL: -13.79399
160: good sentence 80, PPL: -2.23359
161: bad sentence 80, PPL: -4.03330
162: good sentence 81, PPL: -3.85176
163: bad sentence 81, PPL: -7.66991
164: good sentence 82, PPL: -1.49485
165: bad sentence 82, PPL: -4.79775
166: good sentence 83, PPL: -1.10942
167: bad sentence 83, PPL: -2.31090
168: good sentence 84, PPL: -1.73431
169: bad sentence 84, PPL: -4.18959
170: good sentence 85, PPL: -2.57887
171: bad sentence 85, PPL: -4.79944
172: good sentence 86, PPL: -2.50136
173: bad sentence 86, PPL: -5.14525
174: good sentence 87, PPL: -2.46064
175: bad sentence 87, PPL: -5.40059
176: good sentence 88, PPL: -2.33417
177: bad sentence 88, PPL: -6.60564
178: good sentence 89, PPL: -1.59294
179: bad sentence 89, PPL: -4.52835
180: good sentence 90, PPL: -1.19248
181: bad sentence 90, PPL: -1.81202
182: good sentence 91, PPL: -1.18004
183: bad sentence 91, PPL: -3.34885
184: good sentence 92, PPL: -2.28348
185: bad sentence 92, PPL: -2.88987
186: good sentence 93, PPL: -2.05612
187: bad sentence 93, PPL: -5.27569
188: good sentence 94, PPL: -2.41929
189: bad sentence 94, PPL: -3.34275
190: good sentence 95, PPL: -9.93446
191: bad sentence 95, PPL: -25.12785
192: good sentence 96, PPL: -11.11564
193: bad sentence 96, PPL: -29.18546
194: good sentence 97, PPL: -3.23361
195: bad sentence 97, PPL: -8.56149
196: good sentence 98, PPL: -3.21603
197: bad sentence 98, PPL: -6.45969
198: good sentence 99, PPL: -3.85969
199: bad sentence 99, PPL: -8.00390
200: good sentence 100, PPL: -1.60592
201: bad sentence 100, PPL: -5.63829
202: good sentence 101, PPL: -2.68653
203: bad sentence 101, PPL: -6.70007
204: good sentence 102, PPL: -2.18403
205: bad sentence 102, PPL: -5.03952
206: good sentence 103, PPL: -5.90231
207: bad sentence 103, PPL: -9.62065
208: good sentence 104, PPL: -2.26997
209: bad sentence 104, PPL: -5.25996
210: good sentence 105, PPL: -10.11943
211: bad sentence 105, PPL: -31.97382
212: good sentence 106, PPL: -1.16344
213: bad sentence 106, PPL: -2.53557
214: good sentence 107, PPL: -2.82094
215: bad sentence 107, PPL: -8.06567
216: good sentence 108, PPL: -2.32912
217: bad sentence 108, PPL: -4.80695
218: good sentence 109, PPL: -11.41629
219: bad sentence 109, PPL: -22.52731
220: good sentence 110, PPL: -1.58948
221: bad sentence 110, PPL: -4.36656
222: good sentence 111, PPL: -1.63019
223: bad sentence 111, PPL: -4.58009
224: good sentence 112, PPL: -2.32867
225: bad sentence 112, PPL: -2.57031
226: good sentence 113, PPL: -13.97645
227: bad sentence 113, PPL: -31.12219
228: good sentence 114, PPL: -18.87822
229: bad sentence 114, PPL: -28.81325
230: good sentence 115, PPL: -5.86166
231: bad sentence 115, PPL: -8.61904
232: good sentence 116, PPL: -1.08625
233: bad sentence 116, PPL: -1.65431
234: good sentence 117, PPL: -2.10200
235: bad sentence 117, PPL: -5.61542
236: good sentence 118, PPL: -1.34628
237: bad sentence 118, PPL: -2.10050
238: good sentence 119, PPL: -4.64659
239: bad sentence 119, PPL: -14.53508
