Plural
	baseline_cl_male
Model: google-bert/bert-base-chinese, Accuracy: 99.60000, Average Perplexity (Good Sentences): -7.14514, Average Perplexity (Bad Sentences): -13.46321
0: good sentence 0, PPL: -21.77023
1: bad sentence 0, PPL: -89.08316
2: good sentence 1, PPL: -3.68279
3: bad sentence 1, PPL: -5.24148
4: good sentence 2, PPL: -11.35310
5: bad sentence 2, PPL: -26.88529
6: good sentence 3, PPL: -28.48289
7: bad sentence 3, PPL: -58.52893
8: good sentence 4, PPL: -2.91259
9: bad sentence 4, PPL: -4.24374
10: good sentence 5, PPL: -5.30425
11: bad sentence 5, PPL: -7.88309
12: good sentence 6, PPL: -4.37631
13: bad sentence 6, PPL: -7.14334
14: good sentence 7, PPL: -4.23062
15: bad sentence 7, PPL: -6.58454
16: good sentence 8, PPL: -39.93156
17: bad sentence 8, PPL: -107.63149
18: good sentence 9, PPL: -24.38899
19: bad sentence 9, PPL: -55.70266
20: good sentence 10, PPL: -9.69475
21: bad sentence 10, PPL: -14.75046
22: good sentence 11, PPL: -2.63681
23: bad sentence 11, PPL: -4.91258
24: good sentence 12, PPL: -5.80094
25: bad sentence 12, PPL: -9.36510
26: good sentence 13, PPL: -16.24945
27: bad sentence 13, PPL: -40.49019
28: good sentence 14, PPL: -14.35412
29: bad sentence 14, PPL: -38.10369
30: good sentence 15, PPL: -4.81452
31: bad sentence 15, PPL: -7.37185
32: good sentence 16, PPL: -6.34660
33: bad sentence 16, PPL: -11.25620
34: good sentence 17, PPL: -8.93022
35: bad sentence 17, PPL: -15.33612
36: good sentence 18, PPL: -45.03872
37: bad sentence 18, PPL: -67.44545
38: good sentence 19, PPL: -10.21512
39: bad sentence 19, PPL: -16.58393
40: good sentence 20, PPL: -28.36806
41: bad sentence 20, PPL: -79.29885
42: good sentence 21, PPL: -8.44263
43: bad sentence 21, PPL: -12.68986
44: good sentence 22, PPL: -8.11360
45: bad sentence 22, PPL: -18.85466
46: good sentence 23, PPL: -3.70135
47: bad sentence 23, PPL: -5.69056
48: good sentence 24, PPL: -9.80469
49: bad sentence 24, PPL: -25.85809
50: good sentence 25, PPL: -10.68295
51: bad sentence 25, PPL: -19.14635
52: good sentence 26, PPL: -5.89513
53: bad sentence 26, PPL: -14.46788
54: good sentence 27, PPL: -7.46834
55: bad sentence 27, PPL: -22.68579
56: good sentence 28, PPL: -12.80220
57: bad sentence 28, PPL: -21.08375
58: good sentence 29, PPL: -11.80466
59: bad sentence 29, PPL: -17.02640
60: good sentence 30, PPL: -4.41522
61: bad sentence 30, PPL: -6.99238
62: good sentence 31, PPL: -27.92117
63: bad sentence 31, PPL: -100.56412
64: good sentence 32, PPL: -3.48663
65: bad sentence 32, PPL: -5.88775
66: good sentence 33, PPL: -2.23282
67: bad sentence 33, PPL: -3.17855
68: good sentence 34, PPL: -13.69980
69: bad sentence 34, PPL: -22.11145
70: good sentence 35, PPL: -9.90201
71: bad sentence 35, PPL: -12.10228
72: good sentence 36, PPL: -4.35856
73: bad sentence 36, PPL: -6.30167
74: good sentence 37, PPL: -4.42410
75: bad sentence 37, PPL: -8.07026
76: good sentence 38, PPL: -3.48130
77: bad sentence 38, PPL: -4.79511
78: good sentence 39, PPL: -16.88732
79: bad sentence 39, PPL: -49.52823
80: good sentence 40, PPL: -3.45127
81: bad sentence 40, PPL: -4.52200
82: good sentence 41, PPL: -14.57012
83: bad sentence 41, PPL: -49.17767
84: good sentence 42, PPL: -4.79073
85: bad sentence 42, PPL: -6.33900
86: good sentence 43, PPL: -5.79515
87: bad sentence 43, PPL: -10.06758
88: good sentence 44, PPL: -3.86005
89: bad sentence 44, PPL: -7.42053
90: good sentence 45, PPL: -4.04055
91: bad sentence 45, PPL: -5.68153
92: good sentence 46, PPL: -5.04482
93: bad sentence 46, PPL: -7.57018
94: good sentence 47, PPL: -9.75989
95: bad sentence 47, PPL: -14.93992
96: good sentence 48, PPL: -29.02879
97: bad sentence 48, PPL: -58.59889
98: good sentence 49, PPL: -5.85139
99: bad sentence 49, PPL: -7.86419
100: good sentence 50, PPL: -9.77357
101: bad sentence 50, PPL: -22.64442
102: good sentence 51, PPL: -6.70003
103: bad sentence 51, PPL: -10.95251
104: good sentence 52, PPL: -2.57148
105: bad sentence 52, PPL: -3.59301
106: good sentence 53, PPL: -2.76854
107: bad sentence 53, PPL: -3.91441
108: good sentence 54, PPL: -5.86008
109: bad sentence 54, PPL: -13.05745
110: good sentence 55, PPL: -8.78836
111: bad sentence 55, PPL: -19.67117
112: good sentence 56, PPL: -4.88569
113: bad sentence 56, PPL: -8.36327
114: good sentence 57, PPL: -11.90823
115: bad sentence 57, PPL: -24.80225
116: good sentence 58, PPL: -11.11743
117: bad sentence 58, PPL: -20.22542
118: good sentence 59, PPL: -13.05538
119: bad sentence 59, PPL: -27.21070
120: good sentence 60, PPL: -10.36093
121: bad sentence 60, PPL: -19.26711
122: good sentence 61, PPL: -11.39933
123: bad sentence 61, PPL: -16.45156
124: good sentence 62, PPL: -5.95213
125: bad sentence 62, PPL: -10.21053
126: good sentence 63, PPL: -13.90086
127: bad sentence 63, PPL: -39.74609
128: good sentence 64, PPL: -4.79198
129: bad sentence 64, PPL: -11.51285
130: good sentence 65, PPL: -17.65962
131: bad sentence 65, PPL: -48.64804
132: good sentence 66, PPL: -17.52639
133: bad sentence 66, PPL: -28.13811
134: good sentence 67, PPL: -7.79550
135: bad sentence 67, PPL: -13.42560
136: good sentence 68, PPL: -15.55170
137: bad sentence 68, PPL: -35.28323
138: good sentence 69, PPL: -2.78913
139: bad sentence 69, PPL: -3.63668
140: good sentence 70, PPL: -11.47541
141: bad sentence 70, PPL: -20.01946
142: good sentence 71, PPL: -6.10639
143: bad sentence 71, PPL: -11.82309
144: good sentence 72, PPL: -4.37911
145: bad sentence 72, PPL: -6.10734
146: good sentence 73, PPL: -3.97860
147: bad sentence 73, PPL: -6.32760
148: good sentence 74, PPL: -21.58683
149: bad sentence 74, PPL: -76.27524
150: good sentence 75, PPL: -3.07259
151: bad sentence 75, PPL: -4.79253
152: good sentence 76, PPL: -13.07008
153: bad sentence 76, PPL: -20.45985
154: good sentence 77, PPL: -10.64533
155: bad sentence 77, PPL: -19.36873
156: good sentence 78, PPL: -6.65056
157: bad sentence 78, PPL: -12.94122
158: good sentence 79, PPL: -10.78840
159: bad sentence 79, PPL: -25.37963
160: good sentence 80, PPL: -8.37831
161: bad sentence 80, PPL: -13.83243
162: good sentence 81, PPL: -4.13087
163: bad sentence 81, PPL: -4.57170
164: good sentence 82, PPL: -3.52680
165: bad sentence 82, PPL: -5.63194
166: good sentence 83, PPL: -5.05850
167: bad sentence 83, PPL: -8.02951
168: good sentence 84, PPL: -23.58155
169: bad sentence 84, PPL: -51.57553
170: good sentence 85, PPL: -2.66300
171: bad sentence 85, PPL: -3.31278
172: good sentence 86, PPL: -5.68401
173: bad sentence 86, PPL: -8.53992
174: good sentence 87, PPL: -7.63679
175: bad sentence 87, PPL: -13.16679
176: good sentence 88, PPL: -11.30626
177: bad sentence 88, PPL: -17.78849
178: good sentence 89, PPL: -4.07203
179: bad sentence 89, PPL: -6.86541
180: good sentence 90, PPL: -7.85250
181: bad sentence 90, PPL: -13.28482
182: good sentence 91, PPL: -11.67403
183: bad sentence 91, PPL: -21.77347
184: good sentence 92, PPL: -4.61443
185: bad sentence 92, PPL: -12.07377
186: good sentence 93, PPL: -11.48093
187: bad sentence 93, PPL: -23.53022
188: good sentence 94, PPL: -20.58026
189: bad sentence 94, PPL: -50.57727
190: good sentence 95, PPL: -3.17526
191: bad sentence 95, PPL: -4.71344
192: good sentence 96, PPL: -13.82550
193: bad sentence 96, PPL: -35.48606
194: good sentence 97, PPL: -7.97940
195: bad sentence 97, PPL: -10.69334
196: good sentence 98, PPL: -16.71233
197: bad sentence 98, PPL: -38.91598
198: good sentence 99, PPL: -17.74490
199: bad sentence 99, PPL: -38.00157
200: good sentence 100, PPL: -12.31364
201: bad sentence 100, PPL: -31.87234
202: good sentence 101, PPL: -4.21727
203: bad sentence 101, PPL: -7.11337
204: good sentence 102, PPL: -3.69317
205: bad sentence 102, PPL: -5.06835
206: good sentence 103, PPL: -4.13547
207: bad sentence 103, PPL: -9.69406
208: good sentence 104, PPL: -25.19125
209: bad sentence 104, PPL: -92.17257
210: good sentence 105, PPL: -6.78559
211: bad sentence 105, PPL: -12.85109
212: good sentence 106, PPL: -2.68214
213: bad sentence 106, PPL: -4.07145
214: good sentence 107, PPL: -15.21657
215: bad sentence 107, PPL: -19.68914
216: good sentence 108, PPL: -18.25599
217: bad sentence 108, PPL: -69.96333
218: good sentence 109, PPL: -9.76904
219: bad sentence 109, PPL: -12.81970
220: good sentence 110, PPL: -10.82616
221: bad sentence 110, PPL: -26.26238
222: good sentence 111, PPL: -3.87378
223: bad sentence 111, PPL: -8.23087
224: good sentence 112, PPL: -3.62025
225: bad sentence 112, PPL: -4.94285
226: good sentence 113, PPL: -4.04173
227: bad sentence 113, PPL: -6.20806
228: good sentence 114, PPL: -4.16060
229: bad sentence 114, PPL: -6.97836
230: good sentence 115, PPL: -15.47257
231: bad sentence 115, PPL: -37.32246
232: good sentence 116, PPL: -4.15287
233: bad sentence 116, PPL: -6.10654
234: good sentence 117, PPL: -23.96276
235: bad sentence 117, PPL: -70.53888
236: good sentence 118, PPL: -5.80584
237: bad sentence 118, PPL: -13.94308
238: good sentence 119, PPL: -44.22624
239: bad sentence 119, PPL: -66.67342
240: good sentence 120, PPL: -2.48053
241: bad sentence 120, PPL: -3.89939
242: good sentence 121, PPL: -13.19646
243: bad sentence 121, PPL: -18.96077
244: good sentence 122, PPL: -15.76003
245: bad sentence 122, PPL: -25.96247
246: good sentence 123, PPL: -9.20718
247: bad sentence 123, PPL: -20.86570
248: good sentence 124, PPL: -9.43137
249: bad sentence 124, PPL: -19.03234
250: good sentence 125, PPL: -5.71526
251: bad sentence 125, PPL: -9.75373
252: good sentence 126, PPL: -4.99730
253: bad sentence 126, PPL: -10.61752
254: good sentence 127, PPL: -6.69906
255: bad sentence 127, PPL: -13.30650
256: good sentence 128, PPL: -10.89844
257: bad sentence 128, PPL: -31.62900
258: good sentence 129, PPL: -30.50990
259: bad sentence 129, PPL: -63.98697
260: good sentence 130, PPL: -55.54146
261: bad sentence 130, PPL: -131.54571
262: good sentence 131, PPL: -7.48294
263: bad sentence 131, PPL: -11.48692
264: good sentence 132, PPL: -12.84808
265: bad sentence 132, PPL: -23.74748
266: good sentence 133, PPL: -5.58511
267: bad sentence 133, PPL: -10.42889
268: good sentence 134, PPL: -5.30488
269: bad sentence 134, PPL: -10.93661
270: good sentence 135, PPL: -7.87871
271: bad sentence 135, PPL: -19.30552
272: good sentence 136, PPL: -6.02127
273: bad sentence 136, PPL: -13.60560
274: good sentence 137, PPL: -9.18901
275: bad sentence 137, PPL: -15.84261
276: good sentence 138, PPL: -39.65120
277: bad sentence 138, PPL: -85.84587
278: good sentence 139, PPL: -11.90210
279: bad sentence 139, PPL: -26.78202
280: good sentence 140, PPL: -14.72586
281: bad sentence 140, PPL: -29.91914
282: good sentence 141, PPL: -4.76169
283: bad sentence 141, PPL: -8.74730
284: good sentence 142, PPL: -11.97281
285: bad sentence 142, PPL: -26.20447
286: good sentence 143, PPL: -6.84558
287: bad sentence 143, PPL: -12.63131
