Aspect
	zai_no_le
Model: imone/pangu_2_6B, Accuracy: 16.10000, Average Perplexity (Good Sentences): -3149.54639, Average Perplexity (Bad Sentences): -2323.63135
0: good sentence 0, PPL: -3935.71655
1: bad sentence 0, PPL: -2146.16089
2: good sentence 1, PPL: -1426.31555
3: bad sentence 1, PPL: -873.73871
4: good sentence 2, PPL: -3323.88208
5: bad sentence 2, PPL: -2965.39160
6: good sentence 3, PPL: -2780.86987
7: bad sentence 3, PPL: -2666.14429
8: good sentence 4, PPL: -14319.75195
9: bad sentence 4, PPL: -10313.11719
10: good sentence 5, PPL: -1682.56604
11: bad sentence 5, PPL: -1418.71973
12: good sentence 6, PPL: -9333.04297
13: bad sentence 6, PPL: -4606.94385
14: good sentence 7, PPL: -3993.95679
15: bad sentence 7, PPL: -2586.03735
16: good sentence 8, PPL: -6116.70947
17: bad sentence 8, PPL: -4836.99463
18: good sentence 9, PPL: -4504.34131
19: bad sentence 9, PPL: -4024.09570
20: good sentence 10, PPL: -7796.80762
21: bad sentence 10, PPL: -4534.24805
22: good sentence 11, PPL: -2445.12793
23: bad sentence 11, PPL: -2475.34717
24: good sentence 12, PPL: -4284.39160
25: bad sentence 12, PPL: -3446.95508
26: good sentence 13, PPL: -5249.31152
27: bad sentence 13, PPL: -2699.47388
28: good sentence 14, PPL: -3217.64038
29: bad sentence 14, PPL: -2582.81226
30: good sentence 15, PPL: -2850.66064
31: bad sentence 15, PPL: -1935.85071
32: good sentence 16, PPL: -3384.22681
33: bad sentence 16, PPL: -2544.98560
34: good sentence 17, PPL: -801.02948
35: bad sentence 17, PPL: -658.22467
36: good sentence 18, PPL: -1101.05908
37: bad sentence 18, PPL: -1335.72302
38: good sentence 19, PPL: -20076.89258
39: bad sentence 19, PPL: -12210.73145
40: good sentence 20, PPL: -9550.68066
41: bad sentence 20, PPL: -3963.61621
42: good sentence 21, PPL: -7129.42236
43: bad sentence 21, PPL: -4760.91406
44: good sentence 22, PPL: -24850.85352
45: bad sentence 22, PPL: -13184.20020
46: good sentence 23, PPL: -2349.72607
47: bad sentence 23, PPL: -1287.99121
48: good sentence 24, PPL: -1666.61755
49: bad sentence 24, PPL: -1446.19250
50: good sentence 25, PPL: -7348.68066
51: bad sentence 25, PPL: -5876.18701
52: good sentence 26, PPL: -1758.15320
53: bad sentence 26, PPL: -1373.24683
54: good sentence 27, PPL: -2957.02539
55: bad sentence 27, PPL: -1668.30627
56: good sentence 28, PPL: -9247.42188
57: bad sentence 28, PPL: -6262.08545
58: good sentence 29, PPL: -1279.90051
59: bad sentence 29, PPL: -1221.40210
60: good sentence 30, PPL: -1725.35718
61: bad sentence 30, PPL: -2012.23975
62: good sentence 31, PPL: -2878.66016
63: bad sentence 31, PPL: -2088.62231
64: good sentence 32, PPL: -6607.13916
65: bad sentence 32, PPL: -5106.13721
66: good sentence 33, PPL: -4196.65820
67: bad sentence 33, PPL: -4098.70020
68: good sentence 34, PPL: -1736.41443
69: bad sentence 34, PPL: -1192.60327
70: good sentence 35, PPL: -16118.31836
71: bad sentence 35, PPL: -8870.41602
72: good sentence 36, PPL: -4708.07422
73: bad sentence 36, PPL: -2418.20435
74: good sentence 37, PPL: -729.41351
75: bad sentence 37, PPL: -547.74744
76: good sentence 38, PPL: -2136.78882
