verb_complement_res_adj_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.59700, Average Perplexity (Good Sentences): -623.70722, Average Perplexity (Bad Sentences): -715.00303
0: good sentence 0, PPL: -52.39031
1: bad sentence 0, PPL: -134.19884
2: good sentence 1, PPL: -1002.97908
3: bad sentence 1, PPL: -1347.48948
4: good sentence 2, PPL: -490.85033
5: bad sentence 2, PPL: -471.52586
6: good sentence 3, PPL: -2440.12335
7: bad sentence 3, PPL: -9746.18108
8: good sentence 4, PPL: -3590.03724
9: bad sentence 4, PPL: -3460.53905
10: good sentence 5, PPL: -22.68700
11: bad sentence 5, PPL: -28.80512
12: good sentence 6, PPL: -27.43337
13: bad sentence 6, PPL: -60.70363
14: good sentence 7, PPL: -11293.34041
15: bad sentence 7, PPL: -4723.10123
16: good sentence 8, PPL: -69.06402
17: bad sentence 8, PPL: -148.95050
18: good sentence 9, PPL: -93.79891
19: bad sentence 9, PPL: -131.79445
20: good sentence 10, PPL: -77.52558
21: bad sentence 10, PPL: -59.05681
22: good sentence 11, PPL: -27.55691
23: bad sentence 11, PPL: -26.90358
24: good sentence 12, PPL: -1005.45248
25: bad sentence 12, PPL: -967.71843
26: good sentence 13, PPL: -1794.62914
27: bad sentence 13, PPL: -1187.61823
28: good sentence 14, PPL: -8789.87285
29: bad sentence 14, PPL: -3731.30364
30: good sentence 15, PPL: -1062.21043
31: bad sentence 15, PPL: -2109.03758
32: good sentence 16, PPL: -1537.89983
33: bad sentence 16, PPL: -2889.64905
34: good sentence 17, PPL: -279.60054
35: bad sentence 17, PPL: -415.20919
36: good sentence 18, PPL: -376.57784
37: bad sentence 18, PPL: -463.20110
38: good sentence 19, PPL: -99.07372
39: bad sentence 19, PPL: -127.01183
40: good sentence 20, PPL: -2674.82155
41: bad sentence 20, PPL: -4323.74784
42: good sentence 21, PPL: -2516.62199
43: bad sentence 21, PPL: -2840.66713
44: good sentence 22, PPL: -282.13556
45: bad sentence 22, PPL: -293.53800
46: good sentence 23, PPL: -412.23588
47: bad sentence 23, PPL: -755.14305
48: good sentence 24, PPL: -110.53983
49: bad sentence 24, PPL: -216.63967
50: good sentence 25, PPL: -871.54942
51: bad sentence 25, PPL: -1428.82631
52: good sentence 26, PPL: -64574.97534
53: bad sentence 26, PPL: -12857.26927
54: good sentence 27, PPL: -906.84748
55: bad sentence 27, PPL: -1777.44011
56: good sentence 28, PPL: -1054.62545
57: bad sentence 28, PPL: -3282.22596
58: good sentence 29, PPL: -73.50998
59: bad sentence 29, PPL: -42.64059
60: good sentence 30, PPL: -2683.07460
61: bad sentence 30, PPL: -5101.97154
62: good sentence 31, PPL: -1221.88781
63: bad sentence 31, PPL: -3294.38745
64: good sentence 32, PPL: -112.55564
65: bad sentence 32, PPL: -234.42846
66: good sentence 33, PPL: -7495.94131
67: bad sentence 33, PPL: -10879.04519
68: good sentence 34, PPL: -4260.88267
69: bad sentence 34, PPL: -4598.39820
70: good sentence 35, PPL: -21652.34473
71: bad sentence 35, PPL: -16959.72118
72: good sentence 36, PPL: -39.88975
73: bad sentence 36, PPL: -46.56219
74: good sentence 37, PPL: -2500.83988
75: bad sentence 37, PPL: -2382.23676
76: good sentence 38, PPL: -82.73575
77: bad sentence 38, PPL: -889.39531
78: good sentence 39, PPL: -141.63364
79: bad sentence 39, PPL: -156.90473
80: good sentence 40, PPL: -45.46907
81: bad sentence 40, PPL: -31.01234
82: good sentence 41, PPL: -225.14134
83: bad sentence 41, PPL: -501.44365
84: good sentence 42, PPL: -1365.90204
85: bad sentence 42, PPL: -892.65641
86: good sentence 43, PPL: -207.05431
87: bad sentence 43, PPL: -173.54093
