Classifier-Noun
	cl_simple_noun
Model: google-bert/bert-base-chinese, Accuracy: 98.50000, Average Perplexity (Good Sentences): -4.26219, Average Perplexity (Bad Sentences): -27.90355
0: good sentence 0, PPL: -5.56052
1: bad sentence 0, PPL: -53.02099
2: good sentence 1, PPL: -3.09707
3: bad sentence 1, PPL: -12.58255
4: good sentence 2, PPL: -5.64656
5: bad sentence 2, PPL: -221.99244
6: good sentence 3, PPL: -3.46351
7: bad sentence 3, PPL: -58.99014
8: good sentence 4, PPL: -4.70957
9: bad sentence 4, PPL: -66.58161
10: good sentence 5, PPL: -2.55537
11: bad sentence 5, PPL: -4.69764
12: good sentence 6, PPL: -53.01458
13: bad sentence 6, PPL: -367.48107
14: good sentence 7, PPL: -2.26918
15: bad sentence 7, PPL: -2.63163
16: good sentence 8, PPL: -9.38232
17: bad sentence 8, PPL: -13.98781
18: good sentence 9, PPL: -5.07932
19: bad sentence 9, PPL: -46.13678
20: good sentence 10, PPL: -1.48051
21: bad sentence 10, PPL: -10.29397
22: good sentence 11, PPL: -20.15887
23: bad sentence 11, PPL: -178.06777
24: good sentence 12, PPL: -8.90707
25: bad sentence 12, PPL: -49.47100
26: good sentence 13, PPL: -11.91414
27: bad sentence 13, PPL: -43.76790
28: good sentence 14, PPL: -1.13116
29: bad sentence 14, PPL: -7.26266
30: good sentence 15, PPL: -10.02121
31: bad sentence 15, PPL: -112.58966
32: good sentence 16, PPL: -7.98352
33: bad sentence 16, PPL: -107.12563
34: good sentence 17, PPL: -9.10016
35: bad sentence 17, PPL: -144.55375
36: good sentence 18, PPL: -2.42174
37: bad sentence 18, PPL: -4.47140
38: good sentence 19, PPL: -4.99724
39: bad sentence 19, PPL: -11.69222
40: good sentence 20, PPL: -1.80758
41: bad sentence 20, PPL: -12.76528
42: good sentence 21, PPL: -1.84300
43: bad sentence 21, PPL: -56.34556
44: good sentence 22, PPL: -1.97741
45: bad sentence 22, PPL: -7.37488
46: good sentence 23, PPL: -1.50038
47: bad sentence 23, PPL: -41.73032
48: good sentence 24, PPL: -2.26110
49: bad sentence 24, PPL: -7.57776
50: good sentence 25, PPL: -2.19766
51: bad sentence 25, PPL: -15.78247
52: good sentence 26, PPL: -12.27105
53: bad sentence 26, PPL: -45.27108
54: good sentence 27, PPL: -5.68372
55: bad sentence 27, PPL: -17.43144
56: good sentence 28, PPL: -3.79926
57: bad sentence 28, PPL: -6.80791
58: good sentence 29, PPL: -2.37987
59: bad sentence 29, PPL: -7.99017
60: good sentence 30, PPL: -14.44486
61: bad sentence 30, PPL: -70.06521
62: good sentence 31, PPL: -2.79178
63: bad sentence 31, PPL: -48.30328
64: good sentence 32, PPL: -1.90984
65: bad sentence 32, PPL: -19.23668
66: good sentence 33, PPL: -1.55100
67: bad sentence 33, PPL: -5.42384
68: good sentence 34, PPL: -2.65158
69: bad sentence 34, PPL: -27.24121
70: good sentence 35, PPL: -14.79999
71: bad sentence 35, PPL: -71.13361
72: good sentence 36, PPL: -6.33593
73: bad sentence 36, PPL: -259.35263
74: good sentence 37, PPL: -21.71473
75: bad sentence 37, PPL: -262.11512
76: good sentence 38, PPL: -5.47520
77: bad sentence 38, PPL: -5.47520
78: good sentence 39, PPL: -1.68014
79: bad sentence 39, PPL: -3.98161
80: good sentence 40, PPL: -7.24341
81: bad sentence 40, PPL: -88.54310
82: good sentence 41, PPL: -13.23737
83: bad sentence 41, PPL: -53.97678
84: good sentence 42, PPL: -1.06759
85: bad sentence 42, PPL: -15.76209
86: good sentence 43, PPL: -1.32642
87: bad sentence 43, PPL: -1.56765
88: good sentence 44, PPL: -3.47181
89: bad sentence 44, PPL: -11.56460
90: good sentence 45, PPL: -1.05340
91: bad sentence 45, PPL: -27.53900
92: good sentence 46, PPL: -2.57295
93: bad sentence 46, PPL: -9.77861
94: good sentence 47, PPL: -4.34601
95: bad sentence 47, PPL: -16.56756
96: good sentence 48, PPL: -25.64659
97: bad sentence 48, PPL: -210.99982
98: good sentence 49, PPL: -2.01766
99: bad sentence 49, PPL: -10.82855
100: good sentence 50, PPL: -3.74890
101: bad sentence 50, PPL: -3.41195
