Classifier-Noun
	cl_adj_simple_noun
Model: imone/pangu_2_6B, Accuracy: 77.10000, Average Perplexity (Good Sentences): -5462.54980, Average Perplexity (Bad Sentences): -7657.47461
0: good sentence 0, PPL: -8019.27295
1: bad sentence 0, PPL: -14059.77344
2: good sentence 1, PPL: -12800.62891
3: bad sentence 1, PPL: -13959.26270
4: good sentence 2, PPL: -9077.69824
5: bad sentence 2, PPL: -9015.36523
6: good sentence 3, PPL: -1673.39978
7: bad sentence 3, PPL: -2851.53052
8: good sentence 4, PPL: -5935.77637
9: bad sentence 4, PPL: -6599.15430
10: good sentence 5, PPL: -11602.82715
11: bad sentence 5, PPL: -9184.29102
12: good sentence 6, PPL: -2967.87134
13: bad sentence 6, PPL: -4556.26855
14: good sentence 7, PPL: -5119.17480
15: bad sentence 7, PPL: -10366.68066
16: good sentence 8, PPL: -5211.77979
17: bad sentence 8, PPL: -6600.36914
18: good sentence 9, PPL: -6827.32764
19: bad sentence 9, PPL: -13685.33691
20: good sentence 10, PPL: -4692.02246
21: bad sentence 10, PPL: -10018.31934
22: good sentence 11, PPL: -6908.26074
23: bad sentence 11, PPL: -10807.50781
24: good sentence 12, PPL: -9982.98242
25: bad sentence 12, PPL: -18142.26758
26: good sentence 13, PPL: -8313.29199
27: bad sentence 13, PPL: -6563.41064
28: good sentence 14, PPL: -14542.72949
29: bad sentence 14, PPL: -10735.66113
30: good sentence 15, PPL: -14418.89648
31: bad sentence 15, PPL: -26118.18945
32: good sentence 16, PPL: -6514.50781
33: bad sentence 16, PPL: -5930.02246
34: good sentence 17, PPL: -15823.30371
35: bad sentence 17, PPL: -13261.57715
36: good sentence 18, PPL: -19122.40430
37: bad sentence 18, PPL: -19713.65234
38: good sentence 19, PPL: -27161.52148
39: bad sentence 19, PPL: -20249.39453
40: good sentence 20, PPL: -12689.65820
41: bad sentence 20, PPL: -16568.41992
42: good sentence 21, PPL: -1160.54431
43: bad sentence 21, PPL: -4955.33789
44: good sentence 22, PPL: -4607.40527
45: bad sentence 22, PPL: -4534.39062
46: good sentence 23, PPL: -1652.14880
47: bad sentence 23, PPL: -2106.28564
48: good sentence 24, PPL: -10840.07422
49: bad sentence 24, PPL: -13617.35254
50: good sentence 25, PPL: -2640.72314
51: bad sentence 25, PPL: -8930.86914
52: good sentence 26, PPL: -7294.82422
53: bad sentence 26, PPL: -5373.00049
54: good sentence 27, PPL: -8188.92627
55: bad sentence 27, PPL: -8183.40771
56: good sentence 28, PPL: -826.95801
57: bad sentence 28, PPL: -2329.23682
58: good sentence 29, PPL: -13674.57422
59: bad sentence 29, PPL: -17063.70703
60: good sentence 30, PPL: -11813.91406
61: bad sentence 30, PPL: -23730.40625
62: good sentence 31, PPL: -10895.09668
63: bad sentence 31, PPL: -16751.56445
64: good sentence 32, PPL: -9330.12402
65: bad sentence 32, PPL: -8331.56250
66: good sentence 33, PPL: -1684.51599
67: bad sentence 33, PPL: -2277.67896
68: good sentence 34, PPL: -3854.89917
69: bad sentence 34, PPL: -3623.90967
70: good sentence 35, PPL: -8530.83203
71: bad sentence 35, PPL: -9731.49316
72: good sentence 36, PPL: -2609.09521
73: bad sentence 36, PPL: -5315.62207
74: good sentence 37, PPL: -4043.81201
75: bad sentence 37, PPL: -4122.01611
76: good sentence 38, PPL: -1372.92468
77: bad sentence 38, PPL: -1372.92468
78: good sentence 39, PPL: -1856.51416
79: bad sentence 39, PPL: -14387.33301
80: good sentence 40, PPL: -7619.44238
81: bad sentence 40, PPL: -10005.20020
82: good sentence 41, PPL: -5123.46338
83: bad sentence 41, PPL: -8590.22461
84: good sentence 42, PPL: -10336.33496
85: bad sentence 42, PPL: -21802.05273
86: good sentence 43, PPL: -24845.26172
87: bad sentence 43, PPL: -21027.80469
88: good sentence 44, PPL: -1594.03210
89: bad sentence 44, PPL: -2833.02954
90: good sentence 45, PPL: -5981.58398
91: bad sentence 45, PPL: -7776.90576
92: good sentence 46, PPL: -2808.45581
93: bad sentence 46, PPL: -4251.51611
94: good sentence 47, PPL: -11826.84375
95: bad sentence 47, PPL: -14692.77148
96: good sentence 48, PPL: -5476.47168
97: bad sentence 48, PPL: -5944.12646
98: good sentence 49, PPL: -4138.91113
99: bad sentence 49, PPL: -5877.46436
100: good sentence 50, PPL: -5001.05713
101: bad sentence 50, PPL: -5075.77344
102: good sentence 51, PPL: -3662.59058
103: bad sentence 51, PPL: -4363.80078
104: good sentence 52, PPL: -7422.10596
105: bad sentence 52, PPL: -9316.31543
106: good sentence 53, PPL: -13710.00098
107: bad sentence 53, PPL: -10897.51855
108: good sentence 54, PPL: -14584.34180
109: bad sentence 54, PPL: -9029.74316
110: good sentence 55, PPL: -2135.55225
111: bad sentence 55, PPL: -1769.68372
112: good sentence 56, PPL: -9851.26758
113: bad sentence 56, PPL: -9208.64746
114: good sentence 57, PPL: -7853.89795
115: bad sentence 57, PPL: -7983.18066
116: good sentence 58, PPL: -10264.55566
117: bad sentence 58, PPL: -10477.26367
118: good sentence 59, PPL: -2504.56445
119: bad sentence 59, PPL: -9353.59082
120: good sentence 60, PPL: -3046.28174
121: bad sentence 60, PPL: -3226.70581
122: good sentence 61, PPL: -21911.04688
123: bad sentence 61, PPL: -24702.58398
124: good sentence 62, PPL: -6217.85303
125: bad sentence 62, PPL: -12221.21582
126: good sentence 63, PPL: -11582.83789
127: bad sentence 63, PPL: -10870.68652
128: good sentence 64, PPL: -6740.61572
129: bad sentence 64, PPL: -12138.97656
130: good sentence 65, PPL: -5182.98730
131: bad sentence 65, PPL: -5307.28467
132: good sentence 66, PPL: -4395.14209
133: bad sentence 66, PPL: -5530.24121
134: good sentence 67, PPL: -1365.83411
135: bad sentence 67, PPL: -2550.91821
136: good sentence 68, PPL: -1003.31244
137: bad sentence 68, PPL: -4175.28906
138: good sentence 69, PPL: -5166.74561
139: bad sentence 69, PPL: -6409.40039
140: good sentence 70, PPL: -9462.51172
141: bad sentence 70, PPL: -10297.57812
142: good sentence 71, PPL: -6363.22949
143: bad sentence 71, PPL: -11600.54688
144: good sentence 72, PPL: -13119.04297
145: bad sentence 72, PPL: -10945.86914
146: good sentence 73, PPL: -1236.73389
147: bad sentence 73, PPL: -5519.07715
148: good sentence 74, PPL: -21166.26953
149: bad sentence 74, PPL: -16539.87891
150: good sentence 75, PPL: -6868.85059
151: bad sentence 75, PPL: -2296.80542
152: good sentence 76, PPL: -1793.61462
153: bad sentence 76, PPL: -5654.31836
154: good sentence 77, PPL: -3365.66479
155: bad sentence 77, PPL: -5525.80762
156: good sentence 78, PPL: -25101.07031
157: bad sentence 78, PPL: -10146.78027
158: good sentence 79, PPL: -3596.87085
159: bad sentence 79, PPL: -2518.65918
160: good sentence 80, PPL: -17146.31250
161: bad sentence 80, PPL: -26952.71875
162: good sentence 81, PPL: -3605.67651
163: bad sentence 81, PPL: -4261.22998
164: good sentence 82, PPL: -8236.68066
165: bad sentence 82, PPL: -11938.85156
166: good sentence 83, PPL: -4249.73682
167: bad sentence 83, PPL: -3995.38550
168: good sentence 84, PPL: -2092.36743
169: bad sentence 84, PPL: -6611.89844
170: good sentence 85, PPL: -9592.39551
171: bad sentence 85, PPL: -9220.55469
172: good sentence 86, PPL: -2717.59790
173: bad sentence 86, PPL: -2825.76953
174: good sentence 87, PPL: -17908.48438
175: bad sentence 87, PPL: -6361.76123
176: good sentence 88, PPL: -4719.78467
177: bad sentence 88, PPL: -6884.03906
178: good sentence 89, PPL: -7644.96143
179: bad sentence 89, PPL: -9303.54004
180: good sentence 90, PPL: -5368.56494
181: bad sentence 90, PPL: -7337.81201
182: good sentence 91, PPL: -4612.06934
183: bad sentence 91, PPL: -12395.08691
184: good sentence 92, PPL: -5018.50049
185: bad sentence 92, PPL: -3664.21533
186: good sentence 93, PPL: -4094.22705
187: bad sentence 93, PPL: -5778.29150
188: good sentence 94, PPL: -4633.27393
189: bad sentence 94, PPL: -7098.92578
190: good sentence 95, PPL: -4394.49658
191: bad sentence 95, PPL: -12631.04004
192: good sentence 96, PPL: -5198.58545
193: bad sentence 96, PPL: -8636.76758
194: good sentence 97, PPL: -7705.37744
195: bad sentence 97, PPL: -14345.70801
196: good sentence 98, PPL: -4584.26758
197: bad sentence 98, PPL: -10194.83203
198: good sentence 99, PPL: -1236.73389
199: bad sentence 99, PPL: -10738.94824
200: good sentence 100, PPL: -8863.76172
201: bad sentence 100, PPL: -6604.99756
202: good sentence 101, PPL: -5737.29004
203: bad sentence 101, PPL: -8494.90723
204: good sentence 102, PPL: -1853.58264
205: bad sentence 102, PPL: -2243.42871
206: good sentence 103, PPL: -8277.86523
