RelativeClause
	rc_resumptive_noun
Model: google-bert/bert-base-chinese, Accuracy: 25.60000, Average Perplexity (Good Sentences): -5.03174, Average Perplexity (Bad Sentences): -4.16085
0: good sentence 0, PPL: -3.22240
1: bad sentence 0, PPL: -1.71540
2: good sentence 1, PPL: -8.07115
3: bad sentence 1, PPL: -5.45383
4: good sentence 2, PPL: -5.39693
5: bad sentence 2, PPL: -3.17594
6: good sentence 3, PPL: -11.64913
7: bad sentence 3, PPL: -8.33330
8: good sentence 4, PPL: -17.17761
9: bad sentence 4, PPL: -8.75229
10: good sentence 5, PPL: -2.81035
11: bad sentence 5, PPL: -2.56608
12: good sentence 6, PPL: -23.72484
13: bad sentence 6, PPL: -17.57349
14: good sentence 7, PPL: -3.86863
15: bad sentence 7, PPL: -3.30695
16: good sentence 8, PPL: -3.08635
17: bad sentence 8, PPL: -2.79936
18: good sentence 9, PPL: -5.08927
19: bad sentence 9, PPL: -3.94072
20: good sentence 10, PPL: -3.56645
21: bad sentence 10, PPL: -3.84789
22: good sentence 11, PPL: -10.15005
23: bad sentence 11, PPL: -4.78612
24: good sentence 12, PPL: -2.71660
25: bad sentence 12, PPL: -2.86182
26: good sentence 13, PPL: -3.75644
27: bad sentence 13, PPL: -2.76954
28: good sentence 14, PPL: -3.49855
29: bad sentence 14, PPL: -5.59971
30: good sentence 15, PPL: -4.11630
31: bad sentence 15, PPL: -3.92104
32: good sentence 16, PPL: -2.86360
33: bad sentence 16, PPL: -2.80424
34: good sentence 17, PPL: -2.71476
35: bad sentence 17, PPL: -2.42465
36: good sentence 18, PPL: -2.57007
37: bad sentence 18, PPL: -2.44820
38: good sentence 19, PPL: -7.94833
39: bad sentence 19, PPL: -5.36354
40: good sentence 20, PPL: -4.14201
41: bad sentence 20, PPL: -4.31045
42: good sentence 21, PPL: -5.39664
43: bad sentence 21, PPL: -5.82714
44: good sentence 22, PPL: -7.34175
45: bad sentence 22, PPL: -6.07229
