verb_complement_res_verb_1000.csv
Model: 01-ai/Yi-6B, Accuracy: 0.61400, Average Perplexity (Good Sentences): -2396.07349, Average Perplexity (Bad Sentences): -2758.76343
0: good sentence 0, PPL: -1377.54456
1: bad sentence 0, PPL: -2400.72461
2: good sentence 1, PPL: -20620.71680
3: bad sentence 1, PPL: -9064.07324
4: good sentence 2, PPL: -6528.76270
5: bad sentence 2, PPL: -2520.54541
6: good sentence 3, PPL: -51904.29297
7: bad sentence 3, PPL: -6637.17578
8: good sentence 4, PPL: -10507.76270
9: bad sentence 4, PPL: -3028.10913
10: good sentence 5, PPL: -557.72577
11: bad sentence 5, PPL: -3824.73584
12: good sentence 6, PPL: -986.47443
13: bad sentence 6, PPL: -1127.61243
14: good sentence 7, PPL: -1640.53027
15: bad sentence 7, PPL: -2611.22485
16: good sentence 8, PPL: -1150.22607
17: bad sentence 8, PPL: -1575.02917
18: good sentence 9, PPL: -38365.26562
19: bad sentence 9, PPL: -2321.05225
20: good sentence 10, PPL: -12071.12012
21: bad sentence 10, PPL: -1817.09155
22: good sentence 11, PPL: -3726.55664
23: bad sentence 11, PPL: -2026.10913
24: good sentence 12, PPL: -3656.06836
25: bad sentence 12, PPL: -8436.57617
26: good sentence 13, PPL: -1366.66870
27: bad sentence 13, PPL: -2767.90527
28: good sentence 14, PPL: -6014.78467
29: bad sentence 14, PPL: -4954.63818
30: good sentence 15, PPL: -400.34808
31: bad sentence 15, PPL: -793.79596
32: good sentence 16, PPL: -23728.46094
33: bad sentence 16, PPL: -18470.74023
34: good sentence 17, PPL: -1246.51868
35: bad sentence 17, PPL: -1511.15869
36: good sentence 18, PPL: -2981.15698
37: bad sentence 18, PPL: -16001.20020
38: good sentence 19, PPL: -48233.39062
39: bad sentence 19, PPL: -15812.98633
40: good sentence 20, PPL: -54410.79688
41: bad sentence 20, PPL: -5767.44043
42: good sentence 21, PPL: -8356.11816
43: bad sentence 21, PPL: -46533.44922
44: good sentence 22, PPL: -578.77802
45: bad sentence 22, PPL: -698.83929
46: good sentence 23, PPL: -971.93378
47: bad sentence 23, PPL: -1925.50659
48: good sentence 24, PPL: -4772.56982
49: bad sentence 24, PPL: -1362.36450
50: good sentence 25, PPL: -6965.33838
51: bad sentence 25, PPL: -4314.58643
52: good sentence 26, PPL: -1697.88000
53: bad sentence 26, PPL: -1562.63879
54: good sentence 27, PPL: -2856.88623
55: bad sentence 27, PPL: -4101.37451
56: good sentence 28, PPL: -331.15564
57: bad sentence 28, PPL: -524.91260
58: good sentence 29, PPL: -622.78821
59: bad sentence 29, PPL: -7215.68408
60: good sentence 30, PPL: -3570.91553
61: bad sentence 30, PPL: -2049.87891
62: good sentence 31, PPL: -16372.20801
63: bad sentence 31, PPL: -4419.67627
64: good sentence 32, PPL: -5127.97021
65: bad sentence 32, PPL: -2558.21240
66: good sentence 33, PPL: -16803.13086
67: bad sentence 33, PPL: -8711.41602
68: good sentence 34, PPL: -1830.63525
69: bad sentence 34, PPL: -4683.16650
70: good sentence 35, PPL: -4418.10400
71: bad sentence 35, PPL: -2446.90186
72: good sentence 36, PPL: -4761.64941
73: bad sentence 36, PPL: -25870.33984
74: good sentence 37, PPL: -904.50842
75: bad sentence 37, PPL: -2154.51440
76: good sentence 38, PPL: -29911.31445
77: bad sentence 38, PPL: -12542.69238
78: good sentence 39, PPL: -2234.21582
79: bad sentence 39, PPL: -2507.47412
80: good sentence 40, PPL: -1782.06238
81: bad sentence 40, PPL: -1069.02527
82: good sentence 41, PPL: -1082.48108
83: bad sentence 41, PPL: -1105.64014
84: good sentence 42, PPL: -6081.93115
85: bad sentence 42, PPL: -2020.29651
86: good sentence 43, PPL: -53011.87109
87: bad sentence 43, PPL: -3147.80469
88: good sentence 44, PPL: -1323.23633
89: bad sentence 44, PPL: -3413.15771
90: good sentence 45, PPL: -1808.51843
91: bad sentence 45, PPL: -861.76135
92: good sentence 46, PPL: -3222.08398
93: bad sentence 46, PPL: -2998.83618
94: good sentence 47, PPL: -1874.86707
95: bad sentence 47, PPL: -4268.46582
96: good sentence 48, PPL: -2399.78735
97: bad sentence 48, PPL: -9811.29785
98: good sentence 49, PPL: -711.87109
99: bad sentence 49, PPL: -1111.85535
100: good sentence 50, PPL: -343.08701
101: bad sentence 50, PPL: -846.83923
102: good sentence 51, PPL: -4198.83643
103: bad sentence 51, PPL: -6435.66504
104: good sentence 52, PPL: -1005.38086
105: bad sentence 52, PPL: -4833.72949
106: good sentence 53, PPL: -1840.50464
107: bad sentence 53, PPL: -775.00031
108: good sentence 54, PPL: -887.44348
109: bad sentence 54, PPL: -1042.59705
110: good sentence 55, PPL: -17330.83398
111: bad sentence 55, PPL: -9824.31250
112: good sentence 56, PPL: -12071.12012
113: bad sentence 56, PPL: -13053.52344
114: good sentence 57, PPL: -2939.98950
115: bad sentence 57, PPL: -1268.01917
116: good sentence 58, PPL: -23703.44531
117: bad sentence 58, PPL: -2330.42529
118: good sentence 59, PPL: -2022.00903
119: bad sentence 59, PPL: -960.94171
120: good sentence 60, PPL: -11314.08984
121: bad sentence 60, PPL: -3161.98486
122: good sentence 61, PPL: -4449.44092
123: bad sentence 61, PPL: -2913.29736
124: good sentence 62, PPL: -3674.06177
125: bad sentence 62, PPL: -7298.70703
126: good sentence 63, PPL: -2337.82349
127: bad sentence 63, PPL: -2632.10278
128: good sentence 64, PPL: -4166.77637
129: bad sentence 64, PPL: -5010.77197
130: good sentence 65, PPL: -23270.99805
131: bad sentence 65, PPL: -31002.95703
132: good sentence 66, PPL: -5731.20361
133: bad sentence 66, PPL: -18017.43359
134: good sentence 67, PPL: -54410.79688
135: bad sentence 67, PPL: -6103.68604
136: good sentence 68, PPL: -562.23486
137: bad sentence 68, PPL: -1208.33264
138: good sentence 69, PPL: -9902.53711
139: bad sentence 69, PPL: -23066.02148
140: good sentence 70, PPL: -2724.73706
141: bad sentence 70, PPL: -1366.39954
142: good sentence 71, PPL: -8444.20703
143: bad sentence 71, PPL: -4982.96582
144: good sentence 72, PPL: -1195.02368
145: bad sentence 72, PPL: -15574.34570
146: good sentence 73, PPL: -904.66980
147: bad sentence 73, PPL: -1730.57446
148: good sentence 74, PPL: -641.80249
149: bad sentence 74, PPL: -1366.63281
150: good sentence 75, PPL: -1182.57666
151: bad sentence 75, PPL: -1069.02429
152: good sentence 76, PPL: -4417.23633
153: bad sentence 76, PPL: -5779.04688
154: good sentence 77, PPL: -2750.45679
155: bad sentence 77, PPL: -4505.06738
156: good sentence 78, PPL: -3523.38086
157: bad sentence 78, PPL: -4531.03613
158: good sentence 79, PPL: -470.02072
159: bad sentence 79, PPL: -729.54120
160: good sentence 80, PPL: -1547.83887
161: bad sentence 80, PPL: -1842.68250
162: good sentence 81, PPL: -783.83600
163: bad sentence 81, PPL: -836.98602
164: good sentence 82, PPL: -2346.69482
165: bad sentence 82, PPL: -6362.79834
166: good sentence 83, PPL: -21594.91602
167: bad sentence 83, PPL: -17867.91602
168: good sentence 84, PPL: -4850.86719
169: bad sentence 84, PPL: -2732.78345
170: good sentence 85, PPL: -12164.07715
171: bad sentence 85, PPL: -2830.21973
172: good sentence 86, PPL: -8771.37109
173: bad sentence 86, PPL: -4117.01074
174: good sentence 87, PPL: -5973.50635
175: bad sentence 87, PPL: -1070.72412
176: good sentence 88, PPL: -3392.67065
177: bad sentence 88, PPL: -2514.92676
178: good sentence 89, PPL: -316.75439
179: bad sentence 89, PPL: -341.22479
180: good sentence 90, PPL: -912.42542
181: bad sentence 90, PPL: -2584.91919
182: good sentence 91, PPL: -2347.05078
183: bad sentence 91, PPL: -3572.08398
184: good sentence 92, PPL: -6708.68457
185: bad sentence 92, PPL: -1651.90454
186: good sentence 93, PPL: -806.20001
187: bad sentence 93, PPL: -2369.28687
188: good sentence 94, PPL: -444.36203
189: bad sentence 94, PPL: -673.46332
190: good sentence 95, PPL: -2451.26611
191: bad sentence 95, PPL: -1157.60730
192: good sentence 96, PPL: -32712.93750
193: bad sentence 96, PPL: -9665.74902
194: good sentence 97, PPL: -5101.33301
195: bad sentence 97, PPL: -5882.15234
196: good sentence 98, PPL: -646.05542
197: bad sentence 98, PPL: -861.43427
198: good sentence 99, PPL: -244.94443
199: bad sentence 99, PPL: -294.88696
200: good sentence 100, PPL: -5680.40723
201: bad sentence 100, PPL: -1724.70154
202: good sentence 101, PPL: -4318.73584
203: bad sentence 101, PPL: -2356.40088
204: good sentence 102, PPL: -849.49963
205: bad sentence 102, PPL: -9532.02637
206: good sentence 103, PPL: -4696.38330
207: bad sentence 103, PPL: -10049.30371
208: good sentence 104, PPL: -744.58594
209: bad sentence 104, PPL: -2948.12915
210: good sentence 105, PPL: -1426.18225
211: bad sentence 105, PPL: -2656.79858
212: good sentence 106, PPL: -1771.10706
213: bad sentence 106, PPL: -3640.39062
214: good sentence 107, PPL: -1532.94739
215: bad sentence 107, PPL: -1918.05823
216: good sentence 108, PPL: -688.50366
217: bad sentence 108, PPL: -1815.94641
218: good sentence 109, PPL: -1366.66870
219: bad sentence 109, PPL: -2072.43945
220: good sentence 110, PPL: -11820.22461
221: bad sentence 110, PPL: -8977.18555
222: good sentence 111, PPL: -17288.88672
223: bad sentence 111, PPL: -3585.18579
224: good sentence 112, PPL: -9017.40332
225: bad sentence 112, PPL: -5506.19629
226: good sentence 113, PPL: -5881.32227
227: bad sentence 113, PPL: -1992.62756
228: good sentence 114, PPL: -1208.59546
229: bad sentence 114, PPL: -1719.77673
230: good sentence 115, PPL: -594.74121
231: bad sentence 115, PPL: -2649.89209
232: good sentence 116, PPL: -10018.67285
233: bad sentence 116, PPL: -5856.19189
234: good sentence 117, PPL: -228.11690
235: bad sentence 117, PPL: -325.77026
236: good sentence 118, PPL: -438.22256
237: bad sentence 118, PPL: -544.22601
238: good sentence 119, PPL: -4337.98389
239: bad sentence 119, PPL: -1912.03430
240: good sentence 120, PPL: -6326.80176
241: bad sentence 120, PPL: -2234.77539
242: good sentence 121, PPL: -1435.05310
243: bad sentence 121, PPL: -2163.83105
244: good sentence 122, PPL: -7917.20361
245: bad sentence 122, PPL: -1731.24463
246: good sentence 123, PPL: -988.36487
247: bad sentence 123, PPL: -953.52722
248: good sentence 124, PPL: -2234.42041
249: bad sentence 124, PPL: -1383.84509
250: good sentence 125, PPL: -5040.07910
251: bad sentence 125, PPL: -9771.68750
252: good sentence 126, PPL: -42590.70703
253: bad sentence 126, PPL: -18243.14062
254: good sentence 127, PPL: -2333.81274
255: bad sentence 127, PPL: -2323.62573
256: good sentence 128, PPL: -1679.46155
257: bad sentence 128, PPL: -1687.89539
258: good sentence 129, PPL: -1602.33630
259: bad sentence 129, PPL: -3628.22510
260: good sentence 130, PPL: -1797.18799
261: bad sentence 130, PPL: -5637.40137
262: good sentence 131, PPL: -8356.11816
263: bad sentence 131, PPL: -8549.00195
264: good sentence 132, PPL: -692.18787
265: bad sentence 132, PPL: -1163.49158
266: good sentence 133, PPL: -1172.33008
267: bad sentence 133, PPL: -1834.06714
268: good sentence 134, PPL: -665.80005
269: bad sentence 134, PPL: -1361.31506
270: good sentence 135, PPL: -951.17444
271: bad sentence 135, PPL: -703.11200
272: good sentence 136, PPL: -7304.98877
273: bad sentence 136, PPL: -3088.48120
274: good sentence 137, PPL: -6205.46582
275: bad sentence 137, PPL: -1979.75952
276: good sentence 138, PPL: -10507.76270
277: bad sentence 138, PPL: -1735.41284
278: good sentence 139, PPL: -3772.05933
279: bad sentence 139, PPL: -9132.03613
280: good sentence 140, PPL: -5680.40723
281: bad sentence 140, PPL: -1556.80200
282: good sentence 141, PPL: -2002.44214
283: bad sentence 141, PPL: -3291.98193
284: good sentence 142, PPL: -20559.41211
285: bad sentence 142, PPL: -12846.08594
286: good sentence 143, PPL: -2042.91064
287: bad sentence 143, PPL: -2013.61707
288: good sentence 144, PPL: -2523.31006
