Plural
	baseline_cl_men_male
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 100.00000, Average Perplexity (Good Sentences): -30.58569, Average Perplexity (Bad Sentences): -88.88358
0: good sentence 0, PPL: -12.25238
1: bad sentence 0, PPL: -24.09607
2: good sentence 1, PPL: -21.50925
3: bad sentence 1, PPL: -61.57548
4: good sentence 2, PPL: -19.91282
5: bad sentence 2, PPL: -58.67335
6: good sentence 3, PPL: -240.90574
7: bad sentence 3, PPL: -874.53673
8: good sentence 4, PPL: -20.05175
9: bad sentence 4, PPL: -40.88979
10: good sentence 5, PPL: -15.30742
11: bad sentence 5, PPL: -54.07408
12: good sentence 6, PPL: -186.65269
13: bad sentence 6, PPL: -564.80030
14: good sentence 7, PPL: -285.90278
15: bad sentence 7, PPL: -1570.41403
16: good sentence 8, PPL: -248.26823
17: bad sentence 8, PPL: -249.79372
18: good sentence 9, PPL: -308.30785
19: bad sentence 9, PPL: -770.01285
20: good sentence 10, PPL: -39.97918
21: bad sentence 10, PPL: -116.57507
22: good sentence 11, PPL: -211.16993
23: bad sentence 11, PPL: -611.23892
24: good sentence 12, PPL: -6.98702
25: bad sentence 12, PPL: -17.10179
26: good sentence 13, PPL: -134.08127
27: bad sentence 13, PPL: -604.52514
28: good sentence 14, PPL: -186.22460
29: bad sentence 14, PPL: -553.49350
30: good sentence 15, PPL: -47.70432
31: bad sentence 15, PPL: -164.87988
32: good sentence 16, PPL: -9.03358
33: bad sentence 16, PPL: -19.17894
34: good sentence 17, PPL: -7.62162
35: bad sentence 17, PPL: -34.60210
36: good sentence 18, PPL: -4.77349
37: bad sentence 18, PPL: -9.24682
38: good sentence 19, PPL: -10.77770
39: bad sentence 19, PPL: -24.09658
40: good sentence 20, PPL: -28.69305
41: bad sentence 20, PPL: -62.13158
42: good sentence 21, PPL: -32.71923
43: bad sentence 21, PPL: -138.82064
44: good sentence 22, PPL: -35.56426
45: bad sentence 22, PPL: -103.42880
46: good sentence 23, PPL: -17.77744
47: bad sentence 23, PPL: -41.03606
48: good sentence 24, PPL: -7.85773
49: bad sentence 24, PPL: -16.30500
50: good sentence 25, PPL: -20.16540
51: bad sentence 25, PPL: -75.37972
52: good sentence 26, PPL: -35.91190
53: bad sentence 26, PPL: -65.85943
54: good sentence 27, PPL: -11.66107
55: bad sentence 27, PPL: -35.44583
56: good sentence 28, PPL: -16.95430
57: bad sentence 28, PPL: -52.61082
58: good sentence 29, PPL: -24.26013
59: bad sentence 29, PPL: -47.50671
60: good sentence 30, PPL: -20.20058
61: bad sentence 30, PPL: -46.66132
62: good sentence 31, PPL: -45.48962
