Plural
	cl_self_male
Model: Qwen/Qwen-14B, Accuracy: 100.00000, Average Perplexity (Good Sentences): -555.50000, Average Perplexity (Bad Sentences): -1685.00000
0: good sentence 0, PPL: -637.00000
1: bad sentence 0, PPL: -1766.00000
2: good sentence 1, PPL: -227.25000
3: bad sentence 1, PPL: -471.75000
4: good sentence 2, PPL: -736.00000
5: bad sentence 2, PPL: -2190.00000
6: good sentence 3, PPL: -575.50000
7: bad sentence 3, PPL: -1589.00000
8: good sentence 4, PPL: -117.37500
9: bad sentence 4, PPL: -270.75000
10: good sentence 5, PPL: -189.87500
11: bad sentence 5, PPL: -421.25000
12: good sentence 6, PPL: -274.00000
13: bad sentence 6, PPL: -854.00000
14: good sentence 7, PPL: -272.00000
15: bad sentence 7, PPL: -756.50000
16: good sentence 8, PPL: -1851.00000
17: bad sentence 8, PPL: -5232.00000
18: good sentence 9, PPL: -971.50000
19: bad sentence 9, PPL: -2480.00000
20: good sentence 10, PPL: -691.50000
21: bad sentence 10, PPL: -1633.00000
22: good sentence 11, PPL: -134.62500
23: bad sentence 11, PPL: -170.12500
24: good sentence 12, PPL: -434.50000
25: bad sentence 12, PPL: -1349.00000
26: good sentence 13, PPL: -697.00000
27: bad sentence 13, PPL: -2009.00000
28: good sentence 14, PPL: -2822.00000
29: bad sentence 14, PPL: -8488.00000
30: good sentence 15, PPL: -201.25000
31: bad sentence 15, PPL: -508.00000
32: good sentence 16, PPL: -805.50000
33: bad sentence 16, PPL: -1672.00000
34: good sentence 17, PPL: -536.50000
35: bad sentence 17, PPL: -1181.00000
36: good sentence 18, PPL: -953.00000
37: bad sentence 18, PPL: -1571.00000
38: good sentence 19, PPL: -311.75000
39: bad sentence 19, PPL: -657.50000
40: good sentence 20, PPL: -1392.00000
41: bad sentence 20, PPL: -3768.00000
42: good sentence 21, PPL: -457.25000
43: bad sentence 21, PPL: -1038.00000
44: good sentence 22, PPL: -1105.00000
45: bad sentence 22, PPL: -2980.00000
46: good sentence 23, PPL: -634.50000
47: bad sentence 23, PPL: -1808.00000
48: good sentence 24, PPL: -1034.00000
49: bad sentence 24, PPL: -2404.00000
50: good sentence 25, PPL: -193.62500
51: bad sentence 25, PPL: -553.50000
52: good sentence 26, PPL: -363.00000
53: bad sentence 26, PPL: -1140.00000
54: good sentence 27, PPL: -245.62500
55: bad sentence 27, PPL: -891.50000
56: good sentence 28, PPL: -736.00000
57: bad sentence 28, PPL: -1822.00000
58: good sentence 29, PPL: -930.50000
59: bad sentence 29, PPL: -2480.00000
60: good sentence 30, PPL: -460.75000
61: bad sentence 30, PPL: -916.50000
62: good sentence 31, PPL: -1110.00000
63: bad sentence 31, PPL: -3004.00000
64: good sentence 32, PPL: -605.50000
65: bad sentence 32, PPL: -1910.00000
66: good sentence 33, PPL: -339.75000
67: bad sentence 33, PPL: -930.50000
68: good sentence 34, PPL: -562.50000
69: bad sentence 34, PPL: -1414.00000
70: good sentence 35, PPL: -812.00000
71: bad sentence 35, PPL: -1685.00000
72: good sentence 36, PPL: -343.75000
73: bad sentence 36, PPL: -1223.00000
74: good sentence 37, PPL: -436.25000
75: bad sentence 37, PPL: -1370.00000
76: good sentence 38, PPL: -235.37500
77: bad sentence 38, PPL: -739.00000
78: good sentence 39, PPL: -945.50000
79: bad sentence 39, PPL: -1910.00000
80: good sentence 40, PPL: -168.87500
81: bad sentence 40, PPL: -448.25000
82: good sentence 41, PPL: -1114.00000
83: bad sentence 41, PPL: -4840.00000
84: good sentence 42, PPL: -673.00000
85: bad sentence 42, PPL: -2348.00000
86: good sentence 43, PPL: -514.00000
87: bad sentence 43, PPL: -1565.00000
88: good sentence 44, PPL: -273.00000
89: bad sentence 44, PPL: -558.00000
90: good sentence 45, PPL: -406.50000
91: bad sentence 45, PPL: -881.00000
92: good sentence 46, PPL: -214.25000
93: bad sentence 46, PPL: -434.50000
94: good sentence 47, PPL: -762.50000
95: bad sentence 47, PPL: -2800.00000
96: good sentence 48, PPL: -1453.00000
97: bad sentence 48, PPL: -3858.00000
98: good sentence 49, PPL: -397.25000
99: bad sentence 49, PPL: -861.00000
100: good sentence 50, PPL: -861.00000
101: bad sentence 50, PPL: -3100.00000
102: good sentence 51, PPL: -1476.00000
103: bad sentence 51, PPL: -4580.00000
104: good sentence 52, PPL: -941.50000
105: bad sentence 52, PPL: -3198.00000
106: good sentence 53, PPL: -409.75000
107: bad sentence 53, PPL: -1167.00000
108: good sentence 54, PPL: -191.25000
109: bad sentence 54, PPL: -368.75000
110: good sentence 55, PPL: -881.00000
111: bad sentence 55, PPL: -2082.00000
112: good sentence 56, PPL: -432.75000
113: bad sentence 56, PPL: -1172.00000
114: good sentence 57, PPL: -1097.00000
115: bad sentence 57, PPL: -3326.00000
116: good sentence 58, PPL: -479.00000
117: bad sentence 58, PPL: -799.00000
118: good sentence 59, PPL: -275.00000
119: bad sentence 59, PPL: -524.00000
120: good sentence 60, PPL: -178.37500
121: bad sentence 60, PPL: -329.25000
122: good sentence 61, PPL: -898.50000
123: bad sentence 61, PPL: -1940.00000
124: good sentence 62, PPL: -1131.00000
125: bad sentence 62, PPL: -2958.00000
126: good sentence 63, PPL: -745.00000
127: bad sentence 63, PPL: -1880.00000
128: good sentence 64, PPL: -1559.00000
129: bad sentence 64, PPL: -7552.00000
130: good sentence 65, PPL: -881.00000
131: bad sentence 65, PPL: -2114.00000
132: good sentence 66, PPL: -408.25000
133: bad sentence 66, PPL: -994.50000
134: good sentence 67, PPL: -422.75000
135: bad sentence 67, PPL: -1018.00000
136: good sentence 68, PPL: -551.50000
137: bad sentence 68, PPL: -2258.00000
138: good sentence 69, PPL: -211.00000
139: bad sentence 69, PPL: -691.50000
140: good sentence 70, PPL: -245.62500
141: bad sentence 70, PPL: -518.00000
142: good sentence 71, PPL: -219.37500
143: bad sentence 71, PPL: -370.25000
144: good sentence 72, PPL: -149.00000
145: bad sentence 72, PPL: -288.25000
146: good sentence 73, PPL: -360.25000
147: bad sentence 73, PPL: -867.50000
148: good sentence 74, PPL: -665.00000
149: bad sentence 74, PPL: -2048.00000
150: good sentence 75, PPL: -235.37500
151: bad sentence 75, PPL: -762.50000
152: good sentence 76, PPL: -166.87500
153: bad sentence 76, PPL: -325.50000
154: good sentence 77, PPL: -844.00000
155: bad sentence 77, PPL: -2276.00000
156: good sentence 78, PPL: -953.00000
157: bad sentence 78, PPL: -2620.00000
158: good sentence 79, PPL: -289.50000
159: bad sentence 79, PPL: -566.50000
160: good sentence 80, PPL: -1238.00000
161: bad sentence 80, PPL: -2048.00000
162: good sentence 81, PPL: -411.50000
163: bad sentence 81, PPL: -841.00000
164: good sentence 82, PPL: -432.75000
165: bad sentence 82, PPL: -1158.00000
166: good sentence 83, PPL: -313.00000
167: bad sentence 83, PPL: -912.50000
168: good sentence 84, PPL: -5976.00000
169: bad sentence 84, PPL: -18112.00000
170: good sentence 85, PPL: -697.00000
171: bad sentence 85, PPL: -2250.00000
172: good sentence 86, PPL: -488.50000
173: bad sentence 86, PPL: -1815.00000
174: good sentence 87, PPL: -133.00000
175: bad sentence 87, PPL: -276.25000
176: good sentence 88, PPL: -383.50000
177: bad sentence 88, PPL: -725.00000
178: good sentence 89, PPL: -975.50000
179: bad sentence 89, PPL: -3378.00000
180: good sentence 90, PPL: -793.00000
181: bad sentence 90, PPL: -2358.00000
182: good sentence 91, PPL: -496.25000
183: bad sentence 91, PPL: -1370.00000
184: good sentence 92, PPL: -637.00000
185: bad sentence 92, PPL: -1640.00000
186: good sentence 93, PPL: -439.75000
187: bad sentence 93, PPL: -1190.00000
188: good sentence 94, PPL: -1123.00000
189: bad sentence 94, PPL: -2856.00000
190: good sentence 95, PPL: -584.50000
191: bad sentence 95, PPL: -1547.00000
192: good sentence 96, PPL: -1051.00000
193: bad sentence 96, PPL: -2620.00000
194: good sentence 97, PPL: -847.50000
195: bad sentence 97, PPL: -1725.00000
196: good sentence 98, PPL: -275.00000
197: bad sentence 98, PPL: -587.00000
198: good sentence 99, PPL: -1419.00000
199: bad sentence 99, PPL: -4074.00000
200: good sentence 100, PPL: -722.00000
201: bad sentence 100, PPL: -1679.00000
202: good sentence 101, PPL: -307.00000
203: bad sentence 101, PPL: -662.50000
204: good sentence 102, PPL: -386.50000
205: bad sentence 102, PPL: -802.50000
206: good sentence 103, PPL: -439.75000
207: bad sentence 103, PPL: -1453.00000
208: good sentence 104, PPL: -1154.00000
209: bad sentence 104, PPL: -3918.00000
210: good sentence 105, PPL: -374.50000
211: bad sentence 105, PPL: -877.50000
212: good sentence 106, PPL: -108.18750
213: bad sentence 106, PPL: -202.12500
214: good sentence 107, PPL: -275.00000
215: bad sentence 107, PPL: -634.50000
216: good sentence 108, PPL: -1375.00000
217: bad sentence 108, PPL: -4172.00000
218: good sentence 109, PPL: -391.00000
219: bad sentence 109, PPL: -751.00000
220: good sentence 110, PPL: -329.25000
221: bad sentence 110, PPL: -605.50000
222: good sentence 111, PPL: -1344.00000
223: bad sentence 111, PPL: -2890.00000
224: good sentence 112, PPL: -289.50000
225: bad sentence 112, PPL: -884.50000
226: good sentence 113, PPL: -484.75000
227: bad sentence 113, PPL: -1219.00000
228: good sentence 114, PPL: -824.50000
229: bad sentence 114, PPL: -2386.00000
230: good sentence 115, PPL: -1499.00000
231: bad sentence 115, PPL: -4800.00000
232: good sentence 116, PPL: -179.00000
233: bad sentence 116, PPL: -323.00000
234: good sentence 117, PPL: -657.50000
235: bad sentence 117, PPL: -1910.00000
236: good sentence 118, PPL: -678.50000
237: bad sentence 118, PPL: -1277.00000
238: good sentence 119, PPL: -1219.00000
