Aspect
	zai_le
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 61.70000, Average Perplexity (Good Sentences): -29.54612, Average Perplexity (Bad Sentences): -35.68015
0: good sentence 0, PPL: -24.15496
1: bad sentence 0, PPL: -46.07995
2: good sentence 1, PPL: -321.86933
3: bad sentence 1, PPL: -697.69537
4: good sentence 2, PPL: -25.43811
5: bad sentence 2, PPL: -126.01660
6: good sentence 3, PPL: -36.04117
7: bad sentence 3, PPL: -127.04776
8: good sentence 4, PPL: -16.38728
9: bad sentence 4, PPL: -75.32391
10: good sentence 5, PPL: -43.65462
11: bad sentence 5, PPL: -81.49370
12: good sentence 6, PPL: -48.57678
13: bad sentence 6, PPL: -57.37562
14: good sentence 7, PPL: -261.53081
15: bad sentence 7, PPL: -261.53081
16: good sentence 8, PPL: -38.24638
17: bad sentence 8, PPL: -45.35029
18: good sentence 9, PPL: -35.40720
19: bad sentence 9, PPL: -18.68457
20: good sentence 10, PPL: -12.39312
21: bad sentence 10, PPL: -17.46250
22: good sentence 11, PPL: -19.24153
23: bad sentence 11, PPL: -15.90663
24: good sentence 12, PPL: -289.47729
25: bad sentence 12, PPL: -417.88339
26: good sentence 13, PPL: -20.14412
27: bad sentence 13, PPL: -17.07412
28: good sentence 14, PPL: -52.55040
29: bad sentence 14, PPL: -63.37606
30: good sentence 15, PPL: -22.10785
31: bad sentence 15, PPL: -38.25347
32: good sentence 16, PPL: -14.58268
33: bad sentence 16, PPL: -38.60135
34: good sentence 17, PPL: -8.42333
35: bad sentence 17, PPL: -13.30899
36: good sentence 18, PPL: -20.82194
37: bad sentence 18, PPL: -18.32923
38: good sentence 19, PPL: -28.10338
39: bad sentence 19, PPL: -49.13656
40: good sentence 20, PPL: -15.07850
41: bad sentence 20, PPL: -36.97519
42: good sentence 21, PPL: -14.23669
43: bad sentence 21, PPL: -12.30625
44: good sentence 22, PPL: -64.08803
45: bad sentence 22, PPL: -247.23820
46: good sentence 23, PPL: -153.63941
47: bad sentence 23, PPL: -272.76768
48: good sentence 24, PPL: -12.22845
49: bad sentence 24, PPL: -35.57942
50: good sentence 25, PPL: -989.70958
51: bad sentence 25, PPL: -1600.84186
52: good sentence 26, PPL: -26.13582
53: bad sentence 26, PPL: -122.78197
54: good sentence 27, PPL: -13.56901
55: bad sentence 27, PPL: -22.53461
56: good sentence 28, PPL: -8.71415
57: bad sentence 28, PPL: -11.88132
58: good sentence 29, PPL: -46.68167
59: bad sentence 29, PPL: -90.29547
60: good sentence 30, PPL: -32.34723
61: bad sentence 30, PPL: -65.62538
62: good sentence 31, PPL: -6.92080
63: bad sentence 31, PPL: -11.47514
64: good sentence 32, PPL: -7.76995
65: bad sentence 32, PPL: -13.51925
66: good sentence 33, PPL: -9.27129
67: bad sentence 33, PPL: -15.27136
68: good sentence 34, PPL: -12.85834
69: bad sentence 34, PPL: -23.70515
70: good sentence 35, PPL: -47.78257
71: bad sentence 35, PPL: -121.65678
72: good sentence 36, PPL: -17.64820
73: bad sentence 36, PPL: -14.00612
74: good sentence 37, PPL: -90.03268
75: bad sentence 37, PPL: -145.37243
76: good sentence 38, PPL: -22.84559
77: bad sentence 38, PPL: -19.09927
78: good sentence 39, PPL: -10.27211
79: bad sentence 39, PPL: -14.75713
80: good sentence 40, PPL: -10.82716
81: bad sentence 40, PPL: -15.11529
82: good sentence 41, PPL: -21.17852
83: bad sentence 41, PPL: -17.85962
84: good sentence 42, PPL: -11.05550
85: bad sentence 42, PPL: -14.68252
86: good sentence 43, PPL: -4.82431
87: bad sentence 43, PPL: -11.29078
88: good sentence 44, PPL: -54.63910
89: bad sentence 44, PPL: -138.82190
90: good sentence 45, PPL: -10.28926
91: bad sentence 45, PPL: -18.29872
92: good sentence 46, PPL: -2.97493
93: bad sentence 46, PPL: -5.59399
94: good sentence 47, PPL: -198.90632
95: bad sentence 47, PPL: -290.85448
96: good sentence 48, PPL: -90.35434
97: bad sentence 48, PPL: -102.87863
98: good sentence 49, PPL: -32.16230
99: bad sentence 49, PPL: -61.57483
100: good sentence 50, PPL: -8.16439
101: bad sentence 50, PPL: -10.66048
102: good sentence 51, PPL: -51.32002
103: bad sentence 51, PPL: -58.64736
104: good sentence 52, PPL: -23.08347
105: bad sentence 52, PPL: -75.00655
106: good sentence 53, PPL: -108.69202
107: bad sentence 53, PPL: -62.04132
108: good sentence 54, PPL: -3.98278
109: bad sentence 54, PPL: -4.96035
110: good sentence 55, PPL: -8.75520
111: bad sentence 55, PPL: -12.13790
112: good sentence 56, PPL: -11.65781
113: bad sentence 56, PPL: -27.70407
114: good sentence 57, PPL: -117.27882
115: bad sentence 57, PPL: -296.87098
116: good sentence 58, PPL: -4.90759
117: bad sentence 58, PPL: -3.89792
118: good sentence 59, PPL: -15.76779
119: bad sentence 59, PPL: -15.76779
120: good sentence 60, PPL: -7.90635
121: bad sentence 60, PPL: -11.90725
122: good sentence 61, PPL: -40.73080
123: bad sentence 61, PPL: -88.42430
124: good sentence 62, PPL: -22.76798
125: bad sentence 62, PPL: -66.90033
126: good sentence 63, PPL: -16.94850
127: bad sentence 63, PPL: -31.47628
128: good sentence 64, PPL: -144.23656
129: bad sentence 64, PPL: -249.09280
130: good sentence 65, PPL: -24.47029
131: bad sentence 65, PPL: -44.93629
132: good sentence 66, PPL: -22.70598
133: bad sentence 66, PPL: -22.14568
134: good sentence 67, PPL: -62.12057
135: bad sentence 67, PPL: -37.18126
136: good sentence 68, PPL: -684.17104
137: bad sentence 68, PPL: -411.33091
138: good sentence 69, PPL: -42.89657
139: bad sentence 69, PPL: -64.66083
140: good sentence 70, PPL: -23.74279
141: bad sentence 70, PPL: -11.61875
142: good sentence 71, PPL: -45.78591
143: bad sentence 71, PPL: -45.78591
144: good sentence 72, PPL: -17.22437
145: bad sentence 72, PPL: -49.56048
146: good sentence 73, PPL: -8.66354
147: bad sentence 73, PPL: -10.42263
148: good sentence 74, PPL: -21.93579
149: bad sentence 74, PPL: -20.79467
150: good sentence 75, PPL: -24.44900
151: bad sentence 75, PPL: -24.44900
152: good sentence 76, PPL: -54.43901
153: bad sentence 76, PPL: -54.43901
154: good sentence 77, PPL: -46.00497
155: bad sentence 77, PPL: -143.66118
156: good sentence 78, PPL: -7.96902
157: bad sentence 78, PPL: -15.07210
158: good sentence 79, PPL: -21.72127
159: bad sentence 79, PPL: -22.51510
160: good sentence 80, PPL: -17.31528
161: bad sentence 80, PPL: -27.32050
162: good sentence 81, PPL: -13.44681
163: bad sentence 81, PPL: -22.44743
164: good sentence 82, PPL: -18.04988
165: bad sentence 82, PPL: -18.04988
166: good sentence 83, PPL: -26.00701
167: bad sentence 83, PPL: -26.00701
168: good sentence 84, PPL: -27.08554
169: bad sentence 84, PPL: -153.21739
170: good sentence 85, PPL: -11.87840
171: bad sentence 85, PPL: -35.36925
172: good sentence 86, PPL: -43.86270
173: bad sentence 86, PPL: -56.49676
174: good sentence 87, PPL: -15.13518
175: bad sentence 87, PPL: -17.27413
176: good sentence 88, PPL: -1003.16010
177: bad sentence 88, PPL: -697.56361
178: good sentence 89, PPL: -63.44021
179: bad sentence 89, PPL: -109.72514
180: good sentence 90, PPL: -10.36589
181: bad sentence 90, PPL: -17.54478
182: good sentence 91, PPL: -35.14890
183: bad sentence 91, PPL: -83.90614
184: good sentence 92, PPL: -32.67110
185: bad sentence 92, PPL: -46.99090
186: good sentence 93, PPL: -367.74204
187: bad sentence 93, PPL: -1120.04872
188: good sentence 94, PPL: -16.81965
189: bad sentence 94, PPL: -13.62005
190: good sentence 95, PPL: -3.86982
191: bad sentence 95, PPL: -4.34323
192: good sentence 96, PPL: -28.32133
193: bad sentence 96, PPL: -65.00366
194: good sentence 97, PPL: -20.54030
195: bad sentence 97, PPL: -21.38006
196: good sentence 98, PPL: -15.02696
197: bad sentence 98, PPL: -30.61476
198: good sentence 99, PPL: -28.07471
199: bad sentence 99, PPL: -22.89953
200: good sentence 100, PPL: -8.06811
201: bad sentence 100, PPL: -17.59474
202: good sentence 101, PPL: -91.91266
203: bad sentence 101, PPL: -120.87774
204: good sentence 102, PPL: -8.27299
205: bad sentence 102, PPL: -6.92149
206: good sentence 103, PPL: -40.58988
207: bad sentence 103, PPL: -65.22243
208: good sentence 104, PPL: -83.78802
209: bad sentence 104, PPL: -446.05165
210: good sentence 105, PPL: -313.87631
211: bad sentence 105, PPL: -636.70574
212: good sentence 106, PPL: -985.21017
213: bad sentence 106, PPL: -2345.70195
214: good sentence 107, PPL: -11.69191
215: bad sentence 107, PPL: -18.89545
216: good sentence 108, PPL: -16.12214
217: bad sentence 108, PPL: -42.18122
218: good sentence 109, PPL: -94.97389
219: bad sentence 109, PPL: -115.06229
220: good sentence 110, PPL: -49.54939
221: bad sentence 110, PPL: -169.61761
222: good sentence 111, PPL: -20.10062
223: bad sentence 111, PPL: -75.56771
224: good sentence 112, PPL: -14.31586
225: bad sentence 112, PPL: -35.45871
226: good sentence 113, PPL: -13.70202
227: bad sentence 113, PPL: -23.61956
228: good sentence 114, PPL: -88.05476
229: bad sentence 114, PPL: -53.74992
230: good sentence 115, PPL: -432.10290
231: bad sentence 115, PPL: -364.06292
232: good sentence 116, PPL: -35.05637
233: bad sentence 116, PPL: -32.13539
234: good sentence 117, PPL: -10.06478
235: bad sentence 117, PPL: -9.90977
236: good sentence 118, PPL: -162.54375
237: bad sentence 118, PPL: -49.32697
238: good sentence 119, PPL: -27.19509
239: bad sentence 119, PPL: -24.64457
240: good sentence 120, PPL: -5.70174
241: bad sentence 120, PPL: -13.70725
242: good sentence 121, PPL: -21.51516
243: bad sentence 121, PPL: -60.32817
244: good sentence 122, PPL: -10.36970
245: bad sentence 122, PPL: -17.55266
246: good sentence 123, PPL: -16.02018
247: bad sentence 123, PPL: -22.25136
248: good sentence 124, PPL: -78.52364
249: bad sentence 124, PPL: -111.89731
250: good sentence 125, PPL: -43.39320
251: bad sentence 125, PPL: -30.64079
252: good sentence 126, PPL: -15.35564
253: bad sentence 126, PPL: -54.35724
254: good sentence 127, PPL: -9.95327
255: bad sentence 127, PPL: -7.04174
256: good sentence 128, PPL: -26.05948
257: bad sentence 128, PPL: -59.95016
258: good sentence 129, PPL: -9.70847
259: bad sentence 129, PPL: -10.56604
260: good sentence 130, PPL: -44.99720
261: bad sentence 130, PPL: -37.11753
262: good sentence 131, PPL: -6.09671
263: bad sentence 131, PPL: -16.21753
264: good sentence 132, PPL: -83.05427
265: bad sentence 132, PPL: -89.45791
266: good sentence 133, PPL: -86.59049
267: bad sentence 133, PPL: -154.72142
268: good sentence 134, PPL: -5.09201
269: bad sentence 134, PPL: -8.91370
270: good sentence 135, PPL: -64.80633
271: bad sentence 135, PPL: -94.78008
272: good sentence 136, PPL: -32.62909
273: bad sentence 136, PPL: -122.99680
274: good sentence 137, PPL: -19.08101
275: bad sentence 137, PPL: -23.21473
276: good sentence 138, PPL: -48.44554
277: bad sentence 138, PPL: -154.77382
278: good sentence 139, PPL: -2.81122
279: bad sentence 139, PPL: -4.83713
280: good sentence 140, PPL: -24.02678
281: bad sentence 140, PPL: -83.54736
282: good sentence 141, PPL: -10.07040
283: bad sentence 141, PPL: -15.12658
284: good sentence 142, PPL: -8.11404
285: bad sentence 142, PPL: -10.25364
286: good sentence 143, PPL: -39.29849
287: bad sentence 143, PPL: -118.51359
288: good sentence 144, PPL: -4.59789
289: bad sentence 144, PPL: -6.71080
290: good sentence 145, PPL: -27.29782
291: bad sentence 145, PPL: -20.16499
292: good sentence 146, PPL: -11.58322
293: bad sentence 146, PPL: -12.78866
294: good sentence 147, PPL: -15.47323
295: bad sentence 147, PPL: -59.00256
296: good sentence 148, PPL: -31.77700
297: bad sentence 148, PPL: -77.34492
298: good sentence 149, PPL: -61.43440
299: bad sentence 149, PPL: -91.25986
300: good sentence 150, PPL: -9.81285
301: bad sentence 150, PPL: -13.89348
302: good sentence 151, PPL: -20.77491
303: bad sentence 151, PPL: -63.25671
304: good sentence 152, PPL: -18.28375
305: bad sentence 152, PPL: -37.91002
306: good sentence 153, PPL: -12.66430
307: bad sentence 153, PPL: -23.74731
308: good sentence 154, PPL: -46.65856
309: bad sentence 154, PPL: -38.62316
310: good sentence 155, PPL: -146.08666
311: bad sentence 155, PPL: -99.64360
312: good sentence 156, PPL: -64.01260
313: bad sentence 156, PPL: -161.50855
314: good sentence 157, PPL: -6.09305
315: bad sentence 157, PPL: -11.23506
316: good sentence 158, PPL: -25.78410
317: bad sentence 158, PPL: -25.78410
318: good sentence 159, PPL: -42.63170
319: bad sentence 159, PPL: -42.63170
320: good sentence 160, PPL: -13.67953
321: bad sentence 160, PPL: -13.67953
322: good sentence 161, PPL: -14.01113
323: bad sentence 161, PPL: -29.84034
324: good sentence 162, PPL: -11.38416
325: bad sentence 162, PPL: -10.06898
326: good sentence 163, PPL: -6.06212
327: bad sentence 163, PPL: -7.57198
328: good sentence 164, PPL: -2.68946
329: bad sentence 164, PPL: -4.37346
330: good sentence 165, PPL: -70.07788
331: bad sentence 165, PPL: -54.92534
332: good sentence 166, PPL: -30.39561
333: bad sentence 166, PPL: -52.84862
334: good sentence 167, PPL: -5.95809
335: bad sentence 167, PPL: -9.50083
336: good sentence 168, PPL: -30.32398
337: bad sentence 168, PPL: -36.78285
338: good sentence 169, PPL: -50.29705
339: bad sentence 169, PPL: -118.28112
340: good sentence 170, PPL: -17.22388
341: bad sentence 170, PPL: -91.57289
342: good sentence 171, PPL: -22.77728
343: bad sentence 171, PPL: -19.47241
344: good sentence 172, PPL: -21.26883
345: bad sentence 172, PPL: -70.72221
346: good sentence 173, PPL: -11.66925
347: bad sentence 173, PPL: -13.67461
348: good sentence 174, PPL: -13.08930
349: bad sentence 174, PPL: -26.97020
350: good sentence 175, PPL: -18.22646
351: bad sentence 175, PPL: -15.23504
352: good sentence 176, PPL: -56.77005
353: bad sentence 176, PPL: -101.95878
354: good sentence 177, PPL: -38.69253
355: bad sentence 177, PPL: -14.77156
356: good sentence 178, PPL: -3.03240
357: bad sentence 178, PPL: -6.31338
358: good sentence 179, PPL: -383.76670
359: bad sentence 179, PPL: -443.36227
360: good sentence 180, PPL: -6.60605
361: bad sentence 180, PPL: -9.80854
362: good sentence 181, PPL: -100.77391
363: bad sentence 181, PPL: -286.09994
364: good sentence 182, PPL: -18.61071
365: bad sentence 182, PPL: -40.30138
366: good sentence 183, PPL: -30.27256
367: bad sentence 183, PPL: -37.58019
368: good sentence 184, PPL: -5.75102
369: bad sentence 184, PPL: -21.74609
370: good sentence 185, PPL: -3.90766
371: bad sentence 185, PPL: -4.22108
372: good sentence 186, PPL: -6.23163
373: bad sentence 186, PPL: -14.23203
374: good sentence 187, PPL: -6.09532
375: bad sentence 187, PPL: -7.04229
376: good sentence 188, PPL: -8.34075
377: bad sentence 188, PPL: -13.78453
378: good sentence 189, PPL: -158.42858
379: bad sentence 189, PPL: -151.27708
380: good sentence 190, PPL: -15.42061
381: bad sentence 190, PPL: -140.92679
382: good sentence 191, PPL: -133.35021
383: bad sentence 191, PPL: -189.69559
384: good sentence 192, PPL: -49.28514
385: bad sentence 192, PPL: -162.66170
386: good sentence 193, PPL: -148.81071
387: bad sentence 193, PPL: -124.80636
388: good sentence 194, PPL: -48.22980
389: bad sentence 194, PPL: -196.66130
390: good sentence 195, PPL: -50.41152
391: bad sentence 195, PPL: -112.33569
392: good sentence 196, PPL: -48.05286
393: bad sentence 196, PPL: -54.25695
394: good sentence 197, PPL: -45.45258
395: bad sentence 197, PPL: -83.65414
396: good sentence 198, PPL: -32.12546
397: bad sentence 198, PPL: -29.89478
398: good sentence 199, PPL: -22.39958
399: bad sentence 199, PPL: -36.55390
400: good sentence 200, PPL: -147.20958
401: bad sentence 200, PPL: -85.22953
402: good sentence 201, PPL: -112.15728
403: bad sentence 201, PPL: -80.55345
404: good sentence 202, PPL: -73.54633
405: bad sentence 202, PPL: -32.03180
406: good sentence 203, PPL: -29.42410
407: bad sentence 203, PPL: -43.15685
408: good sentence 204, PPL: -17.29793
409: bad sentence 204, PPL: -24.15204
410: good sentence 205, PPL: -18.07437
411: bad sentence 205, PPL: -5.89560
412: good sentence 206, PPL: -13.15711
413: bad sentence 206, PPL: -13.15711
414: good sentence 207, PPL: -21.95788
415: bad sentence 207, PPL: -28.75686
416: good sentence 208, PPL: -19.72334
417: bad sentence 208, PPL: -10.54499
418: good sentence 209, PPL: -29.34892
419: bad sentence 209, PPL: -23.96100
420: good sentence 210, PPL: -12.76681
421: bad sentence 210, PPL: -16.01213
422: good sentence 211, PPL: -16.75619
423: bad sentence 211, PPL: -8.69320
424: good sentence 212, PPL: -43.45313
425: bad sentence 212, PPL: -107.52228
426: good sentence 213, PPL: -24.40936
427: bad sentence 213, PPL: -51.61667
428: good sentence 214, PPL: -12.03325
429: bad sentence 214, PPL: -11.86896
430: good sentence 215, PPL: -52.51634
431: bad sentence 215, PPL: -272.44879
432: good sentence 216, PPL: -20.71698
433: bad sentence 216, PPL: -34.66314
434: good sentence 217, PPL: -50.26409
435: bad sentence 217, PPL: -134.69044
436: good sentence 218, PPL: -12.10491
437: bad sentence 218, PPL: -16.49796
438: good sentence 219, PPL: -78.71145
439: bad sentence 219, PPL: -187.23144
440: good sentence 220, PPL: -9.86116
441: bad sentence 220, PPL: -8.87895
442: good sentence 221, PPL: -28.12064
443: bad sentence 221, PPL: -15.91575
444: good sentence 222, PPL: -7.23998
445: bad sentence 222, PPL: -19.92010
446: good sentence 223, PPL: -15.72806
447: bad sentence 223, PPL: -34.19732
448: good sentence 224, PPL: -16.28021
449: bad sentence 224, PPL: -26.83785
450: good sentence 225, PPL: -8.42097
451: bad sentence 225, PPL: -8.93546
452: good sentence 226, PPL: -6.88894
453: bad sentence 226, PPL: -13.47883
454: good sentence 227, PPL: -29.04624
455: bad sentence 227, PPL: -18.03777
456: good sentence 228, PPL: -27.22387
457: bad sentence 228, PPL: -52.92006
458: good sentence 229, PPL: -84.71697
459: bad sentence 229, PPL: -84.71697
460: good sentence 230, PPL: -26.52978
461: bad sentence 230, PPL: -17.85879
462: good sentence 231, PPL: -48.41414
463: bad sentence 231, PPL: -45.68113
464: good sentence 232, PPL: -16.93905
465: bad sentence 232, PPL: -26.55437
466: good sentence 233, PPL: -29.10861
467: bad sentence 233, PPL: -144.20760
468: good sentence 234, PPL: -3.83277
469: bad sentence 234, PPL: -3.67166
470: good sentence 235, PPL: -13.79381
471: bad sentence 235, PPL: -15.89684
472: good sentence 236, PPL: -5.55628
473: bad sentence 236, PPL: -11.82009
474: good sentence 237, PPL: -94.37350
475: bad sentence 237, PPL: -69.80184
476: good sentence 238, PPL: -24.97179
477: bad sentence 238, PPL: -32.83250
478: good sentence 239, PPL: -13.39600
