Classifier-Noun
	cl_comp_noun
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 65.60000, Average Perplexity (Good Sentences): -10.27150, Average Perplexity (Bad Sentences): -14.20466
0: good sentence 0, PPL: -34.21177
1: bad sentence 0, PPL: -54.21105
2: good sentence 1, PPL: -27.10207
3: bad sentence 1, PPL: -46.15751
4: good sentence 2, PPL: -4.63082
5: bad sentence 2, PPL: -7.33339
6: good sentence 3, PPL: -38.90863
7: bad sentence 3, PPL: -18.60465
8: good sentence 4, PPL: -4.95489
9: bad sentence 4, PPL: -16.02184
10: good sentence 5, PPL: -16.78865
11: bad sentence 5, PPL: -10.41403
12: good sentence 6, PPL: -23.92182
13: bad sentence 6, PPL: -15.18793
14: good sentence 7, PPL: -32.76643
15: bad sentence 7, PPL: -23.10037
16: good sentence 8, PPL: -6.37474
17: bad sentence 8, PPL: -12.84357
18: good sentence 9, PPL: -22.26661
19: bad sentence 9, PPL: -14.05104
20: good sentence 10, PPL: -13.84020
21: bad sentence 10, PPL: -28.76896
22: good sentence 11, PPL: -7.23422
23: bad sentence 11, PPL: -9.95481
24: good sentence 12, PPL: -19.52086
25: bad sentence 12, PPL: -7.28737
26: good sentence 13, PPL: -11.29962
27: bad sentence 13, PPL: -6.19013
28: good sentence 14, PPL: -2.42995
29: bad sentence 14, PPL: -20.95850
30: good sentence 15, PPL: -5.20830
31: bad sentence 15, PPL: -5.82357
32: good sentence 16, PPL: -5.80920
33: bad sentence 16, PPL: -9.85590
34: good sentence 17, PPL: -36.19301
35: bad sentence 17, PPL: -48.82727
36: good sentence 18, PPL: -3.38639
37: bad sentence 18, PPL: -8.44492
38: good sentence 19, PPL: -17.57918
39: bad sentence 19, PPL: -10.63573
40: good sentence 20, PPL: -7.16297
41: bad sentence 20, PPL: -13.72606
42: good sentence 21, PPL: -7.60235
43: bad sentence 21, PPL: -12.02424
44: good sentence 22, PPL: -32.88956
45: bad sentence 22, PPL: -17.73622
46: good sentence 23, PPL: -5.59536
47: bad sentence 23, PPL: -11.59401
48: good sentence 24, PPL: -12.75612
49: bad sentence 24, PPL: -9.36988
50: good sentence 25, PPL: -15.38822
51: bad sentence 25, PPL: -11.60367
52: good sentence 26, PPL: -13.63135
53: bad sentence 26, PPL: -9.09477
54: good sentence 27, PPL: -3.67293
55: bad sentence 27, PPL: -30.88342
56: good sentence 28, PPL: -6.18719
57: bad sentence 28, PPL: -13.68789
58: good sentence 29, PPL: -6.40491
59: bad sentence 29, PPL: -20.91434
60: good sentence 30, PPL: -7.49348
61: bad sentence 30, PPL: -13.34148
62: good sentence 31, PPL: -2.77954
63: bad sentence 31, PPL: -10.10195
64: good sentence 32, PPL: -3.74687
65: bad sentence 32, PPL: -12.66244
66: good sentence 33, PPL: -20.90220
67: bad sentence 33, PPL: -6.55366
68: good sentence 34, PPL: -5.06432
69: bad sentence 34, PPL: -16.95557
70: good sentence 35, PPL: -4.91598
71: bad sentence 35, PPL: -7.91059
72: good sentence 36, PPL: -16.69456
