head_final_clause_1000.csv
Model: google-bert/bert-base-chinese, Accuracy: 0.53100, Average Perplexity (Good Sentences): -42.17245, Average Perplexity (Bad Sentences): -44.45113
0: good sentence 0, PPL: -46.29929
1: bad sentence 0, PPL: -73.81393
2: good sentence 1, PPL: -356.34664
3: bad sentence 1, PPL: -301.03859
4: good sentence 2, PPL: -67.48452
5: bad sentence 2, PPL: -86.49984
6: good sentence 3, PPL: -35.25288
7: bad sentence 3, PPL: -52.43901
8: good sentence 4, PPL: -45.25983
9: bad sentence 4, PPL: -27.45581
10: good sentence 5, PPL: -34.25951
11: bad sentence 5, PPL: -25.39465
12: good sentence 6, PPL: -23.30379
13: bad sentence 6, PPL: -15.36253
14: good sentence 7, PPL: -20.36790
15: bad sentence 7, PPL: -29.31408
16: good sentence 8, PPL: -21.50949
17: bad sentence 8, PPL: -28.06910
18: good sentence 9, PPL: -60.19892
19: bad sentence 9, PPL: -67.79262
20: good sentence 10, PPL: -28.42697
21: bad sentence 10, PPL: -33.28711
22: good sentence 11, PPL: -23.74622
23: bad sentence 11, PPL: -45.11010
24: good sentence 12, PPL: -14.56126
25: bad sentence 12, PPL: -14.26316
26: good sentence 13, PPL: -23.15256
27: bad sentence 13, PPL: -26.51625
28: good sentence 14, PPL: -213.19228
29: bad sentence 14, PPL: -108.58283
30: good sentence 15, PPL: -206.98519
31: bad sentence 15, PPL: -130.96649
32: good sentence 16, PPL: -34.56146
33: bad sentence 16, PPL: -39.53458
34: good sentence 17, PPL: -37.84848
35: bad sentence 17, PPL: -38.48736
36: good sentence 18, PPL: -25.36519
37: bad sentence 18, PPL: -18.16303
38: good sentence 19, PPL: -20.01311
39: bad sentence 19, PPL: -19.90942
40: good sentence 20, PPL: -193.52778
41: bad sentence 20, PPL: -252.00988
42: good sentence 21, PPL: -73.60266
43: bad sentence 21, PPL: -89.44861
44: good sentence 22, PPL: -66.07183
45: bad sentence 22, PPL: -78.87323
46: good sentence 23, PPL: -32.67593
47: bad sentence 23, PPL: -18.08457
48: good sentence 24, PPL: -34.41121
49: bad sentence 24, PPL: -140.34706
50: good sentence 25, PPL: -58.25527
51: bad sentence 25, PPL: -100.46530
52: good sentence 26, PPL: -16.67919
53: bad sentence 26, PPL: -18.82139
54: good sentence 27, PPL: -10.17801
55: bad sentence 27, PPL: -11.02428
56: good sentence 28, PPL: -10.98339
57: bad sentence 28, PPL: -22.24127
58: good sentence 29, PPL: -12.16319
59: bad sentence 29, PPL: -17.28865
60: good sentence 30, PPL: -66.34889
61: bad sentence 30, PPL: -70.08612
62: good sentence 31, PPL: -6.72433
63: bad sentence 31, PPL: -7.91139
64: good sentence 32, PPL: -41.27177
65: bad sentence 32, PPL: -19.58975
66: good sentence 33, PPL: -100.83970
67: bad sentence 33, PPL: -64.85281
68: good sentence 34, PPL: -21.42269
69: bad sentence 34, PPL: -28.96086
70: good sentence 35, PPL: -26.17141
71: bad sentence 35, PPL: -32.93539
72: good sentence 36, PPL: -98.59727
73: bad sentence 36, PPL: -90.90333
74: good sentence 37, PPL: -64.69958
75: bad sentence 37, PPL: -38.50850
76: good sentence 38, PPL: -22.37616
77: bad sentence 38, PPL: -17.19793
78: good sentence 39, PPL: -26.98455
79: bad sentence 39, PPL: -15.20216
80: good sentence 40, PPL: -17.49709
81: bad sentence 40, PPL: -28.14378
82: good sentence 41, PPL: -71.60255
83: bad sentence 41, PPL: -96.11701
84: good sentence 42, PPL: -36.69711
85: bad sentence 42, PPL: -70.66501
86: good sentence 43, PPL: -88.78349
87: bad sentence 43, PPL: -93.70497
88: good sentence 44, PPL: -305.57323
89: bad sentence 44, PPL: -170.55190
90: good sentence 45, PPL: -57.63255
91: bad sentence 45, PPL: -54.28306
92: good sentence 46, PPL: -81.21548
93: bad sentence 46, PPL: -62.59137
94: good sentence 47, PPL: -41.49408
95: bad sentence 47, PPL: -38.07539
96: good sentence 48, PPL: -524.35962
97: bad sentence 48, PPL: -507.50582
98: good sentence 49, PPL: -69.07286
99: bad sentence 49, PPL: -72.50209
100: good sentence 50, PPL: -101.22083
101: bad sentence 50, PPL: -83.32100
102: good sentence 51, PPL: -23.63204
103: bad sentence 51, PPL: -30.43692
104: good sentence 52, PPL: -21.19360
105: bad sentence 52, PPL: -59.19328
106: good sentence 53, PPL: -3235.21886
107: bad sentence 53, PPL: -1825.93264
108: good sentence 54, PPL: -32.49213
