verb_complement_direction_1000.csv
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 0.96200, Average Perplexity (Good Sentences): -407.35005, Average Perplexity (Bad Sentences): -1563.29256
0: good sentence 0, PPL: -1385.66681
1: bad sentence 0, PPL: -12822.11174
2: good sentence 1, PPL: -1046.85726
3: bad sentence 1, PPL: -6475.30095
4: good sentence 2, PPL: -508.73122
5: bad sentence 2, PPL: -1131.03712
6: good sentence 3, PPL: -1234.01774
7: bad sentence 3, PPL: -9624.05245
8: good sentence 4, PPL: -447.43938
9: bad sentence 4, PPL: -3139.19474
10: good sentence 5, PPL: -103.38493
11: bad sentence 5, PPL: -1435.39011
12: good sentence 6, PPL: -1116.21233
13: bad sentence 6, PPL: -4195.52015
14: good sentence 7, PPL: -180.74596
15: bad sentence 7, PPL: -505.12558
16: good sentence 8, PPL: -1233.02522
17: bad sentence 8, PPL: -7872.00207
18: good sentence 9, PPL: -70.22532
19: bad sentence 9, PPL: -202.73333
20: good sentence 10, PPL: -131.86523
21: bad sentence 10, PPL: -772.32311
22: good sentence 11, PPL: -759.47558
23: bad sentence 11, PPL: -3289.91797
24: good sentence 12, PPL: -313.34086
25: bad sentence 12, PPL: -1669.72216
26: good sentence 13, PPL: -660.54709
27: bad sentence 13, PPL: -4015.90954
28: good sentence 14, PPL: -1131.97612
29: bad sentence 14, PPL: -1487.74896
30: good sentence 15, PPL: -2760.52503
31: bad sentence 15, PPL: -9068.12192
32: good sentence 16, PPL: -7822.75432
33: bad sentence 16, PPL: -18609.60031
34: good sentence 17, PPL: -107.75695
35: bad sentence 17, PPL: -1285.67606
36: good sentence 18, PPL: -1931.65602
37: bad sentence 18, PPL: -1617.95033
38: good sentence 19, PPL: -130.31970
39: bad sentence 19, PPL: -176.43801
40: good sentence 20, PPL: -178.78187
41: bad sentence 20, PPL: -694.73839
42: good sentence 21, PPL: -285.15581
43: bad sentence 21, PPL: -1103.19613
44: good sentence 22, PPL: -466.62891
45: bad sentence 22, PPL: -1404.87967
46: good sentence 23, PPL: -343.10118
47: bad sentence 23, PPL: -11216.73471
48: good sentence 24, PPL: -344.85554
49: bad sentence 24, PPL: -1105.15672
50: good sentence 25, PPL: -340.21884
51: bad sentence 25, PPL: -351.20301
52: good sentence 26, PPL: -82.49505
53: bad sentence 26, PPL: -252.65073
54: good sentence 27, PPL: -55.62338
55: bad sentence 27, PPL: -196.11335
56: good sentence 28, PPL: -1199.08729
57: bad sentence 28, PPL: -9050.44259
58: good sentence 29, PPL: -571.41328
59: bad sentence 29, PPL: -1587.94781
60: good sentence 30, PPL: -20.59582
61: bad sentence 30, PPL: -42.06270
62: good sentence 31, PPL: -656.45757
63: bad sentence 31, PPL: -512.86865
64: good sentence 32, PPL: -350.82553
65: bad sentence 32, PPL: -1187.47787
66: good sentence 33, PPL: -64.23077
67: bad sentence 33, PPL: -311.11875
68: good sentence 34, PPL: -204.92984
69: bad sentence 34, PPL: -499.27521
70: good sentence 35, PPL: -767.07715
71: bad sentence 35, PPL: -2056.51547
72: good sentence 36, PPL: -154.24810
73: bad sentence 36, PPL: -147.41977
74: good sentence 37, PPL: -263.68083
75: bad sentence 37, PPL: -715.67428
76: good sentence 38, PPL: -2176.09269
77: bad sentence 38, PPL: -13677.27061
78: good sentence 39, PPL: -1498.21871
79: bad sentence 39, PPL: -11186.64396
80: good sentence 40, PPL: -215.29672
81: bad sentence 40, PPL: -571.17415
82: good sentence 41, PPL: -216.84332
83: bad sentence 41, PPL: -1182.74315
84: good sentence 42, PPL: -1763.08796
85: bad sentence 42, PPL: -7212.13793
86: good sentence 43, PPL: -463.34564
87: bad sentence 43, PPL: -3308.05198
88: good sentence 44, PPL: -1392.20744
89: bad sentence 44, PPL: -3697.90798
90: good sentence 45, PPL: -642.96032
91: bad sentence 45, PPL: -5832.20072
92: good sentence 46, PPL: -4666.52705
93: bad sentence 46, PPL: -12141.90893
94: good sentence 47, PPL: -293.73324
95: bad sentence 47, PPL: -1306.61463
96: good sentence 48, PPL: -476.79659
97: bad sentence 48, PPL: -10252.29034
98: good sentence 49, PPL: -522.75921
99: bad sentence 49, PPL: -1615.58131
100: good sentence 50, PPL: -242.61282
101: bad sentence 50, PPL: -1976.79296
102: good sentence 51, PPL: -1374.49082
103: bad sentence 51, PPL: -1646.94569
104: good sentence 52, PPL: -297.03672
105: bad sentence 52, PPL: -314.65090
106: good sentence 53, PPL: -548.77141
107: bad sentence 53, PPL: -4434.16648
108: good sentence 54, PPL: -275.09324
109: bad sentence 54, PPL: -680.90769
110: good sentence 55, PPL: -4049.23242
111: bad sentence 55, PPL: -2526.04964
112: good sentence 56, PPL: -289.68674
113: bad sentence 56, PPL: -912.90657
114: good sentence 57, PPL: -934.48619
115: bad sentence 57, PPL: -2192.38979
116: good sentence 58, PPL: -55.93438
117: bad sentence 58, PPL: -100.07552
118: good sentence 59, PPL: -164.09917
119: bad sentence 59, PPL: -115.66171
120: good sentence 60, PPL: -447.43938
121: bad sentence 60, PPL: -2721.10209
122: good sentence 61, PPL: -686.66413
123: bad sentence 61, PPL: -3024.03883
124: good sentence 62, PPL: -4158.76123
125: bad sentence 62, PPL: -8406.52868
126: good sentence 63, PPL: -114.12758
127: bad sentence 63, PPL: -343.99375
128: good sentence 64, PPL: -1256.22228
129: bad sentence 64, PPL: -1400.69412
130: good sentence 65, PPL: -110.24559
131: bad sentence 65, PPL: -242.71303
132: good sentence 66, PPL: -719.92630
133: bad sentence 66, PPL: -4429.81366
134: good sentence 67, PPL: -150.89344
135: bad sentence 67, PPL: -226.46143
136: good sentence 68, PPL: -79.27236
137: bad sentence 68, PPL: -237.79367
138: good sentence 69, PPL: -1071.20545
139: bad sentence 69, PPL: -13194.96362
140: good sentence 70, PPL: -479.04990
141: bad sentence 70, PPL: -5002.89569
142: good sentence 71, PPL: -579.05844
143: bad sentence 71, PPL: -3604.14324
144: good sentence 72, PPL: -151.03704
145: bad sentence 72, PPL: -962.49156
146: good sentence 73, PPL: -279.13395
147: bad sentence 73, PPL: -1126.02611
148: good sentence 74, PPL: -376.31051
149: bad sentence 74, PPL: -405.76899
150: good sentence 75, PPL: -129.28737
151: bad sentence 75, PPL: -383.53133
152: good sentence 76, PPL: -196.96540
153: bad sentence 76, PPL: -277.56770
154: good sentence 77, PPL: -183.15410
155: bad sentence 77, PPL: -679.46006
156: good sentence 78, PPL: -168.32866
157: bad sentence 78, PPL: -675.10083
158: good sentence 79, PPL: -1163.80341
159: bad sentence 79, PPL: -8817.11613
160: good sentence 80, PPL: -222.11547
161: bad sentence 80, PPL: -483.37533
162: good sentence 81, PPL: -970.10615
163: bad sentence 81, PPL: -2760.14161
164: good sentence 82, PPL: -550.31601
165: bad sentence 82, PPL: -6146.36366
166: good sentence 83, PPL: -1004.19039
167: bad sentence 83, PPL: -9477.42626
168: good sentence 84, PPL: -632.28102
169: bad sentence 84, PPL: -7696.40713
170: good sentence 85, PPL: -451.94076
171: bad sentence 85, PPL: -9518.34711
172: good sentence 86, PPL: -1816.97650
173: bad sentence 86, PPL: -3214.11448
174: good sentence 87, PPL: -242.66019
175: bad sentence 87, PPL: -946.79912
176: good sentence 88, PPL: -1758.64052
177: bad sentence 88, PPL: -4357.83521
178: good sentence 89, PPL: -375.84014
179: bad sentence 89, PPL: -2059.54040
180: good sentence 90, PPL: -144.10472
181: bad sentence 90, PPL: -723.04308
182: good sentence 91, PPL: -164.68217
183: bad sentence 91, PPL: -1196.27845
184: good sentence 92, PPL: -316.49282
185: bad sentence 92, PPL: -1423.81109
186: good sentence 93, PPL: -269.37883
187: bad sentence 93, PPL: -466.40470
188: good sentence 94, PPL: -154.90650
189: bad sentence 94, PPL: -236.30675
190: good sentence 95, PPL: -528.15534
191: bad sentence 95, PPL: -2259.53837
192: good sentence 96, PPL: -271.00862
193: bad sentence 96, PPL: -626.09547
194: good sentence 97, PPL: -264.14488
195: bad sentence 97, PPL: -1682.72456
196: good sentence 98, PPL: -713.04882
197: bad sentence 98, PPL: -2089.89890
198: good sentence 99, PPL: -1372.47156
199: bad sentence 99, PPL: -3678.33970
200: good sentence 100, PPL: -67.51341
201: bad sentence 100, PPL: -212.00390
202: good sentence 101, PPL: -240.41576
203: bad sentence 101, PPL: -729.28663
204: good sentence 102, PPL: -350.90089
205: bad sentence 102, PPL: -1094.71108
206: good sentence 103, PPL: -345.31068
207: bad sentence 103, PPL: -5328.85403
208: good sentence 104, PPL: -1337.30837
209: bad sentence 104, PPL: -21946.71508
210: good sentence 105, PPL: -862.70333
211: bad sentence 105, PPL: -2449.68580
212: good sentence 106, PPL: -69.48072
213: bad sentence 106, PPL: -212.93640
214: good sentence 107, PPL: -190.44722
215: bad sentence 107, PPL: -393.89901
216: good sentence 108, PPL: -114.23571
217: bad sentence 108, PPL: -170.90814
218: good sentence 109, PPL: -344.15078
219: bad sentence 109, PPL: -2018.84132
220: good sentence 110, PPL: -529.71434
221: bad sentence 110, PPL: -730.49564
222: good sentence 111, PPL: -1251.34111
223: bad sentence 111, PPL: -1874.87808
224: good sentence 112, PPL: -242.61282
225: bad sentence 112, PPL: -623.10534
226: good sentence 113, PPL: -908.75173
227: bad sentence 113, PPL: -9808.11664
228: good sentence 114, PPL: -184.25513
229: bad sentence 114, PPL: -159.62708
230: good sentence 115, PPL: -158.93965
231: bad sentence 115, PPL: -250.46837
232: good sentence 116, PPL: -370.08222
233: bad sentence 116, PPL: -1326.61867
234: good sentence 117, PPL: -163.79023
235: bad sentence 117, PPL: -239.34723
236: good sentence 118, PPL: -370.18415
237: bad sentence 118, PPL: -1620.34342
238: good sentence 119, PPL: -539.71278
239: bad sentence 119, PPL: -1486.41137
240: good sentence 120, PPL: -496.93378
241: bad sentence 120, PPL: -3738.20199
242: good sentence 121, PPL: -370.18415
243: bad sentence 121, PPL: -782.30559
244: good sentence 122, PPL: -986.76627
245: bad sentence 122, PPL: -7996.31809
246: good sentence 123, PPL: -408.15798
247: bad sentence 123, PPL: -1077.30307
248: good sentence 124, PPL: -619.37037
249: bad sentence 124, PPL: -10755.86753
250: good sentence 125, PPL: -559.82602
251: bad sentence 125, PPL: -1071.33370
252: good sentence 126, PPL: -329.01680
