Classifier-Noun
	cl_comp_noun_v2
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 85.10000, Average Perplexity (Good Sentences): -8.23078, Average Perplexity (Bad Sentences): -18.57707
0: good sentence 0, PPL: -6.00532
1: bad sentence 0, PPL: -13.17570
2: good sentence 1, PPL: -1.45866
3: bad sentence 1, PPL: -4.72818
4: good sentence 2, PPL: -5.28430
5: bad sentence 2, PPL: -11.10641
6: good sentence 3, PPL: -1.50261
7: bad sentence 3, PPL: -6.52223
8: good sentence 4, PPL: -6.43773
9: bad sentence 4, PPL: -13.52649
10: good sentence 5, PPL: -4.37927
11: bad sentence 5, PPL: -18.15506
12: good sentence 6, PPL: -4.84416
13: bad sentence 6, PPL: -13.21124
14: good sentence 7, PPL: -2.65518
15: bad sentence 7, PPL: -13.07874
16: good sentence 8, PPL: -1.50303
17: bad sentence 8, PPL: -9.49212
18: good sentence 9, PPL: -4.38094
19: bad sentence 9, PPL: -41.37913
20: good sentence 10, PPL: -1.54609
21: bad sentence 10, PPL: -26.68471
22: good sentence 11, PPL: -3.60507
23: bad sentence 11, PPL: -16.70475
24: good sentence 12, PPL: -4.74293
25: bad sentence 12, PPL: -4.74592
26: good sentence 13, PPL: -89.50868
27: bad sentence 13, PPL: -72.26826
28: good sentence 14, PPL: -8.38813
29: bad sentence 14, PPL: -14.88772
30: good sentence 15, PPL: -3.12462
31: bad sentence 15, PPL: -19.87209
32: good sentence 16, PPL: -3.61571
33: bad sentence 16, PPL: -40.66998
34: good sentence 17, PPL: -4.41137
35: bad sentence 17, PPL: -20.28308
36: good sentence 18, PPL: -16.01345
37: bad sentence 18, PPL: -114.95822
38: good sentence 19, PPL: -3.60344
39: bad sentence 19, PPL: -8.18012
40: good sentence 20, PPL: -27.68423
41: bad sentence 20, PPL: -61.09433
42: good sentence 21, PPL: -9.32977
43: bad sentence 21, PPL: -21.82328
44: good sentence 22, PPL: -11.13655
45: bad sentence 22, PPL: -63.32956
46: good sentence 23, PPL: -1.71533
47: bad sentence 23, PPL: -2.98948
48: good sentence 24, PPL: -5.96159
49: bad sentence 24, PPL: -38.47101
50: good sentence 25, PPL: -2.22416
51: bad sentence 25, PPL: -6.20915
52: good sentence 26, PPL: -11.95481
53: bad sentence 26, PPL: -34.90174
54: good sentence 27, PPL: -2.18452
55: bad sentence 27, PPL: -6.76612
56: good sentence 28, PPL: -15.55612
57: bad sentence 28, PPL: -30.51449
58: good sentence 29, PPL: -4.07259
59: bad sentence 29, PPL: -21.31487
60: good sentence 30, PPL: -7.39837
61: bad sentence 30, PPL: -41.37894
