Classifier-Noun
	cl_adj_simple_noun
Model: google-bert/bert-base-chinese, Accuracy: 96.50000, Average Perplexity (Good Sentences): -3.96665, Average Perplexity (Bad Sentences): -8.23808
0: good sentence 0, PPL: -4.11646
1: bad sentence 0, PPL: -10.32698
2: good sentence 1, PPL: -4.28850
3: bad sentence 1, PPL: -7.02075
4: good sentence 2, PPL: -8.81868
5: bad sentence 2, PPL: -22.74473
6: good sentence 3, PPL: -2.29819
7: bad sentence 3, PPL: -6.51377
8: good sentence 4, PPL: -7.80786
9: bad sentence 4, PPL: -16.71955
10: good sentence 5, PPL: -2.57270
11: bad sentence 5, PPL: -4.56048
12: good sentence 6, PPL: -17.45438
13: bad sentence 6, PPL: -33.07993
14: good sentence 7, PPL: -2.04423
15: bad sentence 7, PPL: -2.00781
16: good sentence 8, PPL: -4.74287
17: bad sentence 8, PPL: -7.37156
18: good sentence 9, PPL: -4.06681
19: bad sentence 9, PPL: -9.76602
20: good sentence 10, PPL: -2.42415
21: bad sentence 10, PPL: -4.49367
22: good sentence 11, PPL: -5.76251
23: bad sentence 11, PPL: -12.07887
24: good sentence 12, PPL: -7.47799
25: bad sentence 12, PPL: -16.54701
26: good sentence 13, PPL: -5.81208
27: bad sentence 13, PPL: -15.04848
28: good sentence 14, PPL: -1.66056
29: bad sentence 14, PPL: -4.75062
30: good sentence 15, PPL: -5.25873
31: bad sentence 15, PPL: -9.96931
32: good sentence 16, PPL: -3.82999
33: bad sentence 16, PPL: -17.88189
34: good sentence 17, PPL: -3.59574
35: bad sentence 17, PPL: -17.34854
36: good sentence 18, PPL: -3.92406
37: bad sentence 18, PPL: -5.03706
38: good sentence 19, PPL: -3.41170
39: bad sentence 19, PPL: -5.84911
40: good sentence 20, PPL: -2.46424
41: bad sentence 20, PPL: -6.61246
42: good sentence 21, PPL: -2.54161
43: bad sentence 21, PPL: -9.06784
44: good sentence 22, PPL: -2.76823
45: bad sentence 22, PPL: -4.90239
46: good sentence 23, PPL: -2.45640
47: bad sentence 23, PPL: -7.60397
48: good sentence 24, PPL: -2.46510
49: bad sentence 24, PPL: -4.25619
50: good sentence 25, PPL: -2.16347
51: bad sentence 25, PPL: -7.79458
52: good sentence 26, PPL: -12.41263
53: bad sentence 26, PPL: -18.04806
54: good sentence 27, PPL: -4.49428
55: bad sentence 27, PPL: -7.34409
56: good sentence 28, PPL: -3.73479
57: bad sentence 28, PPL: -4.00480
58: good sentence 29, PPL: -1.58310
59: bad sentence 29, PPL: -2.94562
60: good sentence 30, PPL: -5.40231
61: bad sentence 30, PPL: -10.47750
62: good sentence 31, PPL: -3.05608
63: bad sentence 31, PPL: -5.99558
64: good sentence 32, PPL: -7.46132
65: bad sentence 32, PPL: -20.21666
66: good sentence 33, PPL: -2.66771
67: bad sentence 33, PPL: -5.17622
68: good sentence 34, PPL: -3.65592
69: bad sentence 34, PPL: -6.69175
70: good sentence 35, PPL: -13.12845
71: bad sentence 35, PPL: -10.01934
72: good sentence 36, PPL: -8.80102
73: bad sentence 36, PPL: -13.05129
74: good sentence 37, PPL: -11.90980
75: bad sentence 37, PPL: -36.69688
76: good sentence 38, PPL: -4.45773
77: bad sentence 38, PPL: -4.45773
78: good sentence 39, PPL: -2.26059
79: bad sentence 39, PPL: -3.49010
80: good sentence 40, PPL: -12.72577
81: bad sentence 40, PPL: -32.87888
82: good sentence 41, PPL: -7.38962
83: bad sentence 41, PPL: -11.55222
84: good sentence 42, PPL: -1.69806
85: bad sentence 42, PPL: -7.79918
86: good sentence 43, PPL: -2.53962
87: bad sentence 43, PPL: -3.21837
88: good sentence 44, PPL: -3.15944
89: bad sentence 44, PPL: -7.32223
90: good sentence 45, PPL: -1.51797
91: bad sentence 45, PPL: -7.10213
92: good sentence 46, PPL: -2.33849
93: bad sentence 46, PPL: -3.93975
94: good sentence 47, PPL: -2.92026
