Classifier-Noun
	cl_adj_comp_noun_v2
Model: Qwen/Qwen-14B, Accuracy: 70.60000, Average Perplexity (Good Sentences): -172.87500, Average Perplexity (Bad Sentences): -274.00000
0: good sentence 0, PPL: -93.25000
1: bad sentence 0, PPL: -183.25000
2: good sentence 1, PPL: -128.50000
3: bad sentence 1, PPL: -268.75000
4: good sentence 2, PPL: -136.75000
5: bad sentence 2, PPL: -326.75000
6: good sentence 3, PPL: -99.62500
7: bad sentence 3, PPL: -220.25000
8: good sentence 4, PPL: -176.87500
9: bad sentence 4, PPL: -244.75000
10: good sentence 5, PPL: -198.12500
11: bad sentence 5, PPL: -280.50000
12: good sentence 6, PPL: -105.62500
13: bad sentence 6, PPL: -403.50000
14: good sentence 7, PPL: -262.50000
15: bad sentence 7, PPL: -1447.00000
16: good sentence 8, PPL: -104.43750
17: bad sentence 8, PPL: -116.93750
18: good sentence 9, PPL: -84.87500
19: bad sentence 9, PPL: -220.25000
20: good sentence 10, PPL: -193.62500
21: bad sentence 10, PPL: -164.87500
22: good sentence 11, PPL: -278.25000
23: bad sentence 11, PPL: -1026.00000
24: good sentence 12, PPL: -99.62500
25: bad sentence 12, PPL: -177.62500
26: good sentence 13, PPL: -217.62500
27: bad sentence 13, PPL: -363.00000
28: good sentence 14, PPL: -106.50000
29: bad sentence 14, PPL: -157.37500
30: good sentence 15, PPL: -211.75000
31: bad sentence 15, PPL: -286.00000
32: good sentence 16, PPL: -161.75000
33: bad sentence 16, PPL: -289.50000
34: good sentence 17, PPL: -131.00000
35: bad sentence 17, PPL: -113.81250
36: good sentence 18, PPL: -179.00000
37: bad sentence 18, PPL: -246.62500
38: good sentence 19, PPL: -270.75000
39: bad sentence 19, PPL: -419.50000
40: good sentence 20, PPL: -124.50000
41: bad sentence 20, PPL: -277.25000
42: good sentence 21, PPL: -584.50000
43: bad sentence 21, PPL: -352.00000
44: good sentence 22, PPL: -121.12500
45: bad sentence 22, PPL: -154.87500
46: good sentence 23, PPL: -100.43750
47: bad sentence 23, PPL: -78.18750
48: good sentence 24, PPL: -360.25000
49: bad sentence 24, PPL: -320.50000
50: good sentence 25, PPL: -416.25000
51: bad sentence 25, PPL: -678.50000
52: good sentence 26, PPL: -252.50000
53: bad sentence 26, PPL: -405.00000
54: good sentence 27, PPL: -68.18750
55: bad sentence 27, PPL: -121.62500
56: good sentence 28, PPL: -500.00000
57: bad sentence 28, PPL: -301.00000
58: good sentence 29, PPL: -117.87500
59: bad sentence 29, PPL: -207.62500
60: good sentence 30, PPL: -315.50000
61: bad sentence 30, PPL: -439.75000
62: good sentence 31, PPL: -126.93750
63: bad sentence 31, PPL: -207.62500
64: good sentence 32, PPL: -279.50000
65: bad sentence 32, PPL: -564.50000
66: good sentence 33, PPL: -68.18750
67: bad sentence 33, PPL: -93.62500
68: good sentence 34, PPL: -124.00000
69: bad sentence 34, PPL: -282.75000
70: good sentence 35, PPL: -195.12500
71: bad sentence 35, PPL: -297.50000
72: good sentence 36, PPL: -168.12500
73: bad sentence 36, PPL: -562.50000
74: good sentence 37, PPL: -170.87500
75: bad sentence 37, PPL: -273.00000
76: good sentence 38, PPL: -91.43750
77: bad sentence 38, PPL: -205.25000
78: good sentence 39, PPL: -189.87500
79: bad sentence 39, PPL: -214.25000
80: good sentence 40, PPL: -147.87500
81: bad sentence 40, PPL: -479.00000
82: good sentence 41, PPL: -166.25000
83: bad sentence 41, PPL: -422.75000
84: good sentence 42, PPL: -124.50000
85: bad sentence 42, PPL: -182.50000
86: good sentence 43, PPL: -255.37500
87: bad sentence 43, PPL: -644.50000
88: good sentence 44, PPL: -116.50000
89: bad sentence 44, PPL: -315.50000
90: good sentence 45, PPL: -236.25000
91: bad sentence 45, PPL: -247.62500
92: good sentence 46, PPL: -288.25000
93: bad sentence 46, PPL: -269.75000
94: good sentence 47, PPL: -558.00000
95: bad sentence 47, PPL: -1252.00000
96: good sentence 48, PPL: -108.56250
97: bad sentence 48, PPL: -287.25000
98: good sentence 49, PPL: -216.75000
99: bad sentence 49, PPL: -224.50000
100: good sentence 50, PPL: -117.37500
101: bad sentence 50, PPL: -316.75000
102: good sentence 51, PPL: -95.06250
103: bad sentence 51, PPL: -451.75000
104: good sentence 52, PPL: -512.00000
105: bad sentence 52, PPL: -219.37500
106: good sentence 53, PPL: -87.25000
107: bad sentence 53, PPL: -202.12500
108: good sentence 54, PPL: -71.18750
109: bad sentence 54, PPL: -181.12500
110: good sentence 55, PPL: -793.00000
111: bad sentence 55, PPL: -1046.00000
112: good sentence 56, PPL: -215.12500
113: bad sentence 56, PPL: -516.00000
114: good sentence 57, PPL: -98.12500
115: bad sentence 57, PPL: -132.00000
116: good sentence 58, PPL: -33.31250
117: bad sentence 58, PPL: -216.00000
118: good sentence 59, PPL: -170.87500
119: bad sentence 59, PPL: -328.00000
120: good sentence 60, PPL: -142.75000
121: bad sentence 60, PPL: -181.12500
122: good sentence 61, PPL: -174.25000
123: bad sentence 61, PPL: -637.00000
124: good sentence 62, PPL: -202.12500
125: bad sentence 62, PPL: -201.25000
126: good sentence 63, PPL: -81.00000
127: bad sentence 63, PPL: -146.62500
128: good sentence 64, PPL: -96.93750
129: bad sentence 64, PPL: -74.31250
130: good sentence 65, PPL: -113.81250
131: bad sentence 65, PPL: -84.87500
132: good sentence 66, PPL: -193.62500
133: bad sentence 66, PPL: -681.00000
134: good sentence 67, PPL: -59.50000
135: bad sentence 67, PPL: -102.00000
136: good sentence 68, PPL: -101.18750
137: bad sentence 68, PPL: -166.25000
138: good sentence 69, PPL: -206.87500
139: bad sentence 69, PPL: -413.00000
140: good sentence 70, PPL: -158.62500
141: bad sentence 70, PPL: -1022.00000
142: good sentence 71, PPL: -80.06250
143: bad sentence 71, PPL: -244.75000
144: good sentence 72, PPL: -94.31250
145: bad sentence 72, PPL: -126.43750
146: good sentence 73, PPL: -329.25000
147: bad sentence 73, PPL: -242.75000
148: good sentence 74, PPL: -57.90625
149: bad sentence 74, PPL: -120.68750
150: good sentence 75, PPL: -70.12500
151: bad sentence 75, PPL: -161.12500
152: good sentence 76, PPL: -299.75000
153: bad sentence 76, PPL: -191.25000
154: good sentence 77, PPL: -237.12500
155: bad sentence 77, PPL: -264.50000
156: good sentence 78, PPL: -192.00000
157: bad sentence 78, PPL: -675.50000
158: good sentence 79, PPL: -74.93750
159: bad sentence 79, PPL: -126.93750
160: good sentence 80, PPL: -118.81250
161: bad sentence 80, PPL: -176.25000
162: good sentence 81, PPL: -145.00000
163: bad sentence 81, PPL: -101.18750
164: good sentence 82, PPL: -113.37500
165: bad sentence 82, PPL: -266.75000
166: good sentence 83, PPL: -76.12500
167: bad sentence 83, PPL: -199.75000
168: good sentence 84, PPL: -311.75000
169: bad sentence 84, PPL: -426.00000
170: good sentence 85, PPL: -76.12500
171: bad sentence 85, PPL: -320.50000
172: good sentence 86, PPL: -125.43750
173: bad sentence 86, PPL: -111.18750
174: good sentence 87, PPL: -82.93750
175: bad sentence 87, PPL: -169.50000
176: good sentence 88, PPL: -99.25000
177: bad sentence 88, PPL: -354.75000
178: good sentence 89, PPL: -113.81250
179: bad sentence 89, PPL: -84.87500
180: good sentence 90, PPL: -138.87500
181: bad sentence 90, PPL: -121.62500
182: good sentence 91, PPL: -190.62500
183: bad sentence 91, PPL: -231.62500
184: good sentence 92, PPL: -80.06250
185: bad sentence 92, PPL: -209.25000
186: good sentence 93, PPL: -514.00000
187: bad sentence 93, PPL: -727.50000
188: good sentence 94, PPL: -182.50000
189: bad sentence 94, PPL: -315.50000
190: good sentence 95, PPL: -302.25000
191: bad sentence 95, PPL: -219.37500
192: good sentence 96, PPL: -93.25000
193: bad sentence 96, PPL: -553.50000
194: good sentence 97, PPL: -144.37500
195: bad sentence 97, PPL: -213.37500
196: good sentence 98, PPL: -241.87500
197: bad sentence 98, PPL: -1163.00000
198: good sentence 99, PPL: -179.75000
199: bad sentence 99, PPL: -774.50000
200: good sentence 100, PPL: -254.50000
201: bad sentence 100, PPL: -330.50000
202: good sentence 101, PPL: -250.50000
203: bad sentence 101, PPL: -510.00000
