PolarityItem
	any
Model: google-bert/bert-base-chinese, Accuracy: 65.80000, Average Perplexity (Good Sentences): -5.21783, Average Perplexity (Bad Sentences): -6.24173
0: good sentence 0, PPL: -2.14144
1: bad sentence 0, PPL: -2.75669
2: good sentence 1, PPL: -2.60734
3: bad sentence 1, PPL: -4.37079
4: good sentence 2, PPL: -2.38090
5: bad sentence 2, PPL: -2.57314
6: good sentence 3, PPL: -41.41071
7: bad sentence 3, PPL: -111.42781
8: good sentence 4, PPL: -2.75208
9: bad sentence 4, PPL: -2.36275
10: good sentence 5, PPL: -2.90626
11: bad sentence 5, PPL: -2.58572
12: good sentence 6, PPL: -20.64678
13: bad sentence 6, PPL: -34.88126
14: good sentence 7, PPL: -11.32543
15: bad sentence 7, PPL: -9.15769
16: good sentence 8, PPL: -3.77968
17: bad sentence 8, PPL: -2.07668
18: good sentence 9, PPL: -3.11505
19: bad sentence 9, PPL: -3.67619
20: good sentence 10, PPL: -3.33512
21: bad sentence 10, PPL: -2.56880
22: good sentence 11, PPL: -5.58582
23: bad sentence 11, PPL: -5.66156
24: good sentence 12, PPL: -1.98235
25: bad sentence 12, PPL: -2.21051
26: good sentence 13, PPL: -3.19910
27: bad sentence 13, PPL: -2.35515
28: good sentence 14, PPL: -3.83856
29: bad sentence 14, PPL: -3.57348
30: good sentence 15, PPL: -5.40112
31: bad sentence 15, PPL: -4.43818
32: good sentence 16, PPL: -13.07672
33: bad sentence 16, PPL: -24.18040
34: good sentence 17, PPL: -4.92833
35: bad sentence 17, PPL: -12.77228
36: good sentence 18, PPL: -9.74896
37: bad sentence 18, PPL: -9.83456
38: good sentence 19, PPL: -3.06083
39: bad sentence 19, PPL: -3.80184
40: good sentence 20, PPL: -4.31122
41: bad sentence 20, PPL: -2.39027
42: good sentence 21, PPL: -14.14989
43: bad sentence 21, PPL: -8.46189
44: good sentence 22, PPL: -4.93774
45: bad sentence 22, PPL: -4.08491
46: good sentence 23, PPL: -4.50120
47: bad sentence 23, PPL: -4.14237
48: good sentence 24, PPL: -2.72769
49: bad sentence 24, PPL: -4.96590
50: good sentence 25, PPL: -1.86761
51: bad sentence 25, PPL: -3.38778
52: good sentence 26, PPL: -2.51396
53: bad sentence 26, PPL: -1.92788
54: good sentence 27, PPL: -2.62564
55: bad sentence 27, PPL: -1.97873
56: good sentence 28, PPL: -12.76564
57: bad sentence 28, PPL: -84.43365
58: good sentence 29, PPL: -4.07804
59: bad sentence 29, PPL: -5.25571
60: good sentence 30, PPL: -22.96979
61: bad sentence 30, PPL: -10.80786
62: good sentence 31, PPL: -4.06846
63: bad sentence 31, PPL: -3.81965
64: good sentence 32, PPL: -52.84144
65: bad sentence 32, PPL: -91.45591
66: good sentence 33, PPL: -5.01544
67: bad sentence 33, PPL: -4.47335
68: good sentence 34, PPL: -7.16271
69: bad sentence 34, PPL: -3.95954
70: good sentence 35, PPL: -12.94872
71: bad sentence 35, PPL: -14.38733
72: good sentence 36, PPL: -4.05418
73: bad sentence 36, PPL: -5.36431
74: good sentence 37, PPL: -7.04388
75: bad sentence 37, PPL: -7.61684
76: good sentence 38, PPL: -3.73960
77: bad sentence 38, PPL: -3.56278
78: good sentence 39, PPL: -3.12067
79: bad sentence 39, PPL: -12.24730
80: good sentence 40, PPL: -4.32835
81: bad sentence 40, PPL: -6.17375
82: good sentence 41, PPL: -107.94812
83: bad sentence 41, PPL: -87.06050
84: good sentence 42, PPL: -18.30594
85: bad sentence 42, PPL: -24.08364
86: good sentence 43, PPL: -13.29963
87: bad sentence 43, PPL: -10.69015
88: good sentence 44, PPL: -1.87388
89: bad sentence 44, PPL: -2.06730
90: good sentence 45, PPL: -2.26199
91: bad sentence 45, PPL: -3.60552
92: good sentence 46, PPL: -3.46892
93: bad sentence 46, PPL: -2.92925
94: good sentence 47, PPL: -8.82537
95: bad sentence 47, PPL: -5.38770
96: good sentence 48, PPL: -2.01117
97: bad sentence 48, PPL: -3.89320
98: good sentence 49, PPL: -4.99425
99: bad sentence 49, PPL: -27.11127
100: good sentence 50, PPL: -6.03315
101: bad sentence 50, PPL: -2.71093
102: good sentence 51, PPL: -7.62363
103: bad sentence 51, PPL: -26.59529
104: good sentence 52, PPL: -8.21921
105: bad sentence 52, PPL: -13.10308
106: good sentence 53, PPL: -18.54682
107: bad sentence 53, PPL: -20.99030
108: good sentence 54, PPL: -8.55551
109: bad sentence 54, PPL: -5.43406
110: good sentence 55, PPL: -6.34122
111: bad sentence 55, PPL: -3.94041
112: good sentence 56, PPL: -15.26013
113: bad sentence 56, PPL: -5.89528
114: good sentence 57, PPL: -3.62231
115: bad sentence 57, PPL: -5.67385
116: good sentence 58, PPL: -3.13889
117: bad sentence 58, PPL: -3.69121
118: good sentence 59, PPL: -10.89827
119: bad sentence 59, PPL: -21.44373
120: good sentence 60, PPL: -1.77196
121: bad sentence 60, PPL: -3.09715
122: good sentence 61, PPL: -1.77412
123: bad sentence 61, PPL: -1.93747
124: good sentence 62, PPL: -6.60483
125: bad sentence 62, PPL: -6.75812
126: good sentence 63, PPL: -4.90993
127: bad sentence 63, PPL: -5.09281
128: good sentence 64, PPL: -7.69127
129: bad sentence 64, PPL: -10.46022
130: good sentence 65, PPL: -1.50704
131: bad sentence 65, PPL: -1.82280
132: good sentence 66, PPL: -11.55248
133: bad sentence 66, PPL: -20.16784
134: good sentence 67, PPL: -8.48294
135: bad sentence 67, PPL: -4.07321
136: good sentence 68, PPL: -16.68314
137: bad sentence 68, PPL: -32.48961
138: good sentence 69, PPL: -14.15573
139: bad sentence 69, PPL: -18.16736
140: good sentence 70, PPL: -63.15647
141: bad sentence 70, PPL: -111.69927
142: good sentence 71, PPL: -6.66720
143: bad sentence 71, PPL: -9.17568
144: good sentence 72, PPL: -11.09812
145: bad sentence 72, PPL: -12.75701
146: good sentence 73, PPL: -4.86999
