Aspect
	zai_no_le
Model: 01-ai/Yi-6B, Accuracy: 57.00000, Average Perplexity (Good Sentences): -572.53882, Average Perplexity (Bad Sentences): -663.48712
0: good sentence 0, PPL: -2392.81372
1: bad sentence 0, PPL: -2279.13477
2: good sentence 1, PPL: -171.54359
3: bad sentence 1, PPL: -576.47571
4: good sentence 2, PPL: -268.47638
5: bad sentence 2, PPL: -440.13898
6: good sentence 3, PPL: -3661.08887
7: bad sentence 3, PPL: -1185.37402
8: good sentence 4, PPL: -1703.04016
9: bad sentence 4, PPL: -1305.48547
10: good sentence 5, PPL: -441.00220
11: bad sentence 5, PPL: -856.46735
12: good sentence 6, PPL: -482.84476
13: bad sentence 6, PPL: -429.02567
14: good sentence 7, PPL: -233.29303
15: bad sentence 7, PPL: -503.39899
16: good sentence 8, PPL: -259.55249
17: bad sentence 8, PPL: -237.26163
18: good sentence 9, PPL: -85.54074
19: bad sentence 9, PPL: -73.79159
20: good sentence 10, PPL: -174.89261
21: bad sentence 10, PPL: -126.49416
22: good sentence 11, PPL: -259.35999
23: bad sentence 11, PPL: -264.25443
24: good sentence 12, PPL: -1368.85425
25: bad sentence 12, PPL: -1885.53687
26: good sentence 13, PPL: -403.82086
27: bad sentence 13, PPL: -144.37857
28: good sentence 14, PPL: -607.22205
29: bad sentence 14, PPL: -312.17819
30: good sentence 15, PPL: -281.98297
31: bad sentence 15, PPL: -573.69287
32: good sentence 16, PPL: -474.45108
33: bad sentence 16, PPL: -495.47565
34: good sentence 17, PPL: -809.61975
35: bad sentence 17, PPL: -5186.71582
36: good sentence 18, PPL: -364.50684
37: bad sentence 18, PPL: -167.14012
38: good sentence 19, PPL: -339.48209
39: bad sentence 19, PPL: -381.78809
40: good sentence 20, PPL: -519.68207
41: bad sentence 20, PPL: -354.10773
42: good sentence 21, PPL: -1114.80811
43: bad sentence 21, PPL: -1154.05908
44: good sentence 22, PPL: -2062.37939
45: bad sentence 22, PPL: -1594.91785
46: good sentence 23, PPL: -1062.33643
47: bad sentence 23, PPL: -837.17999
48: good sentence 24, PPL: -117.89085
49: bad sentence 24, PPL: -111.00367
50: good sentence 25, PPL: -1099.39075
51: bad sentence 25, PPL: -619.60132
52: good sentence 26, PPL: -123.02734
53: bad sentence 26, PPL: -1439.76538
54: good sentence 27, PPL: -823.51208
55: bad sentence 27, PPL: -1029.83691
56: good sentence 28, PPL: -119.85024
57: bad sentence 28, PPL: -96.43936
58: good sentence 29, PPL: -191.31094
59: bad sentence 29, PPL: -378.17538
60: good sentence 30, PPL: -196.92326
61: bad sentence 30, PPL: -236.88959
62: good sentence 31, PPL: -850.00208
63: bad sentence 31, PPL: -1401.71118
64: good sentence 32, PPL: -1065.71545
65: bad sentence 32, PPL: -633.57562
66: good sentence 33, PPL: -364.96719
67: bad sentence 33, PPL: -341.93640
68: good sentence 34, PPL: -17040.50000
69: bad sentence 34, PPL: -13141.64648
70: good sentence 35, PPL: -576.60736
71: bad sentence 35, PPL: -406.41537
72: good sentence 36, PPL: -1210.04578
73: bad sentence 36, PPL: -791.67462
74: good sentence 37, PPL: -819.42932
75: bad sentence 37, PPL: -480.50912
76: good sentence 38, PPL: -125.43427
77: bad sentence 38, PPL: -145.75511
78: good sentence 39, PPL: -1105.26160
79: bad sentence 39, PPL: -1798.06750
80: good sentence 40, PPL: -937.23547
81: bad sentence 40, PPL: -729.32623
82: good sentence 41, PPL: -2139.23975
83: bad sentence 41, PPL: -3836.30151
84: good sentence 42, PPL: -10888.53223
85: bad sentence 42, PPL: -990.60736
86: good sentence 43, PPL: -227.78526
87: bad sentence 43, PPL: -984.39795
88: good sentence 44, PPL: -1485.94507
89: bad sentence 44, PPL: -655.48248
90: good sentence 45, PPL: -633.78168
91: bad sentence 45, PPL: -1507.20215
92: good sentence 46, PPL: -15604.36328
93: bad sentence 46, PPL: -1810.48035
94: good sentence 47, PPL: -1418.71240
95: bad sentence 47, PPL: -2761.94482
96: good sentence 48, PPL: -76.54221
97: bad sentence 48, PPL: -62.57428
98: good sentence 49, PPL: -744.35406
99: bad sentence 49, PPL: -886.73083
100: good sentence 50, PPL: -227.93478
101: bad sentence 50, PPL: -2009.74658
102: good sentence 51, PPL: -4660.21289
103: bad sentence 51, PPL: -3509.35327
104: good sentence 52, PPL: -735.10742
105: bad sentence 52, PPL: -612.13690
106: good sentence 53, PPL: -653.26239
107: bad sentence 53, PPL: -1283.76660
108: good sentence 54, PPL: -1658.07568
109: bad sentence 54, PPL: -6868.56299
110: good sentence 55, PPL: -4786.94238
111: bad sentence 55, PPL: -1925.38000
112: good sentence 56, PPL: -646.78839
113: bad sentence 56, PPL: -1875.46252
114: good sentence 57, PPL: -233.07689
115: bad sentence 57, PPL: -216.50385
116: good sentence 58, PPL: -292.44080
117: bad sentence 58, PPL: -585.46674
118: good sentence 59, PPL: -149.35303
119: bad sentence 59, PPL: -205.59010
120: good sentence 60, PPL: -488.75330
121: bad sentence 60, PPL: -553.18524
122: good sentence 61, PPL: -130.89655
123: bad sentence 61, PPL: -340.48495
124: good sentence 62, PPL: -1817.17651
125: bad sentence 62, PPL: -1144.81006
126: good sentence 63, PPL: -280.37122
127: bad sentence 63, PPL: -329.05051
128: good sentence 64, PPL: -1464.29443
129: bad sentence 64, PPL: -303.17255
130: good sentence 65, PPL: -3231.58984
131: bad sentence 65, PPL: -5154.24512
132: good sentence 66, PPL: -68.66355
133: bad sentence 66, PPL: -66.84843
134: good sentence 67, PPL: -5456.88428
135: bad sentence 67, PPL: -1303.24695
136: good sentence 68, PPL: -657.36584
137: bad sentence 68, PPL: -838.54877
138: good sentence 69, PPL: -8644.53027
139: bad sentence 69, PPL: -3012.55518
140: good sentence 70, PPL: -2870.91650
141: bad sentence 70, PPL: -1846.73840
142: good sentence 71, PPL: -397.45081
143: bad sentence 71, PPL: -492.80466
144: good sentence 72, PPL: -1120.74133
145: bad sentence 72, PPL: -3064.21558
146: good sentence 73, PPL: -592.28162
147: bad sentence 73, PPL: -832.31122
148: good sentence 74, PPL: -5970.66406
149: bad sentence 74, PPL: -7387.72168
150: good sentence 75, PPL: -4140.67139
151: bad sentence 75, PPL: -4064.81104
152: good sentence 76, PPL: -1433.63391
153: bad sentence 76, PPL: -1330.57007
154: good sentence 77, PPL: -575.95667
155: bad sentence 77, PPL: -1183.90759
156: good sentence 78, PPL: -2216.68945
157: bad sentence 78, PPL: -1219.68860
158: good sentence 79, PPL: -1039.39685
159: bad sentence 79, PPL: -702.74670
160: good sentence 80, PPL: -216.86011
161: bad sentence 80, PPL: -331.25751
162: good sentence 81, PPL: -174.02579
163: bad sentence 81, PPL: -445.70639
164: good sentence 82, PPL: -89.94887
165: bad sentence 82, PPL: -104.18610
166: good sentence 83, PPL: -414.93802
167: bad sentence 83, PPL: -272.38977
168: good sentence 84, PPL: -441.80957
169: bad sentence 84, PPL: -3406.21851
170: good sentence 85, PPL: -618.61469
171: bad sentence 85, PPL: -1558.25842
172: good sentence 86, PPL: -928.12915
173: bad sentence 86, PPL: -1576.98303
174: good sentence 87, PPL: -2012.17542
175: bad sentence 87, PPL: -4739.86182
176: good sentence 88, PPL: -476.71722
177: bad sentence 88, PPL: -375.17371
178: good sentence 89, PPL: -390.24527
179: bad sentence 89, PPL: -876.30682
180: good sentence 90, PPL: -940.34802
181: bad sentence 90, PPL: -2123.76343
182: good sentence 91, PPL: -351.56290
183: bad sentence 91, PPL: -178.05374
184: good sentence 92, PPL: -133.20911
185: bad sentence 92, PPL: -440.19794
186: good sentence 93, PPL: -451.17230
187: bad sentence 93, PPL: -1693.40222
188: good sentence 94, PPL: -1050.52124
189: bad sentence 94, PPL: -776.37555
190: good sentence 95, PPL: -3077.22388
191: bad sentence 95, PPL: -1731.84656
192: good sentence 96, PPL: -975.75739
193: bad sentence 96, PPL: -447.03180
194: good sentence 97, PPL: -681.00006
195: bad sentence 97, PPL: -364.25247
196: good sentence 98, PPL: -640.37457
197: bad sentence 98, PPL: -341.44403
198: good sentence 99, PPL: -920.63062
199: bad sentence 99, PPL: -793.25189
200: good sentence 100, PPL: -2334.54053
201: bad sentence 100, PPL: -1339.85718
202: good sentence 101, PPL: -963.64526
203: bad sentence 101, PPL: -751.30981
