RelativeClause
	rc_resumptive_noun
Model: 01-ai/Yi-6B, Accuracy: 31.40000, Average Perplexity (Good Sentences): -410.68347, Average Perplexity (Bad Sentences): -338.40555
0: good sentence 0, PPL: -454.76685
1: bad sentence 0, PPL: -181.61388
2: good sentence 1, PPL: -191.65927
3: bad sentence 1, PPL: -194.73337
4: good sentence 2, PPL: -708.56445
5: bad sentence 2, PPL: -309.94324
6: good sentence 3, PPL: -656.18707
7: bad sentence 3, PPL: -408.47012
8: good sentence 4, PPL: -1260.37366
9: bad sentence 4, PPL: -599.74518
10: good sentence 5, PPL: -183.89238
11: bad sentence 5, PPL: -95.88069
12: good sentence 6, PPL: -681.46851
13: bad sentence 6, PPL: -349.35550
14: good sentence 7, PPL: -155.56161
15: bad sentence 7, PPL: -98.97782
16: good sentence 8, PPL: -1232.23193
17: bad sentence 8, PPL: -1225.96155
18: good sentence 9, PPL: -603.08441
19: bad sentence 9, PPL: -417.18539
20: good sentence 10, PPL: -222.50598
21: bad sentence 10, PPL: -185.20993
22: good sentence 11, PPL: -507.96204
23: bad sentence 11, PPL: -274.73422
24: good sentence 12, PPL: -191.59760
25: bad sentence 12, PPL: -294.41193
26: good sentence 13, PPL: -373.29041
27: bad sentence 13, PPL: -300.51917
28: good sentence 14, PPL: -142.79514
29: bad sentence 14, PPL: -83.07934
30: good sentence 15, PPL: -1534.96252
31: bad sentence 15, PPL: -1007.92487
32: good sentence 16, PPL: -694.31903
33: bad sentence 16, PPL: -451.49533
34: good sentence 17, PPL: -205.62726
35: bad sentence 17, PPL: -273.01044
36: good sentence 18, PPL: -224.44872
37: bad sentence 18, PPL: -250.07765
38: good sentence 19, PPL: -281.98929
39: bad sentence 19, PPL: -313.59839
40: good sentence 20, PPL: -329.35565
41: bad sentence 20, PPL: -272.85477
42: good sentence 21, PPL: -246.92514
43: bad sentence 21, PPL: -289.48242
44: good sentence 22, PPL: -955.30573
45: bad sentence 22, PPL: -606.54022
46: good sentence 23, PPL: -145.85126
47: bad sentence 23, PPL: -111.23289
48: good sentence 24, PPL: -476.27258
49: bad sentence 24, PPL: -512.21027
50: good sentence 25, PPL: -217.03607
51: bad sentence 25, PPL: -237.31595
52: good sentence 26, PPL: -360.68390
53: bad sentence 26, PPL: -346.73666
54: good sentence 27, PPL: -710.68365
