AlternativeQuestion
	haishi_ma
Model: google-bert/bert-base-chinese, Accuracy: 93.10000, Average Perplexity (Good Sentences): -13.85104, Average Perplexity (Bad Sentences): -20.71184
0: good sentence 0, PPL: -3.63039
1: bad sentence 0, PPL: -5.30151
2: good sentence 1, PPL: -32.29780
3: bad sentence 1, PPL: -38.32737
4: good sentence 2, PPL: -3.19291
5: bad sentence 2, PPL: -4.60403
6: good sentence 3, PPL: -54.84076
7: bad sentence 3, PPL: -59.48472
8: good sentence 4, PPL: -71.44897
9: bad sentence 4, PPL: -87.90933
10: good sentence 5, PPL: -3.00653
11: bad sentence 5, PPL: -4.31370
12: good sentence 6, PPL: -111.47210
13: bad sentence 6, PPL: -138.44965
14: good sentence 7, PPL: -21.58916
15: bad sentence 7, PPL: -45.91160
16: good sentence 8, PPL: -9.39371
17: bad sentence 8, PPL: -17.72856
18: good sentence 9, PPL: -22.68857
19: bad sentence 9, PPL: -43.17660
20: good sentence 10, PPL: -5.29232
21: bad sentence 10, PPL: -9.10503
22: good sentence 11, PPL: -5.81867
23: bad sentence 11, PPL: -7.79993
24: good sentence 12, PPL: -225.43475
25: bad sentence 12, PPL: -254.70871
26: good sentence 13, PPL: -47.46503
27: bad sentence 13, PPL: -98.67955
28: good sentence 14, PPL: -41.62091
29: bad sentence 14, PPL: -66.30084
30: good sentence 15, PPL: -642.65814
31: bad sentence 15, PPL: -897.12470
32: good sentence 16, PPL: -26.48332
33: bad sentence 16, PPL: -36.38263
34: good sentence 17, PPL: -14.18160
35: bad sentence 17, PPL: -22.80414
36: good sentence 18, PPL: -3.16129
37: bad sentence 18, PPL: -4.32551
38: good sentence 19, PPL: -6.92165
39: bad sentence 19, PPL: -7.39669
40: good sentence 20, PPL: -15.17329
41: bad sentence 20, PPL: -47.89836
42: good sentence 21, PPL: -14.46307
43: bad sentence 21, PPL: -20.18648
44: good sentence 22, PPL: -24.02058
45: bad sentence 22, PPL: -51.97960
46: good sentence 23, PPL: -8.98734
47: bad sentence 23, PPL: -12.12274
48: good sentence 24, PPL: -6.59321
49: bad sentence 24, PPL: -13.41258
50: good sentence 25, PPL: -8.42692
51: bad sentence 25, PPL: -13.83248
52: good sentence 26, PPL: -21.17286
53: bad sentence 26, PPL: -36.10140
54: good sentence 27, PPL: -30.43294
55: bad sentence 27, PPL: -29.61885
56: good sentence 28, PPL: -4.01898
57: bad sentence 28, PPL: -5.27318
58: good sentence 29, PPL: -86.50499
59: bad sentence 29, PPL: -191.94206
60: good sentence 30, PPL: -3.44274
61: bad sentence 30, PPL: -5.06642
62: good sentence 31, PPL: -4.41538
63: bad sentence 31, PPL: -7.42668
64: good sentence 32, PPL: -6.57195
