Classifier-Noun
	dem_cl_swap
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 99.50000, Average Perplexity (Good Sentences): -27.11053, Average Perplexity (Bad Sentences): -106.52963
0: good sentence 0, PPL: -1.94699
1: bad sentence 0, PPL: -5.19767
2: good sentence 1, PPL: -32.88220
3: bad sentence 1, PPL: -112.58204
4: good sentence 2, PPL: -15.57932
5: bad sentence 2, PPL: -46.29269
6: good sentence 3, PPL: -23.14552
7: bad sentence 3, PPL: -82.76029
8: good sentence 4, PPL: -36.11991
9: bad sentence 4, PPL: -121.50600
10: good sentence 5, PPL: -12.96106
11: bad sentence 5, PPL: -106.12237
12: good sentence 6, PPL: -23.25396
13: bad sentence 6, PPL: -59.82675
14: good sentence 7, PPL: -227.88013
15: bad sentence 7, PPL: -698.74589
16: good sentence 8, PPL: -7.97899
17: bad sentence 8, PPL: -23.58638
18: good sentence 9, PPL: -49.11363
19: bad sentence 9, PPL: -339.48202
20: good sentence 10, PPL: -4.00481
21: bad sentence 10, PPL: -12.94295
22: good sentence 11, PPL: -135.11664
23: bad sentence 11, PPL: -406.76314
24: good sentence 12, PPL: -74.96251
25: bad sentence 12, PPL: -410.90415
26: good sentence 13, PPL: -85.38605
27: bad sentence 13, PPL: -528.61249
28: good sentence 14, PPL: -834.38829
29: bad sentence 14, PPL: -838.02634
30: good sentence 15, PPL: -7.36356
31: bad sentence 15, PPL: -81.42803
32: good sentence 16, PPL: -12.98443
33: bad sentence 16, PPL: -13.78719
34: good sentence 17, PPL: -947.13940
35: bad sentence 17, PPL: -1458.65987
36: good sentence 18, PPL: -7.01802
37: bad sentence 18, PPL: -42.15735
38: good sentence 19, PPL: -3.03089
39: bad sentence 19, PPL: -10.14422
40: good sentence 20, PPL: -2.23594
41: bad sentence 20, PPL: -6.19724
42: good sentence 21, PPL: -9.07041
43: bad sentence 21, PPL: -42.51865
44: good sentence 22, PPL: -44.58512
45: bad sentence 22, PPL: -79.84511
46: good sentence 23, PPL: -10.57662
47: bad sentence 23, PPL: -64.40056
48: good sentence 24, PPL: -7.73139
49: bad sentence 24, PPL: -36.97014
50: good sentence 25, PPL: -2.64511
51: bad sentence 25, PPL: -24.63537
52: good sentence 26, PPL: -12.23724
53: bad sentence 26, PPL: -57.52052
54: good sentence 27, PPL: -33.18828
55: bad sentence 27, PPL: -202.32937
56: good sentence 28, PPL: -36.52494
57: bad sentence 28, PPL: -315.12774
58: good sentence 29, PPL: -11.37401
59: bad sentence 29, PPL: -13.62998
60: good sentence 30, PPL: -163.25858
61: bad sentence 30, PPL: -503.13955
62: good sentence 31, PPL: -36.00705
63: bad sentence 31, PPL: -118.25865
64: good sentence 32, PPL: -26.87491
65: bad sentence 32, PPL: -81.03956
66: good sentence 33, PPL: -2.51012
67: bad sentence 33, PPL: -6.55905
68: good sentence 34, PPL: -75.49316
69: bad sentence 34, PPL: -256.96884
70: good sentence 35, PPL: -29.09484
71: bad sentence 35, PPL: -59.94726
72: good sentence 36, PPL: -77.97749
73: bad sentence 36, PPL: -1058.08471
74: good sentence 37, PPL: -36.91941
75: bad sentence 37, PPL: -83.72259
76: good sentence 38, PPL: -18.96521
77: bad sentence 38, PPL: -69.30826
78: good sentence 39, PPL: -18.23464
79: bad sentence 39, PPL: -48.03692
80: good sentence 40, PPL: -102.98472
81: bad sentence 40, PPL: -900.63733
82: good sentence 41, PPL: -21.02514
83: bad sentence 41, PPL: -95.91105
84: good sentence 42, PPL: -7.02806
85: bad sentence 42, PPL: -58.10692
86: good sentence 43, PPL: -19.61720
87: bad sentence 43, PPL: -46.06994
88: good sentence 44, PPL: -10.78459
89: bad sentence 44, PPL: -34.62453
90: good sentence 45, PPL: -98.91250
91: bad sentence 45, PPL: -302.98304
92: good sentence 46, PPL: -155.28535
93: bad sentence 46, PPL: -1172.87181
94: good sentence 47, PPL: -80.65959
95: bad sentence 47, PPL: -125.90598
96: good sentence 48, PPL: -22.61700
97: bad sentence 48, PPL: -63.92643
98: good sentence 49, PPL: -293.52115
99: bad sentence 49, PPL: -364.23010
100: good sentence 50, PPL: -101.61902
101: bad sentence 50, PPL: -2810.15025
102: good sentence 51, PPL: -261.23481
