Classifier-Noun
	cl_adj_comp_noun
Model: imone/pangu_2_6B, Accuracy: 53.40000, Average Perplexity (Good Sentences): -4845.55908, Average Perplexity (Bad Sentences): -5105.98145
0: good sentence 0, PPL: -8289.39844
1: bad sentence 0, PPL: -7030.93652
2: good sentence 1, PPL: -9453.81738
3: bad sentence 1, PPL: -4146.44482
4: good sentence 2, PPL: -4094.80493
5: bad sentence 2, PPL: -2570.71338
6: good sentence 3, PPL: -4681.50537
7: bad sentence 3, PPL: -7304.52881
8: good sentence 4, PPL: -2594.19629
9: bad sentence 4, PPL: -2210.52100
10: good sentence 5, PPL: -5659.30859
11: bad sentence 5, PPL: -2926.10986
12: good sentence 6, PPL: -4519.38428
13: bad sentence 6, PPL: -6818.56934
14: good sentence 7, PPL: -3771.98730
15: bad sentence 7, PPL: -5834.99121
16: good sentence 8, PPL: -6415.47949
17: bad sentence 8, PPL: -4744.38867
18: good sentence 9, PPL: -2715.61572
19: bad sentence 9, PPL: -4630.34131
20: good sentence 10, PPL: -3297.75757
21: bad sentence 10, PPL: -6477.44287
22: good sentence 11, PPL: -6572.83154
23: bad sentence 11, PPL: -5536.25684
24: good sentence 12, PPL: -5876.34912
25: bad sentence 12, PPL: -6743.50244
26: good sentence 13, PPL: -6142.73438
27: bad sentence 13, PPL: -3295.12939
28: good sentence 14, PPL: -5861.16455
29: bad sentence 14, PPL: -6259.98975
30: good sentence 15, PPL: -3861.23877
31: bad sentence 15, PPL: -3157.31128
32: good sentence 16, PPL: -2419.28516
33: bad sentence 16, PPL: -4132.68701
34: good sentence 17, PPL: -2211.79053
35: bad sentence 17, PPL: -2731.73071
36: good sentence 18, PPL: -2047.70129
37: bad sentence 18, PPL: -2136.87964
38: good sentence 19, PPL: -7357.09521
39: bad sentence 19, PPL: -6004.47998
40: good sentence 20, PPL: -3061.31519
41: bad sentence 20, PPL: -4271.20654
42: good sentence 21, PPL: -9092.27148
43: bad sentence 21, PPL: -3951.78394
44: good sentence 22, PPL: -4342.37549
45: bad sentence 22, PPL: -4845.58252
46: good sentence 23, PPL: -6532.00781
47: bad sentence 23, PPL: -6597.95264
48: good sentence 24, PPL: -6244.40381
49: bad sentence 24, PPL: -4080.92651
50: good sentence 25, PPL: -4749.80322
51: bad sentence 25, PPL: -5479.85693
52: good sentence 26, PPL: -8224.31738
53: bad sentence 26, PPL: -6031.22998
54: good sentence 27, PPL: -1878.09644
55: bad sentence 27, PPL: -7800.60059
56: good sentence 28, PPL: -4778.76367
57: bad sentence 28, PPL: -8848.53320
58: good sentence 29, PPL: -7225.51709
59: bad sentence 29, PPL: -7828.84668
60: good sentence 30, PPL: -3422.41479
61: bad sentence 30, PPL: -8431.22754
62: good sentence 31, PPL: -5916.38037
63: bad sentence 31, PPL: -7734.56885
64: good sentence 32, PPL: -4783.82959
65: bad sentence 32, PPL: -3505.24902
66: good sentence 33, PPL: -5387.42432
67: bad sentence 33, PPL: -7345.70264
68: good sentence 34, PPL: -7557.89795
69: bad sentence 34, PPL: -2647.14136
70: good sentence 35, PPL: -2148.23730
71: bad sentence 35, PPL: -2191.93115
72: good sentence 36, PPL: -2327.36914
73: bad sentence 36, PPL: -4018.06372
74: good sentence 37, PPL: -3108.18384
75: bad sentence 37, PPL: -6836.65137
76: good sentence 38, PPL: -5311.81152
77: bad sentence 38, PPL: -5002.09668
78: good sentence 39, PPL: -7192.08447
79: bad sentence 39, PPL: -6404.85449
80: good sentence 40, PPL: -7449.35742
81: bad sentence 40, PPL: -4643.00098
82: good sentence 41, PPL: -5855.68408
83: bad sentence 41, PPL: -7578.20801
84: good sentence 42, PPL: -2545.02930
85: bad sentence 42, PPL: -6908.94629
86: good sentence 43, PPL: -5640.14355
87: bad sentence 43, PPL: -4386.39453
88: good sentence 44, PPL: -3329.99292
89: bad sentence 44, PPL: -4183.38379
90: good sentence 45, PPL: -6751.34668
91: bad sentence 45, PPL: -2311.18628
92: good sentence 46, PPL: -2463.06006
93: bad sentence 46, PPL: -5955.46338
94: good sentence 47, PPL: -3898.94116
95: bad sentence 47, PPL: -6904.00586
96: good sentence 48, PPL: -2454.97998
97: bad sentence 48, PPL: -6898.83936
98: good sentence 49, PPL: -9779.33203
99: bad sentence 49, PPL: -5958.24707
100: good sentence 50, PPL: -6794.46777
101: bad sentence 50, PPL: -4032.13599
102: good sentence 51, PPL: -2724.74854
103: bad sentence 51, PPL: -5797.48389
104: good sentence 52, PPL: -1784.63977
105: bad sentence 52, PPL: -3165.44849
106: good sentence 53, PPL: -3933.34131
107: bad sentence 53, PPL: -5988.17627
108: good sentence 54, PPL: -3619.91675
109: bad sentence 54, PPL: -3640.20679
110: good sentence 55, PPL: -1681.34448
111: bad sentence 55, PPL: -5592.06934
112: good sentence 56, PPL: -3394.77100
113: bad sentence 56, PPL: -2953.08154
114: good sentence 57, PPL: -5636.90088
115: bad sentence 57, PPL: -4611.84521
116: good sentence 58, PPL: -2462.58203
117: bad sentence 58, PPL: -5210.19971
118: good sentence 59, PPL: -5504.73193
119: bad sentence 59, PPL: -8642.60938
120: good sentence 60, PPL: -6054.37354
121: bad sentence 60, PPL: -8239.56348
122: good sentence 61, PPL: -2387.64746
123: bad sentence 61, PPL: -4210.84229
124: good sentence 62, PPL: -6378.90527
125: bad sentence 62, PPL: -6594.49268
126: good sentence 63, PPL: -4620.86133
127: bad sentence 63, PPL: -5661.91602
128: good sentence 64, PPL: -2065.70312
129: bad sentence 64, PPL: -3410.26196
130: good sentence 65, PPL: -3948.25415
131: bad sentence 65, PPL: -9264.27246
132: good sentence 66, PPL: -9446.38281
133: bad sentence 66, PPL: -6414.22510
134: good sentence 67, PPL: -3106.49463
135: bad sentence 67, PPL: -7545.45361
136: good sentence 68, PPL: -7369.23633
137: bad sentence 68, PPL: -4675.92334
138: good sentence 69, PPL: -3148.49512
139: bad sentence 69, PPL: -8164.31641
140: good sentence 70, PPL: -5387.39844
141: bad sentence 70, PPL: -7013.23633
142: good sentence 71, PPL: -6735.36572
143: bad sentence 71, PPL: -5294.04053
144: good sentence 72, PPL: -7093.47070
145: bad sentence 72, PPL: -3042.58862
146: good sentence 73, PPL: -5876.34912
147: bad sentence 73, PPL: -7516.83936
148: good sentence 74, PPL: -2362.03027
149: bad sentence 74, PPL: -5740.09229
150: good sentence 75, PPL: -4259.91357
151: bad sentence 75, PPL: -10241.14844
152: good sentence 76, PPL: -3903.91211
153: bad sentence 76, PPL: -3614.08691
154: good sentence 77, PPL: -4008.69043
155: bad sentence 77, PPL: -3757.37524
156: good sentence 78, PPL: -7844.02539
157: bad sentence 78, PPL: -2439.37158
158: good sentence 79, PPL: -3362.90894
159: bad sentence 79, PPL: -2246.78931
160: good sentence 80, PPL: -1878.09644
161: bad sentence 80, PPL: -5803.19775
162: good sentence 81, PPL: -7125.06543
163: bad sentence 81, PPL: -10414.50293
164: good sentence 82, PPL: -9684.57227
165: bad sentence 82, PPL: -6374.90381
166: good sentence 83, PPL: -6639.94873
167: bad sentence 83, PPL: -2842.72534
168: good sentence 84, PPL: -7120.31055
169: bad sentence 84, PPL: -13610.23730
170: good sentence 85, PPL: -8432.71484
171: bad sentence 85, PPL: -6403.59619
172: good sentence 86, PPL: -3531.69360
173: bad sentence 86, PPL: -5510.64600
174: good sentence 87, PPL: -3172.04541
175: bad sentence 87, PPL: -2379.58447
176: good sentence 88, PPL: -5996.21143
177: bad sentence 88, PPL: -3412.36035
178: good sentence 89, PPL: -12020.18262
179: bad sentence 89, PPL: -7099.75146
180: good sentence 90, PPL: -4998.26318
181: bad sentence 90, PPL: -5963.89209
182: good sentence 91, PPL: -8608.30664
183: bad sentence 91, PPL: -3999.43799
184: good sentence 92, PPL: -2212.33374
185: bad sentence 92, PPL: -5258.83154
186: good sentence 93, PPL: -7200.28613
187: bad sentence 93, PPL: -7967.34521
188: good sentence 94, PPL: -3016.13989
189: bad sentence 94, PPL: -7662.79346
190: good sentence 95, PPL: -5150.18652
191: bad sentence 95, PPL: -4897.84961
192: good sentence 96, PPL: -4267.11475
193: bad sentence 96, PPL: -7087.07422
194: good sentence 97, PPL: -3873.71997
195: bad sentence 97, PPL: -6090.26611
196: good sentence 98, PPL: -7828.17480
197: bad sentence 98, PPL: -5865.54883
198: good sentence 99, PPL: -6650.01807
199: bad sentence 99, PPL: -2608.09009
200: good sentence 100, PPL: -7127.16504
201: bad sentence 100, PPL: -4767.62500
202: good sentence 101, PPL: -9086.60254
203: bad sentence 101, PPL: -7324.68115
204: good sentence 102, PPL: -5081.64844
205: bad sentence 102, PPL: -4907.41553
206: good sentence 103, PPL: -4891.23047
207: bad sentence 103, PPL: -4168.71191
208: good sentence 104, PPL: -2807.89331
