Anaphor
	pp_female
Model: google-bert/bert-base-chinese, Accuracy: 87.00000, Average Perplexity (Good Sentences): -4.42743, Average Perplexity (Bad Sentences): -4.76891
0: good sentence 0, PPL: -3.82105
1: bad sentence 0, PPL: -3.84567
2: good sentence 1, PPL: -4.80112
3: bad sentence 1, PPL: -5.47926
4: good sentence 2, PPL: -9.59602
5: bad sentence 2, PPL: -8.86591
6: good sentence 3, PPL: -4.52422
7: bad sentence 3, PPL: -5.03003
8: good sentence 4, PPL: -24.24694
9: bad sentence 4, PPL: -23.84473
10: good sentence 5, PPL: -4.16689
11: bad sentence 5, PPL: -4.29853
12: good sentence 6, PPL: -8.90052
13: bad sentence 6, PPL: -10.20924
14: good sentence 7, PPL: -4.96242
15: bad sentence 7, PPL: -5.30303
16: good sentence 8, PPL: -4.80757
17: bad sentence 8, PPL: -4.96416
18: good sentence 9, PPL: -3.83310
19: bad sentence 9, PPL: -4.07160
20: good sentence 10, PPL: -1.59495
21: bad sentence 10, PPL: -1.69531
22: good sentence 11, PPL: -5.22722
23: bad sentence 11, PPL: -6.69361
24: good sentence 12, PPL: -6.98044
25: bad sentence 12, PPL: -7.98346
26: good sentence 13, PPL: -9.70295
27: bad sentence 13, PPL: -10.04923
28: good sentence 14, PPL: -12.83721
29: bad sentence 14, PPL: -13.68970
30: good sentence 15, PPL: -2.16333
31: bad sentence 15, PPL: -2.38367
32: good sentence 16, PPL: -4.66610
33: bad sentence 16, PPL: -5.27853
34: good sentence 17, PPL: -4.85502
35: bad sentence 17, PPL: -5.22615
36: good sentence 18, PPL: -3.52302
37: bad sentence 18, PPL: -3.97754
38: good sentence 19, PPL: -3.28011
39: bad sentence 19, PPL: -3.50196
40: good sentence 20, PPL: -1.44313
41: bad sentence 20, PPL: -1.71885
42: good sentence 21, PPL: -10.26055
43: bad sentence 21, PPL: -10.20221
44: good sentence 22, PPL: -3.70653
45: bad sentence 22, PPL: -4.17050
46: good sentence 23, PPL: -7.29655
47: bad sentence 23, PPL: -8.90405
48: good sentence 24, PPL: -3.95991
49: bad sentence 24, PPL: -4.47213
50: good sentence 25, PPL: -6.55839
51: bad sentence 25, PPL: -6.60463
52: good sentence 26, PPL: -1.96191
