Classifier-Noun
	cl_adj_comp_noun_v2
Model: imone/pangu_2_6B, Accuracy: 50.70000, Average Perplexity (Good Sentences): -1835.66138, Average Perplexity (Bad Sentences): -1910.23254
0: good sentence 0, PPL: -4165.63623
1: bad sentence 0, PPL: -4564.17041
2: good sentence 1, PPL: -5945.44727
3: bad sentence 1, PPL: -9816.09082
4: good sentence 2, PPL: -1433.20190
5: bad sentence 2, PPL: -5050.03320
6: good sentence 3, PPL: -3574.53394
7: bad sentence 3, PPL: -7164.02539
8: good sentence 4, PPL: -2624.03760
9: bad sentence 4, PPL: -1740.88953
10: good sentence 5, PPL: -4756.35303
11: bad sentence 5, PPL: -5221.85938
12: good sentence 6, PPL: -1863.99097
13: bad sentence 6, PPL: -801.00049
14: good sentence 7, PPL: -1004.00537
15: bad sentence 7, PPL: -1251.39929
16: good sentence 8, PPL: -993.16565
17: bad sentence 8, PPL: -5275.67969
18: good sentence 9, PPL: -1332.31726
19: bad sentence 9, PPL: -2175.18579
20: good sentence 10, PPL: -511.31396
21: bad sentence 10, PPL: -1934.10498
22: good sentence 11, PPL: -633.98779
23: bad sentence 11, PPL: -1520.40588
24: good sentence 12, PPL: -2474.12720
25: bad sentence 12, PPL: -1142.71350
26: good sentence 13, PPL: -4122.40918
27: bad sentence 13, PPL: -2114.58496
28: good sentence 14, PPL: -2542.98438
29: bad sentence 14, PPL: -521.77924
30: good sentence 15, PPL: -806.12842
31: bad sentence 15, PPL: -6191.93457
32: good sentence 16, PPL: -6533.34131
33: bad sentence 16, PPL: -8382.20996
34: good sentence 17, PPL: -1340.28918
35: bad sentence 17, PPL: -1377.10059
36: good sentence 18, PPL: -1076.24207
37: bad sentence 18, PPL: -12516.50000
38: good sentence 19, PPL: -5663.40674
39: bad sentence 19, PPL: -10635.61035
40: good sentence 20, PPL: -595.02002
41: bad sentence 20, PPL: -2911.46973
42: good sentence 21, PPL: -1470.37036
43: bad sentence 21, PPL: -2134.76831
44: good sentence 22, PPL: -1700.60645
45: bad sentence 22, PPL: -5575.45996
46: good sentence 23, PPL: -144.98270
47: bad sentence 23, PPL: -200.77657
48: good sentence 24, PPL: -5762.83301
49: bad sentence 24, PPL: -9115.75684
50: good sentence 25, PPL: -5873.38525
51: bad sentence 25, PPL: -6059.57764
52: good sentence 26, PPL: -9223.89648
53: bad sentence 26, PPL: -16430.94336
54: good sentence 27, PPL: -674.32196
55: bad sentence 27, PPL: -3518.16626
56: good sentence 28, PPL: -4071.72852
57: bad sentence 28, PPL: -819.89563
58: good sentence 29, PPL: -1099.26550
59: bad sentence 29, PPL: -1540.61536
60: good sentence 30, PPL: -914.52313
61: bad sentence 30, PPL: -5175.67188
62: good sentence 31, PPL: -1988.78125
63: bad sentence 31, PPL: -2572.92822
64: good sentence 32, PPL: -2084.17407
65: bad sentence 32, PPL: -3006.32715
66: good sentence 33, PPL: -1220.75696
67: bad sentence 33, PPL: -5830.45215
68: good sentence 34, PPL: -2612.22998
69: bad sentence 34, PPL: -1236.70740
70: good sentence 35, PPL: -1466.25916
71: bad sentence 35, PPL: -568.87506
72: good sentence 36, PPL: -963.81305
73: bad sentence 36, PPL: -902.27875
74: good sentence 37, PPL: -1380.40161
75: bad sentence 37, PPL: -2423.37671
76: good sentence 38, PPL: -1322.64709
77: bad sentence 38, PPL: -2901.18945
78: good sentence 39, PPL: -640.00403
79: bad sentence 39, PPL: -4918.43555
80: good sentence 40, PPL: -1928.04419
81: bad sentence 40, PPL: -1654.99915
82: good sentence 41, PPL: -641.44763
83: bad sentence 41, PPL: -8237.90625
84: good sentence 42, PPL: -894.26184
85: bad sentence 42, PPL: -1861.65393
86: good sentence 43, PPL: -2148.26465
87: bad sentence 43, PPL: -1991.99097
88: good sentence 44, PPL: -1172.81262
89: bad sentence 44, PPL: -1195.20654
90: good sentence 45, PPL: -5441.35205
91: bad sentence 45, PPL: -6898.66846
92: good sentence 46, PPL: -967.58527
93: bad sentence 46, PPL: -1574.79712
94: good sentence 47, PPL: -6386.24561
95: bad sentence 47, PPL: -11937.94141
96: good sentence 48, PPL: -1072.82141
97: bad sentence 48, PPL: -7375.43750
98: good sentence 49, PPL: -165.06589
99: bad sentence 49, PPL: -760.70844
100: good sentence 50, PPL: -2197.24951
101: bad sentence 50, PPL: -8710.27734
102: good sentence 51, PPL: -1353.75708
103: bad sentence 51, PPL: -1993.52002
104: good sentence 52, PPL: -5716.42676
105: bad sentence 52, PPL: -1744.19824
106: good sentence 53, PPL: -4556.82910
107: bad sentence 53, PPL: -1795.06323
108: good sentence 54, PPL: -597.78998
109: bad sentence 54, PPL: -697.50800
110: good sentence 55, PPL: -1512.53784
111: bad sentence 55, PPL: -2729.46118
112: good sentence 56, PPL: -4855.42578
113: bad sentence 56, PPL: -1324.43311
114: good sentence 57, PPL: -964.71698
115: bad sentence 57, PPL: -1196.32300
116: good sentence 58, PPL: -222.06293
117: bad sentence 58, PPL: -593.33771
118: good sentence 59, PPL: -3729.43994
119: bad sentence 59, PPL: -6524.77295
120: good sentence 60, PPL: -1269.52087
121: bad sentence 60, PPL: -2097.34497
122: good sentence 61, PPL: -2723.63403
123: bad sentence 61, PPL: -4936.32959
124: good sentence 62, PPL: -2209.25439
125: bad sentence 62, PPL: -3187.65088
126: good sentence 63, PPL: -939.92126
127: bad sentence 63, PPL: -4237.37305
128: good sentence 64, PPL: -1571.64197
129: bad sentence 64, PPL: -1247.37732
130: good sentence 65, PPL: -1237.16565
131: bad sentence 65, PPL: -889.43079
132: good sentence 66, PPL: -1997.73743
133: bad sentence 66, PPL: -9562.79297
134: good sentence 67, PPL: -1389.99683
135: bad sentence 67, PPL: -548.30066
136: good sentence 68, PPL: -3152.63257
137: bad sentence 68, PPL: -936.21490
138: good sentence 69, PPL: -460.13431
139: bad sentence 69, PPL: -3390.63916
140: good sentence 70, PPL: -2513.54932
141: bad sentence 70, PPL: -1588.41504
142: good sentence 71, PPL: -914.04529
143: bad sentence 71, PPL: -3822.10327
144: good sentence 72, PPL: -1290.60095
145: bad sentence 72, PPL: -992.26392
146: good sentence 73, PPL: -2337.72656
147: bad sentence 73, PPL: -1188.45801
148: good sentence 74, PPL: -398.94876
149: bad sentence 74, PPL: -4598.02441
150: good sentence 75, PPL: -507.78067
151: bad sentence 75, PPL: -8250.69043
152: good sentence 76, PPL: -1893.28503
153: bad sentence 76, PPL: -715.44147
154: good sentence 77, PPL: -8573.40527
155: bad sentence 77, PPL: -4809.47412
156: good sentence 78, PPL: -260.55966
157: bad sentence 78, PPL: -704.13000
158: good sentence 79, PPL: -403.05615
159: bad sentence 79, PPL: -2017.80383
160: good sentence 80, PPL: -1167.70679
161: bad sentence 80, PPL: -2269.78931
162: good sentence 81, PPL: -2746.29858
163: bad sentence 81, PPL: -1492.24329
164: good sentence 82, PPL: -1557.68347
165: bad sentence 82, PPL: -2978.26855
166: good sentence 83, PPL: -449.53506
167: bad sentence 83, PPL: -2486.66675
168: good sentence 84, PPL: -1149.56311
169: bad sentence 84, PPL: -4500.16357
170: good sentence 85, PPL: -669.55334
171: bad sentence 85, PPL: -3317.27930
172: good sentence 86, PPL: -2951.29517
173: bad sentence 86, PPL: -2616.88647
174: good sentence 87, PPL: -585.50690
175: bad sentence 87, PPL: -4822.17773
176: good sentence 88, PPL: -443.32773
177: bad sentence 88, PPL: -7532.16699
178: good sentence 89, PPL: -1091.07361
179: bad sentence 89, PPL: -2016.11792
180: good sentence 90, PPL: -3876.04810
181: bad sentence 90, PPL: -771.30377
182: good sentence 91, PPL: -875.83899
183: bad sentence 91, PPL: -2097.28296
184: good sentence 92, PPL: -1175.36401
185: bad sentence 92, PPL: -7261.38281
186: good sentence 93, PPL: -5950.26855
187: bad sentence 93, PPL: -7810.15088
188: good sentence 94, PPL: -3505.98145
189: bad sentence 94, PPL: -1471.84839
190: good sentence 95, PPL: -5406.42139
191: bad sentence 95, PPL: -1011.82202
192: good sentence 96, PPL: -626.85950
193: bad sentence 96, PPL: -6984.13574
194: good sentence 97, PPL: -902.99152
195: bad sentence 97, PPL: -4075.85840
196: good sentence 98, PPL: -3647.18433
197: bad sentence 98, PPL: -3068.30664
198: good sentence 99, PPL: -2195.45337
199: bad sentence 99, PPL: -1180.35583
200: good sentence 100, PPL: -3002.40454
201: bad sentence 100, PPL: -832.38385
202: good sentence 101, PPL: -1413.55603
203: bad sentence 101, PPL: -3933.29272
204: good sentence 102, PPL: -2605.82275
205: bad sentence 102, PPL: -1748.48755
206: good sentence 103, PPL: -1259.80103
207: bad sentence 103, PPL: -9036.59277
208: good sentence 104, PPL: -3790.84790
209: bad sentence 104, PPL: -9212.66113
210: good sentence 105, PPL: -1385.54138
211: bad sentence 105, PPL: -13011.66309
212: good sentence 106, PPL: -1982.15601
213: bad sentence 106, PPL: -5843.39990
214: good sentence 107, PPL: -1753.84082
215: bad sentence 107, PPL: -2922.74780
216: good sentence 108, PPL: -5387.99463
217: bad sentence 108, PPL: -4187.50342
218: good sentence 109, PPL: -1053.60498
219: bad sentence 109, PPL: -3844.79541
220: good sentence 110, PPL: -1162.47339
221: bad sentence 110, PPL: -1165.49500
222: good sentence 111, PPL: -2614.26587
223: bad sentence 111, PPL: -1176.05518
224: good sentence 112, PPL: -8619.91504
225: bad sentence 112, PPL: -1886.62061
226: good sentence 113, PPL: -1683.50012
227: bad sentence 113, PPL: -3732.32910
228: good sentence 114, PPL: -1807.91992
229: bad sentence 114, PPL: -6561.25146
230: good sentence 115, PPL: -1944.18091
231: bad sentence 115, PPL: -1559.35559
232: good sentence 116, PPL: -5694.03711
233: bad sentence 116, PPL: -4951.60107
234: good sentence 117, PPL: -7737.57861
235: bad sentence 117, PPL: -779.44958
236: good sentence 118, PPL: -634.27808
237: bad sentence 118, PPL: -814.22961
238: good sentence 119, PPL: -1387.11597
239: bad sentence 119, PPL: -2166.10229
240: good sentence 120, PPL: -3082.77246
241: bad sentence 120, PPL: -6871.39941
242: good sentence 121, PPL: -3352.37085
243: bad sentence 121, PPL: -1828.06360
244: good sentence 122, PPL: -1006.09827
245: bad sentence 122, PPL: -5788.72705
246: good sentence 123, PPL: -3489.20654
247: bad sentence 123, PPL: -1232.20374
248: good sentence 124, PPL: -739.02368
249: bad sentence 124, PPL: -6293.13330
250: good sentence 125, PPL: -7340.68164
251: bad sentence 125, PPL: -6725.15430
252: good sentence 126, PPL: -7757.49805
253: bad sentence 126, PPL: -2669.14380
254: good sentence 127, PPL: -3455.76294
255: bad sentence 127, PPL: -17219.34766
256: good sentence 128, PPL: -3151.80884
257: bad sentence 128, PPL: -2877.46484
258: good sentence 129, PPL: -1978.56567
259: bad sentence 129, PPL: -11745.35352
260: good sentence 130, PPL: -2891.05444
261: bad sentence 130, PPL: -7593.25537
262: good sentence 131, PPL: -2336.10522
263: bad sentence 131, PPL: -5809.02832
264: good sentence 132, PPL: -2664.38037
265: bad sentence 132, PPL: -5166.51416
266: good sentence 133, PPL: -597.63147
267: bad sentence 133, PPL: -4578.37793
268: good sentence 134, PPL: -3023.35962
269: bad sentence 134, PPL: -10447.62891
270: good sentence 135, PPL: -563.27441
271: bad sentence 135, PPL: -1028.18384
272: good sentence 136, PPL: -5907.76514
273: bad sentence 136, PPL: -497.07135
274: good sentence 137, PPL: -773.48297
275: bad sentence 137, PPL: -933.06177
276: good sentence 138, PPL: -3159.82642
277: bad sentence 138, PPL: -2859.01636
278: good sentence 139, PPL: -5329.76416
279: bad sentence 139, PPL: -4640.76074
280: good sentence 140, PPL: -605.57361
281: bad sentence 140, PPL: -1603.77942
282: good sentence 141, PPL: -2412.42969
283: bad sentence 141, PPL: -1335.90002
284: good sentence 142, PPL: -1153.88696
285: bad sentence 142, PPL: -1733.54773
286: good sentence 143, PPL: -2452.83374
287: bad sentence 143, PPL: -2110.78613
288: good sentence 144, PPL: -3975.09766
289: bad sentence 144, PPL: -1872.16907
290: good sentence 145, PPL: -1502.15601
291: bad sentence 145, PPL: -672.37079
292: good sentence 146, PPL: -3196.68945
293: bad sentence 146, PPL: -1306.22021
294: good sentence 147, PPL: -4052.32837
295: bad sentence 147, PPL: -7699.42725
296: good sentence 148, PPL: -2722.13965
297: bad sentence 148, PPL: -6699.63135
298: good sentence 149, PPL: -1582.10022
299: bad sentence 149, PPL: -1650.99573
300: good sentence 150, PPL: -4840.54785
301: bad sentence 150, PPL: -1135.41101
302: good sentence 151, PPL: -2004.06885
303: bad sentence 151, PPL: -11220.53027
304: good sentence 152, PPL: -10973.87988
305: bad sentence 152, PPL: -3416.05908
306: good sentence 153, PPL: -5746.39600
307: bad sentence 153, PPL: -1418.46680
308: good sentence 154, PPL: -6016.09863
309: bad sentence 154, PPL: -1408.77100
310: good sentence 155, PPL: -1543.40576
311: bad sentence 155, PPL: -1274.18384
312: good sentence 156, PPL: -2079.26562
313: bad sentence 156, PPL: -1053.39246
314: good sentence 157, PPL: -3299.69849
315: bad sentence 157, PPL: -1664.01062
316: good sentence 158, PPL: -3291.01831
317: bad sentence 158, PPL: -1703.66394
318: good sentence 159, PPL: -5175.08936
319: bad sentence 159, PPL: -603.21790
320: good sentence 160, PPL: -448.55612
321: bad sentence 160, PPL: -4771.25928
322: good sentence 161, PPL: -1267.83594
323: bad sentence 161, PPL: -1238.82800
324: good sentence 162, PPL: -1017.61908
325: bad sentence 162, PPL: -1763.41248
326: good sentence 163, PPL: -1545.01465
327: bad sentence 163, PPL: -1075.95068
328: good sentence 164, PPL: -820.27301
329: bad sentence 164, PPL: -1122.22266
330: good sentence 165, PPL: -6573.74023
331: bad sentence 165, PPL: -1005.27533
332: good sentence 166, PPL: -4092.80615
333: bad sentence 166, PPL: -1240.20166
